Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Nick Ahmed,32,us US,R,R,"6' 2""",201,"Mar 15, 1990",9,17,15,17,16,0,0,0,0,0,16,0,0,0,0,1,2,0,-0.1,"$7,875,000",
Sergio Alcántara,25,do DO,B,R,"5' 9""",151,"Jul 10, 1996",3,71,49,71,65,0,0,0,18,35,20,0,0,0,0,4,3,7,0.1,,
Seth Beer,25,us US,L,R,"6' 3""",213,"Sep 18, 1996",2,38,33,38,5,0,0,5,0,0,0,0,0,0,0,28,5,0,-0.9,,
Madison Bumgarner,32,us US,R,L,"6' 4""",240,"Aug 1, 1989",14,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$23,000,000",
Corbin Carroll,21,us US,L,L,"5' 10""",165,"Aug 21, 2000",1st,32,26,32,29,0,0,0,0,0,0,25,5,2,29,2,5,0,1.2,,
Humberto Castellanos,24,mx MX,R,R,"5' 11""",222,"Apr 3, 1998",3,11,9,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Matt Davidson,31,us US,R,R,"6' 3""",230,"Mar 26, 1991",6,5,3,5,3,0,0,0,0,3,0,0,0,0,0,1,1,0,-0.1,,
Zach Davies,29,us US,R,R,"6' 0""",180,"Feb 7, 1993",8,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$1,500,000",
Chris Devenski,31,us US,R,R,"6' 3""",211,"Nov 13, 1990",7,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Wilmer Difo,30,do DO,B,R,"5' 11""",200,"Apr 2, 1992",8,3,2,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0,-0.1,,
Drew Ellis,26,us US,R,R,"6' 3""",205,"Dec 1, 1995",2,6,5,6,6,0,0,0,0,6,0,0,0,0,0,0,0,0,-0.3,,
Luis Frías,24,do DO,R,R,"6' 3""",245,"May 23, 1998",2,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,
Paul Fry,29,us US,L,L,"6' 0""",205,"Jul 26, 1992",5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zac Gallen,26,us US,R,R,"6' 2""",189,"Aug 3, 1995",4,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,5.1,,
Stone Garrett,26,us US,R,R,"6' 2""",224,"Nov 22, 1995",1st,27,21,27,13,0,0,0,0,0,0,13,0,0,13,9,5,1,0.5,,
Tyler Gilbert,28,us US,L,L,"6' 3""",223,"Dec 22, 1993",2,8,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
