Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Ronald Acuna Jr.,24,ve VE,R,R,"6' 0""",205,"Dec 18, 1997",5,119,115,119,92,0,0,0,0,0,0,0,1,92,92,27,4,0,2.8,"$15,000,000",All-Star
Ehire Adrianza,32,ve VE,B,R,"6' 1""",198,"Aug 21, 1989",10,6,4,6,6,0,0,0,4,1,1,0,0,0,0,0,0,0,0.1,,
Ozzie Albies,25,cw CW,B,R,"5' 8""",165,"Jan 7, 1997",6,64,63,64,64,0,0,0,64,0,0,0,0,0,0,0,1,0,0.9,"$5,000,000",
Ian Anderson,24,us US,R,R,"6' 3""",170,"May 2, 1998",3,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Orlando Arcia,27,ve VE,R,R,"6' 0""",187,"Aug 4, 1994",7,68,60,67,60,1,0,0,50,4,1,6,0,0,6,7,2,0,0.7,"$1,600,000",
Rylan Bannon,26,us US,R,R,"5' 8""",180,"Apr 22, 1996",1st,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,
Silvino Bracho,29,ve VE,R,R,"5' 10""",190,"Jul 17, 1992",6,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Robinson Canó,39,do DO,L,R,"6' 0""",212,"Oct 22, 1982",17,9,8,9,8,0,0,0,8,0,0,0,0,0,0,0,1,0,-0.4,,
Jesse Chavez,38,us US,R,R,"6' 1""",175,"Aug 21, 1983",15,46,1,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,1,,
William Contreras,24,ve VE,R,R,"5' 11""",216,"Dec 24, 1997",3,97,89,97,61,0,60,0,0,0,0,1,0,0,1,34,7,0,2.7,,All-Star
Jesus Cruz,27,mx MX,R,R,"6' 1""",230,"Apr 15, 1995",2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Travis d'Arnaud,33,us US,R,R,"6' 2""",210,"Feb 10, 1989",10,107,104,107,99,0,99,0,0,0,0,0,0,0,0,6,3,0,2.9,"$8,000,000",All-Star
Tucker Davidson,26,us US,L,L,"6' 2""",215,"Mar 25, 1996",3,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Travis Demeritte,27,us US,R,R,"6' 0""",180,"Sep 30, 1994",3,26,25,26,26,0,0,0,0,0,0,6,0,20,26,0,1,0,-0.4,,
Alex Dickerson,32,us US,L,L,"6' 2""",226,"May 26, 1990",6,13,10,13,1,0,0,0,0,0,0,0,0,1,1,10,3,0,-0.4,"$1,000,000",
Adam Duvall,33,us US,R,R,"6' 1""",215,"Sep 4, 1988",9,86,80,86,86,0,0,0,0,0,0,35,44,11,86,0,2,0,-0.1,"$9,275,000",
