Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jesús Aguilar,32,ve VE,R,R,"6' 3""",277,"Jun 30, 1990",9,16,12,16,6,0,0,6,0,0,0,0,0,0,0,8,3,0,-0.3,,
Keegan Akin,27,us US,L,L,"6' 0""",240,"Apr 1, 1995",3,45,1,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Logan Allen,25,us US,R,L,"6' 3""",200,"May 23, 1997",4,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Jonathan Araúz,23,pa PA,B,R,"6' 0""",195,"Aug 3, 1998",3,9,8,9,8,0,0,0,1,6,1,0,0,0,0,0,1,0,-0.1,,
Bryan Baker,27,us US,R,R,"6' 6""",235,"Dec 2, 1994",2,66,2,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,
Rylan Bannon,26,us US,R,R,"5' 8""",180,"Apr 22, 1996",1st,4,4,4,3,0,0,0,0,3,0,0,0,0,0,1,0,0,-0.2,,
Mike Baumann,26,us US,R,R,"6' 4""",240,"Sep 10, 1995",2,13,4,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Félix Bautista,27,do DO,R,R,"6' 8""",285,"Jun 20, 1995",1st,65,0,4,65,65,0,0,0,0,0,0,0,0,0,0,0,0,2.6,,
Anthony Bemboom,32,us US,L,R,"6' 2""",195,"Jan 18, 1990",4,22,15,22,21,0,21,0,0,0,0,0,0,0,0,0,2,2,-0.3,,
Kyle Bradish,25,us US,R,R,"6' 3""",215,"Sep 12, 1996",1st,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Yennier Cano,28,cu CU,R,R,"6' 4""",245,"Mar 9, 1994",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
