Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Abraham Almonte,33,do DO,B,R,"5' 10""",223,"Jun 27, 1989",10,15,7,15,9,0,0,0,0,0,0,3,5,1,9,2,6,1,-0.1,,
Jonathan Araúz,23,pa PA,B,R,"6' 0""",195,"Aug 3, 1998",3,6,4,6,6,0,0,0,3,0,3,0,0,0,0,0,0,1,-0.4,,
Christian Arroyo,27,us US,R,R,"6' 1""",210,"May 30, 1995",6,87,76,87,80,0,0,9,40,10,14,0,0,17,17,5,3,2,0.8,"$1,200,000",
Matt Barnes,32,us US,R,R,"6' 4""",208,"Jun 17, 1990",9,44,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$8,125,000",
Eduard Bazardo,26,ve VE,R,R,"6' 0""",190,"Sep 1, 1995",2,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Brayan Bello,23,do DO,R,R,"6' 1""",170,"May 17, 1999",1st,13,11,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Xander Bogaerts,29,aw AW,R,R,"6' 2""",218,"Oct 1, 1992",10,150,148,150,146,0,0,0,0,0,146,0,0,0,0,4,2,0,5.8,"$20,000,000",All-Star
Jackie Bradley Jr.,32,us US,L,R,"5' 10""",196,"Apr 19, 1990",10,92,76,91,92,1,0,0,0,0,0,0,29,71,91,0,3,1,-0.5,"$9,500,000",
Ryan Brasier,34,us US,R,R,"6' 0""",227,"Aug 26, 1987",6,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$1,400,000",
Triston Casas,22,us US,L,R,"6' 4""",252,"Jan 15, 2000",1st,27,22,27,27,0,0,27,0,0,0,0,0,0,0,0,4,0,0.1,,
Yu Chang,26,tw TW,R,R,"6' 1""",180,"Aug 18, 1995",4,11,7,11,11,0,0,1,4,0,7,0,0,0,0,0,0,0,0,,
Franchy Cordero,27,do DO,L,R,"6' 3""",225,"Sep 2, 1994",6,84,70,84,79,0,0,53,0,0,0,12,2,26,39,4,11,1,-0.2,,
Kutter Crawford,26,us US,R,R,"6' 1""",209,"Apr 1, 1996",2,21,12,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Bobby Dalbec,27,us US,R,R,"6' 4""",227,"Jun 29, 1995",3,117,80,117,111,0,0,89,2,24,1,0,0,0,0,3,17,2,-0.7,,
Tyler Danish,27,us US,R,R,"6' 0""",200,"Sep 12, 1994",4,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Austin Davis,29,us US,L,L,"6' 4""",235,"Feb 3, 1993",5,50,3,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Jaylin Davis,27,us US,R,R,"5' 11""",205,"Jul 1, 1994",4,12,6,12,8,0,0,0,0,0,0,1,4,3,8,0,3,2,0.2,,
Rafael Devers,25,do DO,L,R,"6' 0""",240,"Oct 24, 1996",6,141,140,141,138,0,0,0,0,138,0,0,0,0,0,3,1,0,4.4,"$11,200,000",All-Star
Jake Diekman,35,us US,R,L,"6' 4""",195,"Jan 21, 1987",11,44,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$3,500,000",
Jeter Downs,23,co CO,R,R,"5' 11""",197,"Jul 27, 1998",1st,14,10,14,13,0,0,0,8,6,3,0,0,0,0,1,2,2,-0.6,,
Jarren Duran,25,us US,L,R,"6' 2""",212,"Sep 5, 1996",2,58,54,58,56,0,0,0,0,0,0,0,51,7,56,1,2,0,-0.1,,
Nathan Eovaldi,32,us US,R,R,"6' 2""",217,"Feb 13, 1990",11,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$17,000,000",
Jeurys Familia,32,do DO,R,R,"6' 3""",240,"Oct 10, 1989",11,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Michael Feliz,29,do DO,R,R,"6' 4""",250,"Jun 28, 1993",8,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"$100,000",
Franklin German,24,us US,R,R,"6' 2""",195,"Sep 22, 1997",1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Darwinzon Hernandez,25,ve VE,L,L,"6' 2""",255,"Dec 17, 1996",4,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,,
Enrique Hernández,30,pr PR,R,R,"5' 11""",190,"Aug 24, 1991",9,93,91,93,93,0,0,0,11,0,10,0,80,0,80,0,1,1,0.9,"$8,000,000",
Rich Hill,42,us US,L,L,"6' 5""",221,"Mar 11, 1980",18,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$5,000,000",
Eric Hosmer,32,us US,L,L,"6' 4""",226,"Oct 24, 1989",12,14,14,14,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,,
Tanner Houck,26,us US,R,R,"6' 5""",230,"Jun 29, 1996",3,32,4,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,1.6,,
Zack Kelly,27,us US,R,R,"6' 3""",205,"Mar 3, 1995",1st,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
J.D. Martinez,34,us US,R,R,"6' 3""",230,"Aug 21, 1987",12,139,139,139,0,0,0,0,0,0,0,0,0,0,0,139,0,0,1.1,"$19,350,000",All-Star
Reese McGuire,27,us US,L,R,"6' 0""",218,"Mar 2, 1995",5,36,26,36,33,1,32,0,0,0,0,0,0,0,0,0,7,0,0.9,,
Kaleb Ort,30,us US,R,R,"6' 4""",240,"Feb 5, 1992",2,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Tommy Pham,34,us US,R,R,"6' 1""",223,"Mar 8, 1988",9,53,53,53,51,0,0,0,0,0,0,51,0,0,51,2,0,0,-0.3,,
Nick Pivetta,29,ca CA,R,R,"6' 5""",214,"Feb 14, 1993",6,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$2,650,000",
Kevin Plawecki,31,us US,R,R,"6' 2""",208,"Feb 26, 1991",8,61,46,60,59,1,58,0,0,0,0,0,0,0,0,0,4,0,-1.1,"$2,250,000",
Rob Refsnyder,31,kr KR,R,R,"6' 0""",205,"Mar 26, 1991",7,57,35,57,47,0,0,0,0,0,0,6,17,28,47,7,17,1,1,"$100,000",
Hansel Robles,31,do DO,R,R,"6' 0""",220,"Aug 13, 1990",8,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$2,250,000",
Chris Sale,33,us US,L,L,"6' 6""",183,"Mar 30, 1989",12,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"$30,000,000",
Yolmer Sanchez,30,ve VE,B,R,"6' 0""",210,"Jun 29, 1992",8,14,12,14,14,1,0,0,14,0,0,0,0,0,0,0,0,0,-0.6,,
Hirokazu Sawamura,34,jp JP,R,R,"6' 0""",212,"Apr 3, 1988",2,49,0,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$1,200,000",
John Schreiber,28,us US,R,R,"6' 2""",210,"Mar 5, 1994",4,64,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,2.7,,
Connor Seabold,26,us US,R,R,"6' 2""",190,"Jan 24, 1996",2,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
Travis Shaw,32,us US,L,R,"6' 4""",230,"Apr 16, 1990",8,7,5,7,3,0,0,3,0,0,0,0,0,0,0,3,2,0,-0.7,"$700,000",
