Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Adbert Alzolay,27,ve VE,R,R,"6' 1""",208,"Mar 1, 1995",4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Javier Assad,24,mx MX,R,R,"6' 1""",200,"Jul 30, 1997",1st,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
David Bote,29,us US,R,R,"6' 1""",205,"Apr 7, 1993",5,41,35,41,38,0,0,6,18,16,0,0,0,0,0,1,2,1,0.8,"$2,510,000",
Steven Brault,30,us US,L,L,"6' 0""",195,"Apr 29, 1992",7,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Kervin Castro,23,ve VE,R,R,"6' 0""",185,"Feb 7, 1999",2,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Jesse Chavez,38,us US,R,R,"6' 1""",175,"Aug 21, 1983",15,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$700,000",
Willson Contreras,30,ve VE,R,R,"6' 1""",225,"May 13, 1992",7,113,111,113,72,0,72,0,0,0,0,0,0,0,0,39,2,0,3.9,"$9,625,000",All-Star
Narciso Crook,26,do DO,R,R,"6' 3""",220,"Jul 12, 1995",1st,4,2,4,3,0,0,0,0,0,0,0,1,2,3,0,2,0,-0.2,,
Matt Dermody,31,us US,R,L,"6' 5""",190,"Jul 4, 1990",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Scott Effross,28,us US,R,R,"6' 2""",202,"Dec 28, 1993",2,47,1,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Anderson Espinoza,24,ve VE,R,R,"6' 0""",190,"Mar 9, 1998",1st,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jeremiah Estrada,23,us US,B,R,"6' 1""",185,"Nov 1, 1998",1st,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Luke Farrell,31,us US,L,R,"6' 6""",200,"Jun 7, 1991",6,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Clint Frazier,27,us US,R,R,"5' 11""",212,"Sep 6, 1994",6,19,10,19,7,0,0,0,0,0,0,5,0,2,7,8,6,2,0.1,"$1,500,000",
Mychal Givens,32,us US,R,R,"6' 0""",250,"May 13, 1990",8,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,1,"$3,500,000",
Yan Gomes,34,br BR,R,R,"6' 2""",212,"Jul 19, 1987",11,86,75,86,69,0,69,0,0,0,0,0,0,0,0,9,9,0,0.8,"$6,000,000",
Robert Gsellman,28,us US,R,R,"6' 4""",200,"Jul 18, 1993",7,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$100,000",
Ian Happ,27,us US,B,R,"6' 0""",205,"Aug 12, 1994",6,158,152,158,147,0,0,0,0,0,0,146,3,0,147,10,6,0,4.4,"$6,850,000",All-Star
Kyle Hendricks,32,us US,R,R,"6' 3""",190,"Dec 7, 1989",9,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$14,000,000",
Michael Hermosillo,27,us US,R,R,"6' 0""",205,"Jan 17, 1995",5,31,19,31,30,0,0,0,0,0,0,1,28,2,30,0,7,1,-0.6,"$600,000",
Jason Heyward,32,us US,L,L,"6' 5""",240,"Aug 9, 1989",13,48,41,48,47,0,0,0,0,0,0,0,26,21,47,0,3,0,-0.7,"$22,000,000",
P.J. Higgins,29,us US,R,R,"5' 10""",195,"May 10, 1993",2,74,51,74,71,0,34,38,0,4,0,0,0,0,0,1,9,1,0,,
Nico Hoerner,25,us US,R,R,"6' 1""",200,"May 13, 1997",4,135,129,135,133,0,0,0,0,1,133,0,0,0,0,1,3,0,4.5,,
Brandon Hughes,26,us US,B,L,"6' 2""",215,"Dec 1, 1995",1st,57,0,1,57,57,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Caleb Kilian,25,us US,R,R,"6' 4""",180,"Jun 2, 1997",1st,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Mark Leiter Jr.,31,us US,R,R,"6' 0""",210,"Mar 13, 1991",3,35,4,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Brendon Little,25,us US,L,L,"6' 2""",195,"Aug 11, 1996",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Nick Madrigal,25,us US,R,R,"5' 8""",175,"Mar 5, 1997",3,59,53,59,59,0,0,0,59,0,0,0,0,0,0,0,5,0,0.7,,
Chris Martin,36,us US,R,R,"6' 8""",225,"Jun 2, 1986",7,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,"$2,500,000",
Zach McKinstry,27,us US,L,R,"6' 0""",180,"Apr 29, 1995",3,47,40,47,46,0,0,0,19,21,9,0,0,0,0,1,3,1,0.5,,
Conner Menez,27,us US,L,L,"6' 2""",206,"May 29, 1995",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Wade Miley,35,us US,L,L,"6' 1""",220,"Nov 13, 1986",12,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"$10,000,000",
Alec Mills,30,us US,R,R,"6' 4""",205,"Nov 30, 1991",6,7,2,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,
