Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
José Abreu,35,cu CU,R,R,"6' 3""",235,"Jan 29, 1987",9,157,157,157,128,0,0,128,0,0,0,0,0,0,0,29,0,0,4.2,"$19,666,667",
Tim Anderson,29,us US,R,R,"6' 1""",185,"Jun 23, 1993",7,79,79,79,79,0,0,0,0,0,79,0,0,0,0,0,0,0,1.3,"$9,500,000",All-Star
Elvis Andrus,33,ve VE,R,R,"6' 0""",210,"Aug 26, 1988",14,43,43,43,42,0,0,0,0,0,42,0,0,0,0,1,0,0,1.8,,
Tanner Banks,30,us US,R,L,"6' 1""",210,"Oct 24, 1991",1st,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Aaron Bummer,28,us US,L,L,"6' 3""",215,"Sep 21, 1993",6,32,0,1,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$2,500,000",
Jake Burger,26,us US,R,R,"6' 2""",230,"Apr 10, 1996",2,51,44,51,40,0,0,0,3,37,0,0,0,0,0,9,3,1,-0.1,,
Ryan Burr,28,us US,R,R,"6' 4""",220,"May 28, 1994",4,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Dylan Cease,26,us US,R,R,"6' 2""",195,"Dec 28, 1995",4,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,6.4,,
Kyle Crick,29,us US,L,R,"6' 4""",225,"Nov 30, 1992",6,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Johnny Cueto,36,do DO,R,R,"5' 11""",229,"Feb 15, 1986",15,25,24,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,3.5,,
Jake Diekman,35,us US,R,L,"6' 4""",195,"Jan 21, 1987",11,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Adam Engel,30,us US,R,R,"6' 2""",215,"Dec 9, 1991",6,119,60,119,113,0,0,0,0,0,0,3,57,55,113,3,8,17,0,"$2,000,000",
Matt Foster,27,us US,R,R,"6' 0""",215,"Jan 27, 1995",3,48,0,1,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Leury Garcia,31,do DO,B,R,"5' 8""",190,"Mar 18, 1991",10,97,76,97,88,0,0,0,47,6,19,9,4,15,23,5,6,9,-1,"$5,500,000",
Lucas Giolito,27,us US,R,R,"6' 6""",245,"Jul 14, 1994",7,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$7,450,000",
Romy Gonzalez,25,us US,R,R,"6' 1""",215,"Sep 6, 1996",2,32,28,32,30,0,0,0,25,0,3,1,0,2,3,0,3,0,-0.4,,
Yasmani Grandal,33,cu CU,B,R,"6' 2""",225,"Nov 8, 1988",11,99,92,99,74,0,71,5,0,0,0,0,0,0,0,25,4,0,-1.4,"$18,250,000",
Kendall Graveman,31,us US,R,R,"6' 2""",200,"Dec 21, 1990",8,65,0,1,65,65,0,0,0,0,0,0,0,0,0,0,0,0,1,"$8,000,000",
Josh Harrison,34,us US,R,R,"5' 8""",190,"Jul 8, 1987",12,119,107,119,114,3,0,0,90,23,2,2,0,0,2,4,4,2,1.4,"$4,000,000",
Adam Haseley,26,us US,L,L,"6' 1""",190,"Apr 12, 1996",4,14,5,14,10,0,0,0,0,0,0,4,3,5,10,3,2,5,0.1,,
