Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Albert Almora,28,us US,R,R,"6' 2""",190,"Apr 16, 1994",7,64,60,64,62,0,0,0,0,0,0,17,23,28,62,1,1,1,0.5,"$100,000",
Chase Anderson,34,us US,R,R,"6' 1""",210,"Nov 30, 1987",9,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Aristides Aquino,28,do DO,R,R,"6' 4""",220,"Apr 22, 1994",5,80,70,80,78,0,0,0,0,0,0,7,2,69,78,1,4,2,1.4,,
Graham Ashcraft,24,us US,L,R,"6' 2""",248,"Feb 11, 1998",1st,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,
Jose Barrero,24,cu CU,R,R,"6' 2""",211,"Apr 5, 1998",3,48,46,48,48,0,0,0,0,0,48,0,0,0,0,0,0,0,-1.6,,
Luis Castillo,29,do DO,R,R,"6' 2""",200,"Dec 12, 1992",6,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,3.1,"$7,350,000",All-Star
Luis Cessa,30,mx MX,R,R,"6' 0""",222,"Apr 25, 1992",7,46,10,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.8,"$1,800,000",
Fernando Cruz,32,pr PR,B,R,"6' 2""",237,"Mar 28, 1990",1st,14,2,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Ronnie Dawson,27,us US,L,R,"6' 2""",217,"May 19, 1995",2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1,,
Ross Detwiler,36,us US,R,L,"6' 5""",210,"Mar 6, 1986",14,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Alexis Díaz,25,pr PR,R,R,"6' 2""",224,"Sep 28, 1996",1st,59,0,0,59,59,0,0,0,0,0,0,0,0,0,0,0,0,3.1,,
Phillip Diehl,27,us US,L,L,"6' 2""",169,"Jul 16, 1994",3,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Kyle Dowdy,29,us US,R,R,"6' 1""",210,"Feb 3, 1993",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Brandon Drury,29,us US,R,R,"6' 2""",230,"Aug 21, 1992",8,92,87,92,79,0,0,9,20,62,2,0,0,1,1,12,3,1,2.1,"$700,000",
Daniel Duarte,25,mx MX,R,R,"6' 0""",235,"Dec 4, 1996",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Robert Dugger,26,us US,R,R,"6' 0""",198,"Jul 3, 1995",4,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Justin Dunn,26,us US,R,R,"6' 2""",209,"Sep 22, 1995",4,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Raynel Espinal,30,do DO,R,R,"6' 3""",215,"Oct 6, 1991",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Stuart Fairchild,26,us US,R,R,"6' 0""",205,"Mar 17, 1996",2,38,26,38,34,0,0,0,0,0,0,20,15,4,34,0,3,5,0.7,,
Buck Farmer,31,us US,L,R,"6' 4""",243,"Feb 20, 1991",9,44,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Kyle Farmer,31,us US,R,R,"6' 0""",205,"Aug 17, 1990",6,145,142,145,133,0,0,2,0,36,98,0,0,0,0,10,3,0,1,"$3,155,000",
Luke Farrell,31,us US,L,R,"6' 6""",200,"Jun 7, 1991",6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Jake Fraley,27,us US,L,L,"6' 0""",206,"May 25, 1995",4,68,56,68,51,0,0,0,0,0,0,29,7,16,51,14,12,0,0.6,,
TJ Friedl,26,us US,L,L,"5' 10""",180,"Aug 14, 1995",2,72,58,72,61,0,0,0,0,0,0,25,24,15,61,6,12,2,0.3,,
Aramis Garcia,29,us US,R,R,"6' 1""",228,"Jan 12, 1993",4,47,35,47,45,0,41,5,0,0,0,0,0,0,0,2,3,0,-0.8,,
Ian Gibaut,28,us US,R,R,"6' 3""",250,"Nov 19, 1993",4,33,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Hunter Greene,22,us US,R,R,"6' 5""",242,"Aug 6, 1999",1st,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,
Vladimir Gutiérrez,26,cu CU,R,R,"6' 1""",205,"Sep 18, 1995",2,10,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Ryan Hendrix,27,us US,R,R,"6' 3""",215,"Dec 16, 1994",2,9,0,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jeff Hoffman,29,us US,R,R,"6' 5""",235,"Jan 8, 1993",7,35,1,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$925,000",
Jonathan India,25,us US,R,R,"6' 0""",200,"Dec 15, 1996",2,103,98,103,86,0,0,0,86,0,0,0,0,0,0,14,5,0,-0.4,,
Mark Kolozsvary,26,us US,R,R,"5' 8""",185,"Sep 4, 1995",1st,10,6,10,9,0,9,0,0,0,0,0,0,0,0,0,0,1,0.1,,
Joel Kuhnel,27,us US,R,R,"6' 5""",290,"Feb 19, 1995",3,53,0,1,53,53,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Derek Law,31,us US,R,R,"6' 3""",225,"Sep 14, 1990",6,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Nick Lodolo,24,us US,L,L,"6' 6""",216,"Feb 5, 1998",1st,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,2.8,,
Alejo Lopez,26,mx MX,B,R,"5' 10""",170,"May 5, 1996",2,61,34,59,45,3,0,0,33,8,0,4,0,2,6,8,16,3,-0.4,,
Tyler Mahle,27,us US,R,R,"6' 3""",210,"Sep 29, 1994",6,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,2.1,"$5,200,000",
Mike Minor,34,us US,R,L,"6' 4""",210,"Dec 26, 1987",11,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Colin Moran,29,us US,L,R,"6' 4""",225,"Oct 1, 1992",7,42,31,42,36,0,0,25,0,14,0,0,0,0,0,2,9,0,-0.3,"$1,000,000",
Dauri Moreta,26,do DO,R,R,"6' 2""",185,"Apr 15, 1996",2,35,1,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Taylor Motter,32,us US,R,R,"6' 1""",195,"Sep 18, 1989",5,2,2,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,-0.2,,
Mike Moustakas,33,us US,L,R,"6' 0""",225,"Sep 11, 1988",12,78,72,78,47,0,0,24,0,25,0,0,0,0,0,30,6,0,-1,"$16,000,000",
Tyler Naquin,31,us US,L,R,"6' 1""",202,"Apr 24, 1991",7,56,49,56,42,0,0,0,0,0,0,0,1,42,42,11,7,0,0.1,"$4,025,000",
Chris Okey,27,us US,R,R,"5' 11""",200,"Dec 29, 1994",1st,7,3,7,7,0,7,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Connor Overton,28,us US,L,R,"6' 0""",205,"Jul 24, 1993",2,6,4,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Michael Papierski,26,us US,B,R,"6' 3""",224,"Feb 26, 1996",1st,34,27,34,34,0,34,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Tommy Pham,34,us US,R,R,"6' 1""",223,"Mar 8, 1988",9,91,90,91,83,0,0,0,0,0,0,83,0,0,83,8,1,0,0.6,"$6,000,000",
Matt Reynolds,31,us US,R,R,"6' 1""",210,"Dec 3, 1990",5,92,67,92,90,2,0,13,36,14,23,3,1,10,14,1,8,6,0.6,,
JT Riddle,30,us US,L,R,"6' 1""",190,"Oct 12, 1991",6,2,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,
Chuckie Robinson,27,us US,R,R,"5' 11""",215,"Dec 14, 1994",1st,25,20,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Austin Romine,33,us US,R,R,"6' 1""",216,"Nov 22, 1988",11,37,29,37,37,0,37,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Reiver Sanmartin,26,co CO,L,L,"6' 2""",160,"Apr 15, 1996",2,45,4,1,45,45,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Tony Santillan,25,us US,R,R,"6' 3""",285,"Apr 15, 1997",2,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Max Schrock,27,us US,L,R,"5' 9""",185,"Oct 12, 1994",3,13,4,13,7,1,0,0,2,0,0,2,0,3,5,1,8,0,-0.4,,
Nick Senzel,27,us US,R,R,"6' 1""",218,"Jun 29, 1995",4,110,104,110,102,0,0,0,1,2,0,0,101,0,101,5,3,2,-1.3,"$1,250,000",
Michael Siani,22,us US,L,L,"6' 1""",188,"Jul 16, 1999",1st,9,7,9,9,0,0,0,0,0,0,0,9,0,9,0,0,2,-0.4,,
Lucas Sims,28,us US,R,R,"6' 2""",213,"May 10, 1994",6,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$1,200,000",
Donovan Solano,34,co CO,R,R,"5' 8""",210,"Dec 17, 1987",9,80,70,80,47,0,0,26,7,16,0,0,0,0,0,26,9,0,0.8,"$4,500,000",
Jared Solomon,25,us US,R,R,"6' 2""",219,"Jun 10, 1997",1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Spencer Steer,24,us US,R,R,"5' 11""",185,"Dec 7, 1997",1st,28,27,28,25,0,0,9,5,14,0,0,0,0,0,2,1,0,0,,
Tyler Stephenson,25,us US,R,R,"6' 4""",225,"Aug 16, 1996",3,50,46,50,46,0,45,1,0,0,0,0,0,0,0,3,3,0,1.5,,
Hunter Strickland,33,us US,R,R,"6' 3""",225,"Sep 24, 1988",9,66,0,1,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,825,000",
Joey Votto,38,ca CA,L,R,"6' 2""",220,"Sep 10, 1983",16,91,90,91,76,0,0,76,0,0,0,0,0,0,0,14,1,0,-0.3,"$25,000,000",
Art Warren,29,us US,R,R,"6' 3""",230,"Mar 23, 1993",3,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,,
Justin Wilson,34,us US,L,L,"6' 2""",205,"Aug 18, 1987",11,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$2,300,000",
T.J. Zeuch,26,us US,R,R,"6' 7""",245,"Aug 1, 1995",4,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,,
