Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Logan Allen,25,us US,R,L,"6' 3""",200,"May 23, 1997",4,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Gabriel Arias,22,ve VE,R,R,"6' 1""",217,"Feb 27, 2000",1st,16,14,16,16,0,0,1,3,9,3,0,0,0,0,0,0,1,0.2,,
Will Benson,24,us US,L,L,"6' 5""",230,"Jun 16, 1998",1st,28,15,28,20,0,0,0,0,0,0,4,10,6,20,2,6,2,-0.3,,
Shane Bieber,27,us US,R,R,"6' 3""",200,"May 31, 1995",5,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3.5,"$6,000,000",
Bobby Bradley,26,us US,L,R,"6' 1""",225,"May 29, 1996",3,8,5,8,7,0,0,7,0,0,0,0,0,0,0,0,2,0,-0.4,,
Will Brennan,24,us US,L,L,"6' 0""",200,"Feb 2, 1998",1st,11,10,11,10,0,0,0,0,0,0,5,1,4,10,1,1,0,0.6,,
Alex Call,27,us US,R,R,"5' 11""",189,"Sep 27, 1994",1st,12,2,12,10,0,0,0,0,0,0,1,2,7,10,0,4,1,0.1,,
Anthony Castro,27,ve VE,R,R,"6' 2""",191,"Apr 13, 1995",3,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Yu Chang,26,tw TW,R,R,"6' 1""",180,"Aug 18, 1995",4,4,2,4,4,0,0,2,2,1,0,0,0,0,0,0,1,0,-0.3,,
Aaron Civale,27,us US,R,R,"6' 2""",215,"Jun 12, 1995",4,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,,
Emmanuel Clase,24,do DO,R,R,"6' 2""",206,"Mar 18, 1998",3,77,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"$1,900,000",All-Star
Ernie Clement,26,us US,R,R,"6' 0""",170,"Mar 22, 1996",2,64,36,63,55,2,0,5,15,26,0,11,0,0,11,6,6,14,-0.5,,
Xzavion Curry,23,us US,R,R,"6' 0""",195,"Jul 27, 1998",1st,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Enyel De Los Santos,26,do DO,R,R,"6' 3""",235,"Dec 25, 1995",4,50,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Tyler Freeman,23,us US,R,R,"6' 0""",190,"May 21, 1999",1st,24,21,24,22,0,0,0,4,11,7,0,0,0,0,1,2,1,-0.3,,
Hunter Gaddis,24,us US,R,R,"6' 6""",260,"Apr 9, 1998",1st,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,
Ian Gibaut,28,us US,R,R,"6' 3""",250,"Nov 19, 1993",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Andrés Giménez,23,ve VE,L,R,"5' 11""",161,"Sep 4, 1998",3,146,134,146,141,0,0,0,125,0,18,0,0,0,0,0,8,0,7.4,,All-Star
Oscar Gonzalez,24,do DO,R,R,"6' 4""",240,"Jan 10, 1998",1st,91,89,91,84,0,0,0,0,0,0,0,0,84,84,7,2,0,2.1,,
Anthony Gose,31,us US,L,L,"6' 0""",200,"Aug 10, 1990",7,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Austin Hedges,29,us US,R,R,"6' 1""",223,"Aug 18, 1992",8,105,97,105,105,0,105,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$4,000,000",
Sam Hentges,25,us US,L,L,"6' 6""",245,"Jul 18, 1996",2,57,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Nolan Jones,24,us US,L,R,"6' 4""",195,"May 7, 1998",1st,28,25,28,22,0,0,0,0,0,0,0,0,22,22,4,3,0,0.1,,
James Karinchak,26,us US,R,R,"6' 3""",215,"Sep 22, 1995",4,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Steven Kwan,24,us US,L,L,"5' 9""",170,"Sep 5, 1997",1st,147,139,147,137,0,0,0,0,0,0,123,7,20,137,6,7,0,5.5,,
Bryan Lavastida,23,us US,R,R,"6' 0""",200,"Nov 27, 1998",1st,6,4,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Sandy Leon,33,ve VE,B,R,"5' 10""",235,"Mar 13, 1989",11,9,6,8,9,1,8,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Luke Maile,31,us US,R,R,"6' 3""",225,"Feb 6, 1991",7,76,55,76,76,0,76,0,0,0,0,0,0,0,0,0,0,0,0.7,"$900,000",
Kirk McCarty,26,us US,L,L,"5' 8""",185,"Oct 12, 1995",1st,13,2,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Triston McKenzie,24,us US,R,R,"6' 5""",165,"Aug 2, 1997",3,31,30,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,3.9,,
