Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Daniel Bard,37,us US,R,R,"6' 4""",215,"Jun 25, 1985",8,57,0,3,57,57,0,0,0,0,0,0,0,0,0,0,0,0,3.8,"$4,400,000",
Wynton Bernard,31,us US,R,R,"6' 2""",195,"Sep 24, 1990",1st,12,10,12,11,0,0,0,0,0,0,1,10,1,11,1,0,1,0.1,,
Jake Bird,26,us US,R,R,"6' 3""",200,"Dec 4, 1995",1st,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Ty Blach,31,us US,R,L,"6' 1""",215,"Oct 20, 1990",5,24,1,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Charlie Blackmon,35,us US,L,L,"6' 3""",221,"Jul 1, 1986",12,135,128,135,51,0,0,0,0,0,0,0,0,51,51,80,7,0,-0.2,"$21,000,000",
Sean Bouchard,26,us US,R,R,"6' 3""",215,"May 16, 1996",1st,27,25,27,26,0,0,0,0,0,0,26,0,0,26,0,1,0,0.9,,
Kris Bryant,30,us US,R,R,"6' 5""",230,"Jan 4, 1992",8,42,42,42,30,0,0,0,0,0,0,30,0,0,30,12,0,0,0.4,"$18,000,000",
Jhoulys Chacín,34,ve VE,R,R,"6' 3""",215,"Jan 7, 1988",14,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,"$1,250,000",
Alex Colomé,33,do DO,R,R,"6' 2""",240,"Dec 31, 1988",10,53,0,1,53,53,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$4,100,000",
C.J. Cron,32,us US,R,R,"6' 4""",235,"Jan 5, 1990",9,150,148,150,121,0,0,121,0,0,0,0,0,0,0,28,2,0,2.1,"$7,250,000",All-Star
Noah Davis,25,us US,R,R,"6' 2""",195,"Apr 22, 1997",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Yonathan Daza,28,ve VE,R,R,"6' 2""",207,"Feb 28, 1994",3,113,94,113,112,0,0,0,0,0,0,27,92,1,112,0,4,2,1.1,,
Elias Díaz,31,ve VE,R,R,"6' 1""",223,"Nov 17, 1990",8,105,94,105,104,0,104,0,0,0,0,0,0,0,0,0,7,0,0.4,"$3,000,000",
Carlos Estévez,29,do DO,R,R,"6' 6""",277,"Dec 28, 1992",6,62,0,1,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$3,025,000",
Ryan Feltner,25,us US,R,R,"6' 4""",190,"Sep 2, 1996",2,20,19,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Kyle Freeland,29,us US,L,L,"6' 4""",204,"May 14, 1993",6,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"$7,000,000",
Lucas Gilbreath,26,us US,L,L,"6' 1""",185,"Mar 5, 1996",2,47,0,1,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Austin Gomber,28,us US,L,L,"6' 5""",220,"Nov 23, 1993",4,33,17,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Ashton Goudeau,29,us US,R,R,"6' 6""",220,"Jul 23, 1992",3,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Randal Grichuk,30,us US,R,R,"6' 2""",216,"Aug 13, 1991",9,141,129,140,138,1,0,0,0,0,0,0,52,106,137,1,3,1,0.3,,
Garrett Hampson,27,us US,R,R,"5' 11""",196,"Oct 10, 1994",5,90,57,90,81,0,0,0,10,7,32,0,36,0,36,6,1,15,-1.1,"$1,863,000",
Sam Hilliard,28,us US,L,L,"6' 5""",236,"Feb 21, 1994",4,70,51,70,68,0,0,0,0,0,0,59,14,3,68,0,0,9,0.4,,
Gavin Hollowell,24,us US,R,R,"6' 7""",215,"Nov 4, 1997",1st,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
José Iglesias,32,cu CU,R,R,"5' 11""",195,"Jan 5, 1990",11,118,118,118,116,0,0,0,0,0,116,0,0,0,0,2,0,0,1.2,"$5,000,000",
Connor Joe,29,us US,R,R,"6' 0""",205,"Aug 16, 1992",3,111,101,111,82,0,0,24,0,0,0,50,0,16,64,27,7,3,0.9,,
Tyler Kinley,31,us US,R,R,"6' 4""",220,"Jan 31, 1991",5,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$1,025,000",
Chad Kuhl,29,us US,R,R,"6' 3""",207,"Sep 10, 1992",6,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,"$3,000,000",
Dinelson Lamet,29,do DO,R,R,"6' 3""",228,"Jul 18, 1992",5,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Justin Lawrence,27,pa PA,R,R,"6' 3""",213,"Nov 25, 1994",2,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Germán Márquez,27,ve VE,R,R,"6' 1""",230,"Feb 22, 1995",7,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$11,300,000",
Ryan McMahon,27,us US,L,R,"6' 2""",219,"Dec 14, 1994",6,153,142,153,151,0,0,1,10,145,0,0,0,0,0,1,0,2,3.1,"$5,000,000",
Elehuris Montero,23,do DO,R,R,"6' 3""",235,"Aug 17, 1998",1st,53,45,53,39,0,0,16,0,23,0,0,0,0,0,12,2,1,0.1,,
Dom Nuñez,27,us US,L,R,"6' 1""",212,"Jan 17, 1995",3,14,13,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Brendan Rodgers,25,us US,R,R,"6' 0""",204,"Aug 9, 1996",4,137,136,137,135,0,0,0,135,0,0,0,0,0,0,2,0,0,4.3,,
Antonio Senzatela,27,ve VE,R,R,"6' 1""",236,"Jan 21, 1995",6,19,19,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$7,250,000",
Brian Serven,27,us US,R,R,"6' 0""",207,"May 5, 1995",1st,62,55,62,61,1,59,1,0,0,0,0,0,0,0,1,1,1,0,,
Jordan Sheffield,27,us US,R,R,"5' 10""",190,"Jun 1, 1995",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Chad Smith,27,us US,R,R,"6' 4""",200,"Jun 8, 1995",1st,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Robert Stephenson,29,us US,R,R,"6' 3""",205,"Feb 24, 1993",7,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,280,000",
Michael Toglia,23,us US,B,L,"6' 5""",226,"Aug 16, 1998",1st,31,30,31,30,0,0,15,0,0,0,0,0,17,17,0,1,0,-0.1,,
Ezequiel Tovar,20,ve VE,R,R,"6' 0""",162,"Aug 1, 2001",1st,9,9,9,9,0,0,0,0,0,9,0,0,0,0,0,0,0,-0.4,,
Alan Trejo,26,us US,R,R,"6' 2""",205,"May 30, 1996",2,35,31,35,35,0,0,0,13,2,20,0,0,0,0,0,1,0,0.2,,
José Ureña,30,do DO,R,R,"6' 2""",208,"Sep 12, 1991",8,17,17,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
