Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Tyler Alexander,27,us US,R,L,"6' 2""",203,"Jul 14, 1994",4,27,17,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Akil Baddoo,23,us US,L,L,"6' 1""",214,"Aug 16, 1998",2,73,63,73,65,0,0,0,0,0,0,50,16,0,65,2,4,6,0.3,,
Javier Báez,29,pr PR,R,R,"6' 0""",190,"Dec 1, 1992",9,144,142,144,133,0,0,0,0,0,133,0,0,0,0,10,2,0,2.5,"$20,000,000",
Jacob Barnes,32,us US,R,R,"6' 2""",231,"Apr 14, 1990",7,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$700,000",
Tucker Barnhart,31,us US,L,R,"5' 11""",192,"Jan 7, 1991",9,94,90,94,94,1,92,0,0,1,0,0,0,0,0,0,0,0,0.1,"$7,500,000",
Beau Brieske,24,us US,R,R,"6' 3""",200,"Apr 5, 1998",1st,15,15,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Miguel Cabrera,39,ve VE,R,R,"6' 4""",267,"Apr 18, 1983",20,112,109,112,0,0,0,0,0,0,0,0,0,0,0,109,3,0,-1,"$32,000,000",All-Star
Daz Cameron,25,us US,R,R,"6' 2""",185,"Jan 15, 1997",3,21,19,21,20,0,0,0,0,0,0,0,7,14,20,0,1,1,0,,
Jeimer Candelario,28,us US,B,R,"6' 2""",222,"Nov 24, 1993",7,124,119,124,117,0,0,0,0,117,0,0,0,0,0,8,3,1,0.6,"$5,800,000",
Drew Carlton,26,us US,R,R,"6' 1""",215,"Sep 8, 1995",2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Kerry Carpenter,24,us US,L,R,"6' 2""",220,"Sep 2, 1997",1st,31,28,31,19,0,0,0,0,0,0,12,0,8,19,12,2,0,0.5,,
Luis Castillo,27,do DO,R,R,"6' 3""",212,"Mar 10, 1995",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Harold Castro,28,ve VE,L,R,"5' 10""",195,"Nov 30, 1993",5,120,107,120,107,4,0,50,14,25,19,3,1,0,4,9,9,1,0.1,"$1,275,000",
Willi Castro,25,pr PR,B,R,"6' 1""",206,"Apr 24, 1997",4,112,94,112,105,0,0,0,16,6,16,27,16,40,80,5,8,6,1.2,,
