Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Bryan Abreu,25,do DO,R,R,"6' 1""",225,"Apr 22, 1997",4,55,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Jose Altuve,32,ve VE,R,R,"5' 6""",166,"May 6, 1990",12,141,137,141,136,0,0,0,136,0,0,0,0,0,0,2,4,0,5.1,"$29,000,000",All-Star
Yordan Alvarez,25,cu CU,L,R,"6' 5""",225,"Jun 27, 1997",4,135,133,135,56,0,0,0,0,0,0,56,0,0,56,77,2,0,6.8,"$764,600",All-Star
Pedro Báez,34,do DO,R,R,"6' 0""",232,"Mar 11, 1988",9,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$5,750,000",
Brandon Bielak,26,us US,L,R,"6' 2""",208,"Apr 2, 1996",3,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Ronel Blanco,28,do DO,R,R,"6' 0""",180,"Aug 31, 1993",1st,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Michael Brantley,35,us US,L,L,"6' 2""",209,"May 15, 1987",14,64,64,64,29,0,0,0,0,0,0,29,0,0,29,35,0,0,1.3,"$16,000,000",
Alex Bregman,28,us US,R,R,"6' 0""",192,"Mar 30, 1994",7,155,153,155,154,0,0,0,0,154,0,0,0,0,0,0,1,0,4.5,"$13,000,000",
Hunter Brown,23,us US,R,R,"6' 2""",212,"Aug 29, 1998",1st,7,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
Jason Castro,35,us US,L,R,"6' 3""",215,"Jun 18, 1987",12,34,22,34,30,0,30,0,0,0,0,0,0,0,0,0,7,0,-0.6,"$3,500,000",
Aledmys Díaz,31,cu CU,R,R,"6' 1""",195,"Aug 1, 1990",7,92,76,92,78,0,0,6,22,10,18,28,0,1,29,7,9,2,1,"$4,450,000",
