Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Albert Abreu,26,do DO,R,R,"6' 2""",190,"Sep 26, 1995",3,4,0,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Scott Barlow,29,us US,R,R,"6' 3""",210,"Dec 18, 1992",5,69,0,3,69,69,0,0,0,0,0,0,0,0,0,0,0,0,2.8,"$2,400,000",
Andrew Benintendi,27,us US,L,L,"5' 9""",180,"Jul 6, 1994",7,93,89,93,91,0,0,0,0,0,0,91,0,0,91,1,3,0,2.5,"$8,500,000",All-Star
Dairon Blanco,29,cu CU,R,R,"6' 0""",170,"Apr 26, 1993",1st,5,2,5,3,0,0,0,0,0,0,0,3,0,3,1,1,2,0,,
Ronald Bolaños,25,cu CU,R,R,"6' 2""",230,"Aug 23, 1996",4,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Jake Brentz,27,us US,L,L,"6' 1""",205,"Sep 14, 1994",2,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,,
Kris Bubic,24,us US,L,L,"6' 3""",225,"Aug 19, 1997",3,28,27,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Max Castillo,23,ve VE,R,R,"6' 2""",280,"May 4, 1999",1st,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,
Taylor Clarke,29,us US,R,R,"6' 4""",217,"May 13, 1993",4,47,0,4,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$975,000",
Dylan Coleman,25,us US,R,R,"6' 5""",230,"Sep 16, 1996",2,68,0,4,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1.7,,
Jose Cuas,28,do DO,R,R,"6' 3""",195,"Jun 28, 1994",1st,47,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Hunter Dozier,30,us US,R,R,"6' 4""",220,"Aug 22, 1991",6,129,121,128,101,1,0,42,0,27,0,9,0,35,40,25,4,1,-1.4,"$4,750,000",
Nate Eaton,25,us US,R,R,"5' 11""",185,"Dec 22, 1996",1st,44,33,44,43,0,0,0,0,15,0,6,5,20,30,0,4,6,0.9,,
Freddy Fermin,27,ve VE,R,R,"5' 10""",200,"May 16, 1995",1st,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Cam Gallagher,29,us US,R,R,"6' 3""",230,"Dec 6, 1992",6,18,14,18,18,0,18,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$885,000",
Maikel Garcia,22,ve VE,R,R,"6' 0""",145,"Mar 3, 2000",1st,9,6,9,8,0,0,0,0,0,8,0,0,0,0,0,1,0,-0.1,,
Amir Garrett,30,us US,R,L,"6' 5""",239,"May 3, 1992",6,60,0,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0,"$2,025,000",
Zack Greinke,38,us US,R,R,"6' 2""",200,"Oct 21, 1983",19,26,26,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$13,000,000",
Foster Griffin,26,us US,R,L,"6' 3""",225,"Jul 27, 1995",2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Jonathan Heasley,25,us US,R,R,"6' 3""",225,"Jan 27, 1997",2,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Carlos Hernández,25,ve VE,R,R,"6' 4""",245,"Mar 11, 1997",3,27,7,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-1.2,,
Brewer Hicklen,26,us US,R,R,"6' 2""",220,"Feb 9, 1996",1st,6,1,6,5,0,0,0,0,0,0,2,1,2,5,0,1,3,-0.1,,
Kyle Isbel,25,us US,L,R,"5' 11""",190,"Mar 3, 1997",2,106,72,106,101,0,0,0,0,0,0,29,30,49,101,3,4,13,0.2,,
Brad Keller,26,us US,R,R,"6' 5""",255,"Jul 27, 1995",5,35,22,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$4,825,000",
Jackson Kowar,25,us US,R,R,"6' 5""",200,"Oct 4, 1996",2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Nicky Lopez,27,us US,L,R,"5' 11""",180,"Mar 13, 1995",4,142,127,141,140,1,0,0,68,30,52,0,0,0,0,2,3,7,-0.2,"$2,550,000",
Daniel Lynch,25,us US,L,L,"6' 6""",200,"Nov 17, 1996",2,27,27,1,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Michael Massey,24,us US,L,R,"6' 0""",190,"Mar 22, 1998",1st,52,47,52,49,0,0,0,48,1,0,0,0,0,0,2,3,1,0.7,,
MJ Melendez,23,us US,L,R,"6' 1""",190,"Nov 29, 1998",1st,129,124,129,111,0,78,0,0,0,0,23,0,15,38,23,3,1,0.5,,
Daniel Mengden,29,us US,R,R,"6' 1""",215,"Feb 19, 1993",6,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Whit Merrifield,33,us US,R,R,"6' 1""",195,"Jan 24, 1989",7,95,95,95,90,0,0,0,61,0,0,0,6,33,39,5,0,0,-0.2,"$7,000,000",
Wyatt Mills,27,us US,R,R,"6' 4""",214,"Jan 25, 1995",2,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Anthony Misiewicz,27,us US,R,L,"6' 1""",196,"Nov 1, 1994",3,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Adalberto Mondesí,26,us US,B,R,"6' 1""",200,"Jul 27, 1995",8,15,15,15,15,0,0,0,0,0,15,0,0,0,0,0,0,0,-0.2,"$3,000,000",
Ryan O'Hearn,28,us US,L,L,"6' 3""",220,"Jul 26, 1993",5,67,28,67,25,0,0,13,0,0,0,0,0,13,13,17,33,1,-0.5,"$1,300,000",
Edward Olivares,26,ve VE,R,R,"6' 2""",190,"Mar 6, 1996",3,53,41,53,39,0,0,0,0,0,0,12,1,27,39,9,7,4,0.2,,
Vinnie Pasquantino,24,us US,L,L,"6' 4""",245,"Oct 10, 1997",1st,72,72,72,37,0,0,37,0,0,0,0,0,0,0,35,0,0,1.5,,
Joel Payamps,28,do DO,R,R,"6' 2""",217,"Apr 7, 1994",4,29,0,1,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Matt Peacock,28,us US,R,R,"6' 1""",185,"Feb 27, 1994",2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Salvador Perez,32,ve VE,R,R,"6' 3""",255,"May 10, 1990",11,114,114,114,77,0,77,0,0,0,0,0,0,0,0,40,0,0,2.7,"$18,000,000",
