Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jo Adell,23,us US,R,R,"6' 3""",215,8-Apr-99,3,88,71,88,84,0,0,0,0,0,0,69,0,15,84,1,13,1,-0.5,,
Ryan Aguilar,27,us US,L,L,"6' 2""",168,11-Sep-94,1st,7,6,7,7,0,0,1,0,0,0,2,1,5,7,0,0,0,-0.3,,
Kyle Barraclough,32,us US,R,R,"6' 3""",229,23-May-90,7,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Jaime Barria,25,pa PA,R,R,"6' 1""",210,18-Jul-96,5,35,1,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,2,,
Archie Bradley,29,us US,R,R,"6' 4""",215,10-Aug-92,8,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$3,750,000 ",
Jesse Chavez,38,us US,R,R,"6' 1""",175,21-Aug-83,15,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Tucker Davidson,26,us US,L,L,"6' 2""",215,25-Mar-96,3,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
Reid Detmers,22,us US,L,L,"6' 2""",210,8-Jul-99,2,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,
Jhonathan Diaz,25,ve VE,L,L,"6' 0""",170,13-Sep-96,2,4,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Matt Duffy,31,us US,R,R,"6' 2""",190,15-Jan-91,7,77,58,77,73,0,0,21,17,42,0,0,0,0,0,0,15,0,-0.4,"$1,500,000 ",
Steven Duggar,28,us US,L,R,"6' 1""",187,4-Nov-93,5,9,5,9,9,0,0,0,0,0,0,8,2,0,9,0,0,0,-0.3,,
David Fletcher,28,us US,R,R,"5' 9""",185,31-May-94,5,61,54,61,61,0,0,0,45,0,36,0,0,0,0,0,4,2,1.1,"$4,000,000 ",
Mike Ford,29,us US,L,R,"6' 0""",225,4-Jul-92,4,28,25,28,27,0,0,27,0,0,0,0,0,0,0,0,1,0,-0.1,,
Phil Gosselin,33,us US,R,R,"6' 1""",188,3-Oct-88,10,22,15,22,19,1,0,3,0,17,0,0,0,0,0,1,6,0,-0.9,,
Monte Harrison,26,us US,R,R,"6' 3""",218,10-Aug-95,3,9,4,9,8,0,0,0,0,0,0,6,3,0,8,0,0,1,0.2,,
Jimmy Herget,28,us US,R,R,"6' 3""",170,9-Sep-93,4,49,1,0,49,49,0,0,0,0,0,0,0,0,0,0,0,0,2.3,,
Raisel Iglesias,32,cu CU,R,R,"6' 2""",190,4-Jan-90,8,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$10,000,000 ",
Janson Junk,26,us US,R,R,"6' 2""",202,15-Jan-96,2,3,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Juan Lagares,33,do DO,R,R,"6' 2""",219,17-Mar-89,10,20,16,20,19,0,0,0,0,0,0,5,8,9,19,0,1,1,-0.9,,
Michael Lorenzen,30,us US,R,R,"6' 3""",217,4-Jan-92,8,18,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$7,000,000 ",
Aaron Loup,34,us US,L,L,"5' 11""",210,19-Dec-87,11,65,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$7,500,000 ",
David MacKinnon,27,us US,R,R,"6' 2""",200,15-Dec-94,1st,16,10,16,12,0,0,7,0,5,0,0,0,0,0,0,6,0,-0.2,,
Brandon Marsh,24,us US,L,R,"6' 4""",215,18-Dec-97,2,93,82,93,91,0,0,0,0,0,0,77,19,2,91,0,7,2,0.7,,
Jose Marte,26,do DO,R,R,"6' 3""",180,14-Jun-96,2,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Mike Mayers,30,us US,R,R,"6' 2""",220,6-Dec-91,7,24,3,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$2,150,000 ",
Jack Mayfield,31,us US,R,R,"5' 11""",190,30-Sep-90,4,23,18,23,22,1,0,0,11,8,0,2,0,4,6,1,4,0,-0.1,,
Mickey Moniak,24,us US,L,R,"6' 2""",195,13-May-98,3,19,16,19,19,0,0,0,0,0,0,13,6,1,19,0,1,1,-0.4,,
Brian Moran,33,us US,L,L,"6' 4""",225,30-Sep-88,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Logan O'Hoppe,22,us US,R,R,"6' 2""",185,9-Feb-00,1st,5,4,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Shohei Ohtani,27,jp JP,L,R,"6' 4""",210,5-Jul-94,5,157,153,157,28,28,0,0,0,0,0,0,0,0,0,153,4,0,9.6,"$5,500,000 ",All-Star
