Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Hanser Alberto,29,do DO,R,R,"5' 11""",215,"Oct 17, 1992",7,73,38,73,66,10,0,3,37,20,5,0,0,1,1,5,17,1,0,"$1,350,000",
Yency Almonte,28,us US,R,R,"6' 5""",223,"Jun 4, 1994",5,33,0,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Eddy Alvarez,32,us US,L,R,"5' 9""",178,"Jan 30, 1990",3,14,9,14,12,0,0,0,0,5,1,1,0,5,6,2,2,2,-0.5,"$100,000",
Tyler Anderson,32,us US,L,L,"6' 2""",220,"Dec 30, 1989",7,31,28,2,30,30,0,0,0,0,0,0,0,0,0,0,1,0,4.3,"$8,000,000",All-Star
Austin Barnes,32,us US,R,R,"5' 10""",187,"Dec 28, 1989",8,62,55,62,56,0,55,0,1,0,0,0,0,0,0,6,3,3,0.7,"$2,650,000",
Cody Bellinger,26,us US,L,L,"6' 4""",203,"Jul 13, 1995",6,144,135,144,144,0,0,0,0,0,0,0,144,0,144,0,4,0,1.2,"$17,000,000",
Mookie Betts,29,us US,R,R,"5' 9""",180,"Oct 7, 1992",9,142,138,142,139,0,0,0,7,0,0,0,0,136,136,1,3,0,6.4,"$22,916,666",All-Star
Phil Bickford,26,us US,R,R,"6' 4""",200,"Jul 10, 1995",3,60,0,2,60,60,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Justin Bruihl,25,us US,L,L,"6' 2""",215,"Jun 26, 1997",2,24,0,1,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Walker Buehler,27,us US,R,R,"6' 2""",185,"Jul 28, 1994",6,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$4,250,000",
Garrett Cleavinger,28,us US,R,L,"6' 1""",220,"Apr 23, 1994",3,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Robbie Erlin,31,us US,R,L,"5' 11""",200,"Oct 8, 1990",8,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Caleb Ferguson,25,us US,R,L,"6' 3""",226,"Jul 2, 1996",4,37,1,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$762,000",
Freddie Freeman,32,us US,L,R,"6' 5""",220,"Sep 12, 1989",13,159,159,159,159,0,0,159,0,0,0,0,0,0,0,0,0,0,5.9,"$27,000,000",All-Star
Joey Gallo,28,us US,L,R,"6' 5""",250,"Nov 19, 1993",8,44,36,44,40,0,0,1,0,0,0,32,0,10,40,4,2,0,0.2,,
Tony Gonsolin,28,us US,R,R,"6' 3""",205,"May 14, 1994",4,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,4.6,,All-Star
Brusdar Graterol,23,ve VE,R,R,"6' 1""",265,"Aug 26, 1998",4,46,1,0,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Shane Greene,33,us US,R,R,"6' 4""",200,"Nov 17, 1988",9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Michael Grove,25,us US,R,R,"6' 3""",200,"Dec 18, 1996",1st,7,6,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Andrew Heaney,31,us US,L,L,"6' 2""",200,"Jun 5, 1991",9,16,14,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$8,500,000",
Heath Hembree,33,us US,R,R,"6' 4""",220,"Jan 13, 1989",10,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Daniel Hudson,35,us US,R,R,"6' 3""",215,"Mar 9, 1987",13,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$7,000,000",
Andre Jackson,26,us US,R,R,"6' 3""",210,"May 1, 1996",2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Tommy Kahnle,32,us US,R,R,"6' 1""",230,"Aug 7, 1989",8,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$3,450,000",
Clayton Kershaw,34,us US,L,L,"6' 4""",225,"Mar 19, 1988",15,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,3.8,"$17,000,000",All-Star
Craig Kimbrel,34,us US,R,R,"6' 0""",215,"May 28, 1988",13,63,0,1,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Jake Lamb,31,us US,L,R,"6' 3""",215,"Oct 9, 1990",9,25,17,25,11,0,0,2,0,0,0,9,0,0,9,14,6,0,0.1,"$100,000",
Gavin Lux,24,us US,L,R,"6' 2""",190,"Nov 23, 1997",4,129,118,129,126,0,0,0,102,0,9,28,0,0,28,1,8,0,2.5,,
Chris Martin,36,us US,R,R,"6' 8""",225,"Jun 2, 1986",7,26,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Dustin May,24,us US,R,R,"6' 6""",180,"Sep 6, 1997",4,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Zach McKinstry,27,us US,L,R,"6' 0""",180,"Apr 29, 1995",3,10,2,10,8,0,0,0,2,1,1,1,0,3,4,2,1,1,0.1,,
Reyes Moronta,29,do DO,R,R,"5' 10""",265,"Jan 6, 1993",5,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Max Muncy,31,us US,L,R,"6' 0""",215,"Aug 25, 1990",7,136,130,136,111,0,0,3,31,84,0,0,0,0,0,25,5,0,2.7,"$13,000,000",
James Outman,25,us US,L,R,"6' 3""",215,"May 14, 1997",1st,4,4,4,3,0,0,0,0,0,0,3,0,1,3,1,0,0,0.4,,
Ryan Pepiot,24,us US,R,R,"6' 3""",215,"Aug 21, 1997",1st,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Evan Phillips,27,us US,R,R,"6' 2""",215,"Sep 11, 1994",5,64,0,1,64,64,0,0,0,0,0,0,0,0,0,0,0,0,2.8,,
Kevin Pillar,33,us US,R,R,"6' 0""",200,"Jan 4, 1989",10,4,4,4,4,0,0,0,0,0,0,4,1,0,4,0,0,0,-0.2,"$100,000",
David Price,36,us US,L,L,"6' 5""",215,"Aug 26, 1985",14,40,0,1,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$32,000,000",
Jake Reed,29,us US,R,R,"6' 2""",195,"Sep 29, 1992",2,5,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Edwin Rios,28,pr PR,L,R,"6' 3""",220,"Apr 21, 1994",4,27,20,27,8,0,0,4,0,4,0,0,0,0,0,20,5,0,0.1,,
Will Smith,27,us US,R,R,"5' 10""",195,"Mar 28, 1995",4,137,130,137,109,0,109,0,0,0,0,0,0,0,0,25,6,0,4.2,,
Chris Taylor,31,us US,R,R,"6' 1""",196,"Aug 29, 1990",9,118,110,118,114,0,0,0,22,3,1,80,10,10,95,5,7,0,0.5,"$15,000,000",
