Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jesús Aguilar,32,ve VE,R,R,"6' 3""",277,"Jun 30, 1990",9,113,106,113,59,0,0,57,0,4,0,0,0,0,0,52,7,0,-0.7,"$7,300,000",
Sandy Alcantara,26,do DO,R,R,"6' 5""",200,"Sep 7, 1995",6,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,8,"$3,800,000",All-Star
Brian Anderson,29,us US,R,R,"6' 2""",215,"May 19, 1993",6,98,92,98,86,0,0,0,1,48,0,8,0,36,44,9,6,0,0.3,"$4,475,000",
Shawn Armstrong,31,us US,R,R,"6' 2""",225,"Sep 11, 1990",8,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$700,000",
Willians Astudillo,30,ve VE,R,R,"5' 9""",225,"Oct 14, 1991",5,21,12,21,19,2,0,3,8,10,0,0,0,0,0,1,3,1,-0.6,,
Anthony Bass,34,us US,R,R,"6' 2""",205,"Nov 1, 1987",11,46,0,1,45,45,0,0,0,0,0,0,0,0,0,1,0,1,1.7,"$3,000,000",
Anthony Bender,27,us US,R,R,"6' 4""",205,"Feb 3, 1995",2,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Jon Berti,32,us US,R,R,"5' 10""",190,"Jan 22, 1990",5,102,92,102,96,0,0,0,47,37,10,16,3,0,19,3,3,6,2.5,"$1,200,000",
JJ Bleday,24,us US,L,L,"6' 3""",205,"Nov 10, 1997",1st,65,56,65,64,0,0,0,0,0,0,22,38,4,64,0,6,0,-0.5,,
Richard Bleier,35,us US,L,L,"6' 3""",215,"Apr 16, 1987",7,55,1,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$2,250,000",
Huascar Brazoban,32,do DO,R,R,"6' 3""",155,"Oct 15, 1989",1st,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Jeff Brigham,30,us US,R,R,"6' 0""",195,"Feb 16, 1992",4,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Peyton Burdick,25,us US,R,R,"6' 0""",205,"Feb 26, 1997",1st,32,28,32,31,0,0,0,0,0,0,14,13,4,31,0,1,1,-0.1,,
Edward Cabrera,24,do DO,R,R,"6' 5""",217,"Apr 13, 1998",2,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Daniel Castano,27,us US,L,L,"6' 3""",231,"Sep 17, 1994",3,10,7,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jazz Chisholm Jr.,24,bs BS,L,R,"5' 11""",184,"Feb 1, 1998",3,60,56,60,60,0,0,0,60,0,0,0,0,0,0,0,3,0,2.4,,All-Star
