Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Willy Adames,26,do DO,R,R,"6' 1""",214,"Sep 2, 1995",5,139,138,139,136,0,0,0,0,0,136,0,0,0,0,2,1,0,4.4,"$4,600,000",
Jason Alexander,29,us US,R,R,"6' 2""",227,"Mar 1, 1993",1st,18,11,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,,
Aaron Ashby,24,us US,R,L,"6' 1""",188,"May 24, 1998",2,27,19,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$704,500",
Luke Barker,30,us US,R,R,"6' 3""",230,"Mar 11, 1992",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Brad Boxberger,34,us US,R,R,"5' 10""",211,"May 27, 1988",11,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$1,750,000",
Mike Brosseau,28,us US,R,R,"5' 11""",203,"Mar 15, 1994",4,70,44,69,63,3,0,3,0,55,4,0,0,0,0,1,20,2,0.6,,
Corbin Burnes,27,us US,R,R,"6' 3""",246,"Oct 22, 1994",5,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,4,"$6,500,000",All-Star
Matt Bush,36,us US,R,R,"5' 10""",193,"Feb 8, 1986",5,25,1,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Lorenzo Cain,36,us US,R,R,"6' 2""",214,"Apr 13, 1986",13,43,40,43,42,0,0,0,0,0,0,0,42,0,42,0,2,1,-0.2,"$18,000,000",
Victor Caratini,28,pr PR,B,R,"5' 11""",225,"Aug 17, 1993",6,96,75,95,92,1,90,2,0,0,0,0,0,0,0,1,11,0,0.5,,
Jake Cousins,27,us US,R,R,"6' 4""",193,"Jul 14, 1994",2,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Jonathan Davis,30,us US,R,R,"5' 8""",190,"May 12, 1992",5,37,26,37,34,0,0,0,0,0,0,0,34,0,34,0,1,4,-0.1,,
Mario Feliciano,23,pr PR,R,R,"6' 1""",200,"Nov 20, 1998",2,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
Chi Chi González,30,us US,R,R,"6' 3""",210,"Jan 15, 1992",6,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Trevor Gott,29,us US,R,R,"5' 10""",182,"Aug 26, 1992",7,45,0,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Jandel Gustave,29,do DO,R,R,"6' 3""",220,"Oct 12, 1992",5,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$675,000",
Josh Hader,28,us US,L,L,"6' 3""",180,"Apr 7, 1994",6,37,0,0,37,37,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$11,000,000",All-Star
Keston Hiura,25,us US,R,R,"5' 11""",208,"Aug 2, 1996",4,80,67,80,51,0,0,33,14,0,0,5,0,0,5,26,7,2,0.8,,
Adrian Houser,29,us US,R,R,"6' 3""",242,"Feb 2, 1993",6,22,21,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$2,425,000",
Alex Jackson,26,us US,R,R,"6' 2""",238,"Dec 25, 1995",4,5,3,5,4,0,4,0,0,0,0,0,0,0,0,0,1,0,-0.1,,
Trevor Kelley,29,us US,R,R,"6' 2""",210,"Oct 20, 1992",3,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Eric Lauer,27,us US,R,L,"6' 3""",209,"Jun 3, 1995",5,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$2,425,000",
Mark Mathias,27,us US,R,R,"6' 0""",200,"Aug 2, 1994",2,6,5,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0.1,,
Andrew McCutchen,35,us US,R,R,"5' 11""",195,"Oct 10, 1986",14,134,131,134,50,0,0,0,0,0,0,31,3,19,50,82,3,0,1.1,"$8,500,000",
Jake McGee,35,us US,L,L,"6' 4""",229,"Aug 6, 1986",13,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
J.C. Mejía,25,do DO,R,R,"6' 6""",250,"Aug 26, 1996",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Hoby Milner,31,us US,L,L,"6' 3""",184,"Jan 13, 1991",6,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Garrett Mitchell,23,us US,L,R,"6' 3""",224,"Sep 4, 1998",1st,28,19,28,28,0,0,0,0,0,0,0,28,0,28,0,2,1,0.9,,
Omar Narváez,30,ve VE,L,R,"5' 11""",220,"Feb 10, 1992",7,84,81,84,83,0,83,0,0,0,0,0,0,0,0,1,1,0,0.2,"$5,000,000",
Freddy Peralta,26,do DO,R,R,"6' 0""",196,"Jun 4, 1996",5,18,17,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1,"$2,484,960",
