Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jorge Alcala,26,do DO,R,R,"6' 3""",205,"Jul 28, 1995",4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Chris Archer,33,us US,R,R,"6' 2""",195,"Sep 26, 1988",10,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,"$2,750,000",
Luis Arraez,25,ve VE,L,R,"5' 10""",175,"Apr 9, 1997",4,144,129,144,102,0,0,65,41,7,0,0,0,0,0,38,13,0,4.4,"$2,125,000",All-Star
Tim Beckham,32,us US,R,R,"6' 0""",215,"Jan 27, 1990",7,12,5,12,6,0,0,2,0,0,0,4,0,0,4,3,5,1,-0.5,,
Dylan Bundy,29,us US,B,R,"6' 1""",225,"Nov 15, 1992",8,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$4,000,000",
Byron Buxton,28,us US,R,R,"6' 2""",190,"Dec 18, 1993",8,92,86,92,58,0,0,0,0,0,0,0,58,0,58,35,5,1,4,"$9,142,857",All-Star
Yennier Cano,28,cu CU,R,R,"6' 4""",245,"Mar 9, 1994",1st,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Jake Cave,29,us US,L,L,"6' 0""",200,"Dec 4, 1992",5,54,43,54,51,0,0,0,0,0,0,45,4,10,51,0,7,1,0.6,,
Gilberto Celestino,23,do DO,R,L,"6' 0""",170,"Feb 13, 1999",2,122,87,122,119,0,0,0,0,0,0,28,90,8,119,0,14,9,0.3,,
Mark Contreras,27,us US,L,R,"6' 0""",195,"Jan 24, 1995",1st,28,15,28,24,0,0,0,0,0,0,3,13,9,24,0,4,3,0,,
Carlos Correa,27,pr PR,R,R,"6' 4""",220,"Sep 22, 1994",8,136,133,136,132,0,0,0,0,0,132,0,0,0,0,4,3,0,5.4,"$35,100,000",
Jharel Cotton,30,vi VI,R,R,"5' 11""",200,"Jan 19, 1992",4,25,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0.5,"$700,000",
Danny Coulombe,32,us US,L,L,"5' 10""",190,"Oct 26, 1989",8,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$700,000",
Austin Davis,29,us US,L,L,"6' 4""",235,"Feb 3, 1993",5,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Tyler Duffey,31,us US,R,R,"6' 3""",220,"Dec 27, 1990",8,40,0,2,40,40,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$3,800,000",
Jhoan Duran,24,do DO,R,R,"6' 5""",230,"Jan 8, 1998",1st,57,0,3,57,57,0,0,0,0,0,0,0,0,0,0,0,0,2.8,,
Michael Fulmer,29,us US,R,R,"6' 3""",224,"Mar 15, 1993",6,26,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Kyle Garlick,30,us US,R,R,"6' 1""",210,"Jan 26, 1992",4,66,37,66,49,0,0,0,0,0,0,27,0,23,49,8,19,1,0.3,,
José Godoy,27,ve VE,L,R,"5' 11""",200,"Oct 13, 1994",2,2,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,
Chi Chi González,30,us US,R,R,"6' 3""",210,"Jan 15, 1992",6,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$100,000",
Nick Gordon,26,us US,L,R,"6' 0""",160,"Oct 24, 1995",2,138,113,136,134,4,0,0,36,1,17,62,38,0,95,2,6,8,1.6,,
Sonny Gray,32,us US,R,R,"5' 10""",195,"Nov 7, 1989",10,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,2.4,,
Billy Hamilton,31,us US,R,R,"6' 0""",160,"Sep 9, 1990",10,17,2,17,7,0,0,0,1,0,0,6,0,0,6,2,2,10,-0.1,,
Caleb Hamilton,27,us US,R,R,"6' 0""",185,"Feb 5, 1995",1st,22,4,22,17,0,11,6,0,0,0,0,0,0,0,1,2,5,-0.3,,
Ian Hamilton,27,us US,R,R,"6' 1""",200,"Jun 16, 1995",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Ronny Henriquez,22,do DO,R,R,"5' 10""",155,"Jun 20, 2000",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Griffin Jax,27,us US,R,R,"6' 2""",195,"Nov 22, 1994",2,65,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
Ryan Jeffers,25,us US,R,R,"6' 4""",235,"Jun 3, 1997",3,67,62,67,59,0,59,0,0,0,0,0,0,0,0,7,4,0,0.9,,
Max Kepler,29,de DE,L,L,"6' 4""",225,"Feb 10, 1993",8,115,105,115,110,0,0,0,0,0,0,0,3,110,110,2,9,0,2.1,"$6,750,000",
Alex Kirilloff,24,us US,L,L,"6' 2""",195,"Nov 9, 1997",3,45,39,45,41,0,0,18,0,0,0,21,0,8,28,3,2,0,-0.3,,
Trevor Larnach,25,us US,L,R,"6' 4""",223,"Feb 26, 1997",2,51,43,51,43,0,0,0,0,0,0,33,0,11,43,8,4,1,1.3,,
Sandy Leon,33,ve VE,B,R,"5' 10""",235,"Mar 13, 1989",11,25,22,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Royce Lewis,23,us US,R,R,"6' 2""",200,"Jun 5, 1999",1st,12,12,12,12,0,0,0,0,0,11,0,1,0,1,0,0,0,0.3,,
Jorge López,29,pr PR,R,R,"6' 3""",200,"Feb 10, 1993",7,23,0,2,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Tyler Mahle,27,us US,R,R,"6' 3""",210,"Sep 29, 1994",6,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
