Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Pete Alonso,27,us US,R,R,"6' 3""",245,"Dec 7, 1994",4,160,160,160,134,0,0,134,0,0,0,0,0,0,0,27,0,0,4.4,"$7,400,000",All-Star
Francisco Álvarez,20,ve VE,R,R,"5' 10""",233,"Nov 19, 2001",1st,5,2,5,2,0,2,0,0,0,0,0,0,0,0,3,2,0,0,,
R.J. Alvarez,31,us US,R,R,"6' 1""",230,"Jun 8, 1991",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Chris Bassitt,33,us US,R,R,"6' 5""",217,"Feb 22, 1989",8,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3.2,"$8,650,000",
Brett Baty,22,us US,L,R,"6' 3""",210,"Nov 13, 1999",1st,11,11,11,11,0,0,0,0,11,0,0,0,0,0,0,0,0,-0.3,,
Travis Blankenhorn,25,us US,L,R,"6' 2""",238,"Aug 3, 1996",3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.1,,
José Butto,24,ve VE,R,R,"6' 1""",202,"Mar 19, 1998",1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Mark Canha,33,us US,R,R,"6' 2""",209,"Feb 15, 1989",8,140,124,140,132,0,0,1,0,1,0,123,11,6,132,3,10,3,2.5,"$13,000,000",
Robinson Canó,39,do DO,L,R,"6' 0""",212,"Oct 22, 1982",17,12,11,12,7,0,0,0,7,0,0,0,0,0,0,5,1,0,-0.5,,
Carlos Carrasco,35,ve VE,R,R,"6' 4""",224,"Mar 21, 1987",13,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,
Alex Claudio,30,pr PR,L,L,"6' 2""",190,"Jan 31, 1992",9,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$100,000",
Sam Clay,29,us US,L,L,"6' 3""",238,"Jun 21, 1993",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
J.D. Davis,29,us US,R,R,"6' 3""",218,"Apr 27, 1993",6,66,48,66,15,0,0,4,0,12,0,0,0,0,0,45,15,2,-0.2,"$2,760,000",
Jacob deGrom,34,us US,L,R,"6' 4""",180,"Jun 19, 1988",9,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1.4,"$35,500,000",
Edwin Díaz,28,pr PR,R,R,"6' 3""",165,"Mar 22, 1994",7,61,0,2,61,61,0,0,0,0,0,0,0,0,0,0,0,0,3.2,"$10,200,000",All-Star
Eduardo Escobar,33,ve VE,B,R,"5' 10""",193,"Jan 5, 1989",12,136,130,136,130,0,0,0,2,130,0,0,0,0,0,6,3,1,1.2,"$10,000,000",
Nate Fisher,26,us US,L,L,"6' 1""",205,"May 28, 1996",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Mychal Givens,32,us US,R,R,"6' 0""",250,"May 13, 1990",8,19,1,1,19,19,0,0,0,0,0,0,0,0,0,0,0,1,-0.1,,
Terrance Gore,31,us US,R,R,"5' 7""",160,"Jun 8, 1991",8,10,1,10,6,0,0,0,0,0,0,3,3,0,6,2,0,5,-0.1,,
Luis Guillorme,27,ve VE,L,R,"5' 10""",190,"Sep 27, 1994",5,102,83,102,96,0,0,0,67,22,15,0,0,0,0,3,8,1,1.6,"$875,000",
Colin Holderman,26,us US,R,R,"6' 7""",240,"Oct 8, 1995",1st,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Tommy Hunter,35,us US,R,R,"6' 3""",250,"Jul 3, 1986",15,18,0,2,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Ender Inciarte,31,ve VE,L,L,"5' 11""",190,"Oct 29, 1990",9,11,1,11,10,0,0,0,0,0,0,6,2,2,10,1,1,4,0,,
Travis Jankowski,31,us US,L,R,"6' 2""",190,"Jun 15, 1991",8,43,17,43,39,0,0,0,0,0,0,19,10,12,39,3,1,13,-0.1,"$1,250,000",
Khalil Lee,24,us US,L,L,"5' 10""",170,"Jun 26, 1998",2,2,0,2,2,0,0,0,0,0,0,0,2,0,2,0,0,0,0.1,,
Francisco Lindor,28,pr PR,B,R,"5' 11""",190,"Nov 14, 1993",8,161,161,161,159,0,0,0,0,0,159,0,0,0,0,2,0,0,5.4,"$34,100,000",
Yoan López,29,cu CU,R,R,"6' 3""",208,"Jan 2, 1993",5,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Seth Lugo,32,us US,R,R,"6' 4""",225,"Nov 17, 1989",7,62,0,1,62,62,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$2,925,000",
Deven Marrero,31,us US,R,R,"6' 0""",190,"Aug 25, 1990",7,5,1,5,4,0,0,0,0,1,3,0,0,0,0,1,0,1,-0.2,,
Starling Marte,33,do DO,R,R,"6' 1""",195,"Oct 9, 1988",11,118,116,118,116,0,0,0,0,0,0,0,2,116,116,1,1,1,3.8,"$15,750,000",All-Star
Trevor May,32,us US,R,R,"6' 5""",240,"Sep 23, 1989",8,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$7,750,000",
Patrick Mazeika,28,us US,L,R,"6' 3""",210,"Oct 14, 1993",2,24,18,24,24,0,22,2,0,0,0,0,0,0,0,0,3,0,-0.3,,
James McCann,32,us US,R,R,"6' 3""",235,"Jun 13, 1990",9,61,54,61,61,0,60,3,0,0,0,0,0,0,0,0,1,0,-0.1,"$8,150,000",
Jeff McNeil,30,us US,L,R,"6' 1""",195,"Apr 8, 1992",5,148,142,148,143,0,0,0,106,1,0,34,0,13,47,4,3,1,5.7,"$3,000,000",All-Star
Adonis Medina,25,do DO,R,R,"6' 1""",187,"Dec 18, 1996",3,14,0,2,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Tylor Megill,26,us US,R,R,"6' 7""",230,"Jul 28, 1995",2,15,9,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Bryce Montes de Oca,26,us US,R,R,"6' 7""",265,"Apr 23, 1996",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Tyler Naquin,31,us US,L,R,"6' 1""",202,"Apr 24, 1991",7,49,29,49,41,0,0,0,0,0,0,14,2,26,41,4,6,4,-0.4,,
Tomás Nido,28,pr PR,R,R,"6' 0""",211,"Apr 12, 1994",6,98,86,98,96,0,96,0,0,0,0,0,0,0,0,0,3,0,0.3,"$890,000",
Brandon Nimmo,29,us US,L,R,"6' 3""",206,"Mar 27, 1993",7,151,148,151,151,0,0,0,0,0,0,0,151,0,151,0,0,0,5.1,"$7,000,000",
Stephen Nogosek,27,us US,R,R,"6' 2""",205,"Jan 11, 1995",3,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Adam Ottavino,36,us US,B,R,"6' 5""",246,"Nov 22, 1985",12,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,2.3,"$4,000,000",
Michael Perez,29,pr PR,L,R,"5' 10""",195,"Aug 7, 1992",5,6,4,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0.2,,
David Peterson,26,us US,L,L,"6' 6""",240,"Sep 3, 1995",3,28,19,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.9,,
Nick Plummer,25,us US,L,L,"5' 10""",200,"Jul 31, 1996",1st,14,8,14,9,0,0,0,0,0,0,4,0,5,9,5,0,2,-0.1,,
Jake Reed,29,us US,R,R,"6' 2""",195,"Sep 29, 1992",2,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Sean Reid-Foley,26,gu GU,R,R,"6' 3""",230,"Aug 30, 1995",5,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Matt Reynolds,31,us US,R,R,"6' 1""",210,"Dec 3, 1990",5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Joely Rodríguez,30,do DO,L,L,"6' 1""",200,"Nov 14, 1991",5,55,0,2,55,55,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Darin Ruf,35,us US,R,R,"6' 2""",232,"Jul 28, 1986",8,29,15,28,16,1,0,9,0,0,0,1,0,6,7,12,11,1,-0.9,,
Yolmer Sanchez,30,ve VE,B,R,"6' 0""",210,"Jun 29, 1992",8,3,0,3,3,0,0,0,0,2,1,0,0,0,0,0,0,1,-0.1,,
Max Scherzer,37,us US,R,R,"6' 3""",208,"Jul 27, 1984",15,23,23,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,5.2,"$43,333,333",
Chasen Shreve,31,us US,L,L,"6' 4""",180,"Jul 12, 1990",9,25,0,1,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$700,000",
Dominic Smith,27,us US,L,L,"6' 0""",224,"Jun 15, 1995",6,58,34,58,37,0,0,37,0,0,0,0,0,0,0,16,13,1,-0.4,"$3,950,000",
Drew Smith,28,us US,R,R,"6' 2""",190,"Sep 24, 1993",4,44,0,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$750,000",
Thomas Szapucki,26,us US,R,L,"6' 2""",210,"Jun 12, 1996",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
