Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Albert Abreu,26,do DO,R,R,"6' 2""",190,"Sep 26, 1995",3,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Miguel Andújar,27,do DO,R,R,"6' 0""",211,"Mar 2, 1995",6,27,24,27,19,0,0,1,0,0,0,19,0,0,19,8,2,0,0.2,"$1,300,000",
Harrison Bader,28,us US,R,R,"6' 0""",210,"Jun 3, 1994",6,14,12,14,14,0,0,0,0,0,0,0,14,0,14,0,1,0,-0.1,,
Anthony Banda,28,us US,L,L,"6' 2""",221,"Aug 10, 1993",6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Manny Banuelos,31,mx MX,R,L,"5' 10""",215,"Mar 13, 1991",3,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Luke Bard,31,us US,R,R,"6' 3""",200,"Nov 13, 1990",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Jacob Barnes,32,us US,R,R,"6' 2""",231,"Apr 14, 1990",7,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Andrew Benintendi,27,us US,L,L,"5' 9""",180,"Jul 6, 1994",7,33,31,33,33,0,0,0,0,0,0,33,0,0,33,0,1,0,0.7,,
Rob Brantly,32,us US,L,R,"6' 0""",190,"Jul 14, 1989",8,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
Zack Britton,34,us US,L,L,"6' 1""",200,"Dec 22, 1987",12,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$14,000,000",
Oswaldo Cabrera,23,ve VE,B,R,"6' 0""",200,"Mar 1, 1999",1st,44,41,44,43,0,0,3,3,3,4,9,0,27,34,0,2,1,1.9,,
Matt Carpenter,36,us US,L,R,"6' 4""",210,"Nov 26, 1985",12,47,35,47,22,0,0,5,0,2,0,3,0,12,15,16,12,0,2.4,,
Miguel Castro,27,do DO,R,R,"6' 7""",201,"Dec 24, 1994",8,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Aroldis Chapman,34,cu CU,L,L,"6' 4""",218,"Feb 28, 1988",13,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,"$16,000,000",
Gerrit Cole,31,us US,R,R,"6' 4""",220,"Sep 8, 1990",10,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"$36,000,000",All-Star
Nestor Cortes,27,cu CU,R,L,"5' 11""",210,"Dec 10, 1994",5,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,4.2,,All-Star
Josh Donaldson,36,us US,R,R,"6' 1""",210,"Dec 8, 1985",12,132,125,132,104,0,0,0,0,104,0,0,0,0,0,24,6,1,2.4,"$21,750,000",
Scott Effross,28,us US,R,R,"6' 2""",202,"Dec 28, 1993",2,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Estevan Florial,24,do DO,L,R,"6' 1""",195,"Nov 25, 1997",3,17,9,17,15,0,0,0,0,0,0,2,14,0,15,2,1,2,-0.5,,
Joey Gallo,28,us US,L,R,"6' 5""",250,"Nov 19, 1993",8,82,67,82,78,0,0,0,0,0,0,45,1,38,78,1,4,4,0,"$10,275,000",
Domingo Germán,29,do DO,R,R,"6' 2""",181,"Aug 4, 1992",5,15,14,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$1,750,000",
Luis Gil,24,do DO,R,R,"6' 2""",185,"Jun 3, 1998",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Chi Chi González,30,us US,R,R,"6' 3""",210,"Jan 15, 1992",6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Marwin Gonzalez,33,ve VE,B,R,"6' 1""",205,"Mar 14, 1989",11,86,54,85,80,1,0,14,3,12,20,16,0,20,36,2,6,7,0.7,,
Chad Green,31,us US,L,R,"6' 3""",215,"May 24, 1991",7,14,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$4,000,000",
Shane Greene,33,us US,R,R,"6' 4""",200,"Nov 17, 1988",9,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Ronald Guzmán,27,do DO,L,L,"6' 5""",235,"Oct 20, 1994",5,3,1,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,-0.2,,
Aaron Hicks,32,us US,B,R,"6' 1""",205,"Oct 2, 1989",10,130,110,130,126,0,0,0,0,0,0,55,81,0,126,1,10,3,1.6,"$10,785,714",
Kyle Higashioka,32,us US,R,R,"6' 1""",202,"Apr 20, 1990",6,83,72,83,82,0,82,0,0,0,0,0,0,0,0,1,2,1,0.6,"$935,000",
Clay Holmes,29,us US,R,R,"6' 5""",245,"Mar 27, 1993",5,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$1,100,000",All-Star
Aaron Judge,30,us US,R,R,"6' 7""",282,"Apr 26, 1992",7,157,153,157,129,0,0,0,0,0,0,0,78,73,129,25,4,0,10.6,"$19,000,000",All-Star
Isiah Kiner-Falefa,27,us US,R,R,"5' 11""",190,"Mar 23, 1995",5,142,135,142,142,0,0,0,0,6,138,0,0,0,0,0,1,2,3,"$4,700,000",
Michael King,27,us US,R,R,"6' 3""",210,"May 25, 1995",4,34,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,1.8,,
DJ LeMahieu,33,us US,R,R,"6' 4""",220,"Jul 13, 1988",12,125,116,125,113,0,0,35,41,47,0,0,0,0,0,7,8,0,3.8,"$15,000,000",
Jonathan Loáisiga,27,ni NI,R,R,"5' 11""",165,"Nov 2, 1994",5,50,0,1,50,50,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,650,000",
Tim Locastro,29,us US,R,R,"6' 1""",200,"Jul 14, 1992",6,38,10,38,26,0,0,0,0,0,0,11,9,7,26,5,3,18,-0.2,"$900,000",
Lucas Luetge,35,us US,L,L,"6' 4""",205,"Mar 24, 1987",6,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$905,000",
Ron Marinaccio,26,us US,R,R,"6' 2""",205,"Jul 1, 1995",1st,40,0,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,
