Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Domingo Acevedo,28,do DO,R,R,"6' 7""",240,"Mar 6, 1994",2,70,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,
Austin Allen,28,us US,L,R,"6' 2""",219,"Jan 16, 1994",4,5,5,5,4,0,4,0,0,0,0,0,0,0,0,1,0,0,0,,
Nick Allen,23,us US,R,R,"5' 8""",166,"Oct 8, 1998",1st,100,92,100,99,0,0,0,43,0,60,0,0,0,0,0,1,0,1,,
Elvis Andrus,33,ve VE,R,R,"6' 0""",210,"Aug 26, 1988",14,106,100,106,101,0,0,0,0,0,101,0,0,0,0,3,4,1,1.3,"$14,250,000",
Luis Barrera,26,do DO,L,L,"6' 0""",195,"Nov 15, 1995",2,32,22,32,28,0,0,0,0,0,0,16,1,16,28,0,6,1,0.2,,
Christian Bethancourt,30,pa PA,R,R,"6' 3""",205,"Sep 2, 1991",6,56,44,56,45,1,14,31,0,0,0,0,0,0,0,10,9,2,0.2,,
Paul Blackburn,28,us US,R,R,"6' 1""",196,"Dec 4, 1993",6,21,21,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,All-Star
Skye Bolt,28,us US,B,R,"6' 2""",194,"Jan 15, 1994",3,42,30,42,41,0,0,0,0,0,0,2,36,5,41,0,5,1,-0.3,,
Jonah Bride,26,us US,R,R,"5' 10""",200,"Dec 27, 1995",1st,58,46,58,53,0,0,5,32,21,0,0,0,0,0,2,8,0,0.1,,
Seth Brown,29,us US,L,L,"6' 1""",223,"Jul 13, 1992",4,150,132,150,145,0,0,84,0,0,0,38,17,32,77,2,14,1,1.7,,
Conner Capel,25,us US,L,L,"6' 1""",185,"May 19, 1997",1st,13,11,13,13,0,0,0,0,0,0,0,0,13,13,0,2,0,0.3,,
Ryan Castellani,26,us US,R,R,"6' 4""",218,"Apr 1, 1996",3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Ernie Clement,26,us US,R,R,"6' 0""",170,"Mar 22, 1996",2,6,4,6,6,0,0,0,0,4,1,1,0,0,1,0,1,1,-0.4,,
Tyler Cyr,29,us US,R,R,"6' 1""",205,"May 5, 1993",1st,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Matt Davidson,31,us US,R,R,"6' 3""",230,"Mar 26, 1991",6,8,7,8,7,0,0,1,0,6,0,0,0,0,0,1,1,0,-0.5,,
Jordan Diaz,21,co CO,R,R,"5' 10""",175,"Aug 13, 2000",1st,15,14,15,13,0,0,1,12,0,0,0,0,0,0,2,0,0,0.1,,
Dermis Garcia,24,do DO,R,R,"6' 3""",200,"Jan 7, 1998",1st,39,31,39,36,0,0,35,0,0,0,1,0,0,1,2,5,0,0.4,,
Justin Grimm,33,us US,R,R,"6' 3""",210,"Aug 16, 1988",9,15,0,1,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Cole Irvin,28,us US,L,L,"6' 4""",225,"Jan 31, 1994",4,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Drew Jackson,28,us US,R,R,"6' 2""",200,"Jul 28, 1993",2,3,1,3,3,0,0,0,0,1,0,1,0,2,3,0,1,0,-0.1,,
Zach Jackson,27,us US,R,R,"6' 4""",230,"Dec 25, 1994",1st,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Daulton Jefferies,26,us US,L,R,"6' 0""",182,"Aug 2, 1995",3,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
