Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
José Alvarado,27,ve VE,L,L,"6' 2""",245,"May 21, 1995",6,59,0,1,59,59,0,0,0,0,0,0,0,0,0,0,0,0,1,"$1,900,000",
Mark Appel,30,us US,R,R,"6' 5""",220,"Jul 15, 1991",1st,6,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Andrew Bellatti,30,us US,R,R,"6' 1""",190,"Aug 5, 1991",3,59,1,1,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Alec Bohm,25,us US,R,R,"6' 5""",218,"Aug 3, 1996",3,152,146,152,140,0,0,10,0,135,0,0,0,0,0,9,3,1,0.8,,
Connor Brogdon,27,us US,R,R,"6' 6""",205,"Jan 29, 1995",3,47,0,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Johan Camargo,28,pa PA,B,R,"6' 0""",195,"Dec 13, 1993",6,52,38,52,49,0,0,5,9,13,26,0,0,0,0,2,10,1,0.2,"$1,400,000",
Nick Castellanos,30,us US,R,R,"6' 4""",203,"Mar 4, 1992",10,136,134,136,123,0,0,0,0,0,0,3,0,121,123,12,2,0,-0.1,"$20,000,000",
Sam Coonrod,29,us US,R,R,"6' 1""",225,"Sep 22, 1992",4,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Tyler Cyr,29,us US,R,R,"6' 1""",205,"May 5, 1993",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Chris Devenski,31,us US,R,R,"6' 3""",211,"Nov 13, 1990",7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Seranthony Domínguez,27,do DO,R,R,"6' 1""",225,"Nov 25, 1994",4,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,1.5,"$725,000",
Nick Duron,26,us US,R,R,"6' 4""",190,"Jan 30, 1996",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Zach Eflin,28,us US,R,R,"6' 6""",220,"Apr 8, 1994",7,20,13,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$5,550,000",
Bailey Falter,25,us US,R,L,"6' 4""",175,"Apr 24, 1997",2,20,16,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Jeurys Familia,32,do DO,R,R,"6' 3""",240,"Oct 10, 1989",11,38,0,1,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$6,000,000",
Kyle Gibson,34,us US,R,R,"6' 6""",200,"Oct 23, 1987",10,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,
Didi Gregorius,32,nl NL,L,R,"6' 3""",205,"Feb 18, 1990",11,63,58,63,61,0,0,0,0,0,61,0,0,0,0,0,3,0,-0.4,"$15,250,000",
