Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Anthony Alford,27,us US,R,R,"6' 1""",215,"Jul 20, 1994",6,2,1,2,2,0,0,0,0,0,0,1,1,1,2,0,0,0,0,,
Cam Alldred,25,us US,L,L,"6' 3""",205,"Jul 25, 1996",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Greg Allen,29,us US,B,R,"6' 0""",185,"Mar 15, 1993",6,46,33,46,43,0,0,0,0,0,0,23,11,13,43,1,5,6,-0.1,,
Miguel Andújar,27,do DO,R,R,"6' 0""",211,"Mar 2, 1995",6,9,9,9,4,0,0,0,0,0,0,4,0,0,4,5,0,0,-0.1,,
Ji Hwan Bae,22,kr KR,L,R,"6' 1""",185,"Jul 26, 1999",1st,10,9,10,10,0,0,0,4,0,0,1,5,0,6,0,0,0,0.5,,
Anthony Banda,28,us US,L,L,"6' 2""",221,"Aug 10, 1993",6,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Manny Banuelos,31,mx MX,R,L,"5' 10""",215,"Mar 13, 1991",3,31,0,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
David Bednar,27,us US,L,R,"6' 1""",250,"Oct 10, 1994",4,45,0,1,45,45,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,All-Star
Tyler Beede,29,us US,R,R,"6' 2""",216,"May 23, 1993",4,25,5,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Austin Brice,30,hk HK,R,R,"6' 4""",238,"Jun 19, 1992",7,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
JT Brubaker,28,us US,R,R,"6' 3""",185,"Nov 17, 1993",3,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Diego Castillo,24,ve VE,R,R,"5' 11""",185,"Oct 28, 1997",1st,96,71,96,89,2,0,7,28,4,32,0,0,22,22,2,19,1,-0.9,,
Rodolfo Castro,23,do DO,B,R,"6' 0""",205,"May 21, 1999",2,71,68,71,67,0,0,0,32,24,19,0,0,0,0,2,1,1,1.4,,
Yu Chang,26,tw TW,R,R,"6' 1""",180,"Aug 18, 1995",4,18,14,18,15,0,0,5,11,0,0,0,0,0,0,3,4,0,-0.2,,
Michael Chavis,26,us US,R,R,"5' 10""",190,"Aug 11, 1995",4,129,97,129,122,0,0,107,14,9,0,0,0,0,0,6,17,5,-0.2,,
Zack Collins,27,us US,L,R,"6' 3""",220,"Feb 6, 1995",4,10,8,10,10,0,2,8,0,0,0,0,0,0,0,0,0,0,-0.4,,
Roansy Contreras,22,do DO,R,R,"6' 0""",175,"Nov 7, 1999",2,21,18,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,1.2,,
Wil Crowe,27,us US,R,R,"6' 2""",245,"Sep 9, 1994",3,60,1,0,60,60,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Oneil Cruz,23,do DO,L,R,"6' 7""",220,"Oct 4, 1998",2,87,85,87,79,0,0,0,0,0,79,1,0,0,1,8,2,0,2.3,,
Chase De Jong,28,us US,L,R,"6' 4""",230,"Dec 29, 1993",6,42,0,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,1.6,,
Yerry De Los Santos,24,do DO,R,R,"6' 2""",215,"Dec 12, 1997",1st,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Jason Delay,27,us US,R,R,"5' 11""",200,"Mar 7, 1995",1st,57,49,57,57,0,57,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Jerad Eickhoff,31,us US,R,R,"6' 4""",246,"Jul 2, 1990",7,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Junior Fernández,25,do DO,R,R,"6' 3""",215,"Mar 2, 1997",4,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Aaron Fletcher,26,us US,L,L,"6' 0""",220,"Feb 25, 1996",3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Ben Gamel,30,us US,L,L,"5' 11""",180,"May 17, 1992",7,115,103,115,89,0,0,5,0,0,0,57,1,39,86,21,9,1,0.1,"$1,800,000",
José Godoy,27,ve VE,L,R,"5' 11""",200,"Oct 13, 1994",2,8,6,8,8,0,8,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Ke'Bryan Hayes,25,us US,R,R,"5' 10""",205,"Jan 28, 1997",3,136,130,136,133,0,0,0,0,133,3,0,0,0,0,2,4,0,4.3,"$10,000,000",
Tyler Heineman,31,us US,B,R,"5' 10""",190,"Jun 19, 1991",3,52,44,52,50,0,50,0,0,0,0,0,0,0,0,0,4,0,0.1,,
Heath Hembree,33,us US,R,R,"6' 4""",220,"Jan 13, 1989",10,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$2,125,000",
Colin Holderman,26,us US,R,R,"6' 7""",240,"Oct 8, 1995",1st,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Sam Howard,29,us US,R,L,"6' 4""",195,"Mar 5, 1993",5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Mitch Keller,26,us US,R,R,"6' 2""",220,"Apr 4, 1996",4,31,29,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,2,,
Andrew Knapp,30,us US,B,R,"6' 1""",189,"Nov 9, 1991",6,11,9,11,11,0,11,0,0,0,0,0,0,0,0,0,1,0,-0.1,"$800,000",
Max Kranick,24,us US,R,R,"6' 3""",220,"Jul 21, 1997",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Bligh Madris,26,us US,L,R,"6' 0""",208,"Feb 29, 1996",1st,39,32,39,32,0,0,9,0,0,0,5,2,19,25,3,4,1,-1,,
Tucupita Marcano,22,ve VE,L,R,"6' 0""",180,"Sep 16, 1999",2,49,44,49,47,0,0,0,23,0,1,30,0,1,30,0,4,0,-0.6,,
Jake Marisnick,31,us US,R,R,"6' 4""",220,"Mar 30, 1991",10,31,21,31,29,0,0,0,0,0,0,12,14,4,29,0,3,1,0.2,,
Nick Mears,25,us US,R,R,"6' 2""",200,"Oct 7, 1996",3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Calvin Mitchell,23,us US,L,L,"6' 0""",205,"Mar 8, 1999",1st,69,60,69,54,0,0,0,0,0,0,0,0,54,54,11,7,1,-0.4,,
Kevin Newman,28,us US,R,R,"6' 1""",195,"Aug 4, 1993",5,78,70,78,73,0,0,0,42,0,33,0,0,0,0,3,6,0,1.1,"$1,950,000",
Luis Ortiz,23,do DO,R,R,"6' 2""",240,"Jan 27, 1999",1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Johan Oviedo,24,cu CU,R,R,"6' 5""",245,"Mar 2, 1998",3,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
Kevin Padlo,25,us US,R,R,"6' 2""",210,"Jul 15, 1996",2,3,3,3,3,0,0,1,0,2,0,0,0,0,0,0,0,0,-0.3,,
Hoy Park,26,kr KR,L,R,"6' 1""",200,"Apr 7, 1996",2,23,17,23,21,0,0,0,11,6,3,0,0,2,2,0,2,2,-0.3,,
Liover Peguero,21,do DO,R,R,"6' 2""",200,"Dec 31, 2000",1st,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.2,,
Michael Perez,29,pr PR,L,R,"5' 10""",195,"Aug 7, 1992",5,39,34,39,38,0,38,0,0,0,0,0,0,0,0,0,1,0,-0.2,,
Roberto Perez,33,pr PR,R,R,"5' 11""",220,"Dec 23, 1988",9,21,19,21,20,0,20,0,0,0,0,0,0,0,0,0,2,0,0.6,"$5,000,000",
Dillon Peters,29,us US,L,L,"5' 11""",195,"Aug 31, 1992",6,22,4,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
José Quintana,33,co CO,R,L,"6' 1""",220,"Jan 24, 1989",11,20,20,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,2,"$2,000,000",
Yohan Ramirez,27,do DO,R,R,"6' 4""",212,"May 6, 1995",3,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Bryan Reynolds,27,us US,B,R,"6' 3""",205,"Jan 27, 1995",4,145,144,145,128,0,0,0,0,0,0,1,127,0,128,18,1,0,2.9,"$6,750,000",
Canaan Smith-Njigba,23,us US,L,R,"6' 0""",230,"Apr 30, 1999",1st,3,2,3,2,0,0,0,0,0,0,2,0,0,2,0,1,0,-0.1,,
