Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
CJ Abrams,21,us US,L,R,"6' 2""",191,"Oct 3, 2000",1st,46,35,46,44,0,0,0,13,0,32,0,0,3,3,2,3,2,0.1,,
Austin Adams,31,us US,R,R,"6' 3""",220,"May 5, 1991",6,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$925,000",
Sergio Alcántara,25,do DO,B,R,"5' 9""",151,"Jul 10, 1996",3,22,8,22,21,0,0,0,7,6,8,0,0,0,0,1,1,3,-0.2,,
Jorge Alfaro,29,co CO,R,R,"6' 3""",230,"Jun 11, 1993",7,82,68,82,65,0,65,0,0,0,0,0,0,0,0,11,10,0,0.8,"$2,725,000",
Pedro Avila,25,ve VE,R,R,"5' 11""",210,"Jan 14, 1997",3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
José Azocar,26,ve VE,R,R,"5' 11""",181,"May 11, 1996",1st,98,54,98,92,0,0,0,0,0,0,21,35,49,92,4,11,11,0.1,,
Michel Báez,26,cu CU,R,R,"6' 8""",220,"Jan 21, 1996",3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Matthew Batten,27,us US,R,R,"5' 11""",180,"Jun 22, 1995",1st,15,5,15,13,2,0,0,5,7,0,1,0,0,1,2,5,2,-0.1,,
Matt Beaty,29,us US,L,R,"6' 0""",215,"Apr 28, 1993",4,20,13,20,14,0,0,3,0,0,0,2,0,10,12,3,4,0,-0.7,,
Josh Bell,29,us US,B,R,"6' 4""",261,"Aug 14, 1992",7,53,48,53,21,0,0,21,0,0,0,0,0,0,0,32,4,0,-0.4,,
Luis Campusano,23,us US,R,R,"5' 11""",232,"Sep 29, 1998",3,16,12,16,10,0,10,0,0,0,0,0,0,0,0,5,4,0,-0.2,,
Robinson Canó,39,do DO,L,R,"6' 0""",212,"Oct 22, 1982",17,12,8,12,5,0,0,0,5,0,0,0,0,0,0,3,4,0,-0.5,"$561,538",
José Castillo,26,ve VE,L,L,"6' 6""",252,"Jan 10, 1996",3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Mike Clevinger,31,us US,R,R,"6' 4""",215,"Dec 21, 1990",6,23,22,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$8,000,000",
Nabil Crismatt,27,co CO,R,R,"6' 1""",220,"Dec 25, 1994",3,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Jake Cronenworth,28,us US,L,R,"6' 0""",187,"Jan 21, 1994",3,158,155,158,156,0,0,20,147,0,9,0,0,0,0,2,3,0,4.1,,All-Star
Yu Darvish,35,jp JP,R,R,"6' 5""",220,"Aug 16, 1986",10,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,4.4,,
Brandon Dixon,30,us US,R,R,"6' 2""",215,"Jan 29, 1992",4,5,4,5,2,0,0,0,0,2,0,0,0,1,1,3,0,1,-0.1,,
Brandon Drury,29,us US,R,R,"6' 2""",230,"Aug 21, 1992",8,46,44,46,30,0,0,21,7,5,0,0,0,0,0,14,2,0,0.5,,
Luis García,35,do DO,R,R,"6' 2""",240,"Jan 30, 1987",10,64,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$3,250,000",
MacKenzie Gore,23,us US,L,L,"6' 2""",192,"Feb 24, 1999",1st,16,13,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Trent Grisham,25,us US,L,L,"5' 11""",224,"Nov 1, 1996",4,152,124,152,148,0,0,0,0,0,0,0,148,0,148,0,14,3,2.6,,
Javy Guerra,26,pa PA,L,R,"6' 0""",190,"Sep 25, 1995",5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Josh Hader,28,us US,L,L,"6' 3""",180,"Apr 7, 1994",6,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-1,,
Tim Hill,32,us US,R,L,"6' 4""",200,"Feb 10, 1990",5,55,0,0,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$1,325,000",
Eric Hosmer,32,us US,L,L,"6' 4""",226,"Oct 24, 1989",12,90,89,90,88,0,0,88,0,0,0,0,0,0,0,2,0,0,1.1,"$21,000,000",
Pierce Johnson,31,us US,R,R,"6' 2""",202,"May 10, 1991",5,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$3,000,000",
Ray Kerr,27,us US,L,L,"6' 3""",185,"Sep 10, 1994",1st,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Ha-Seong Kim,26,kr KR,R,R,"5' 9""",168,"Oct 17, 1995",2,150,142,150,149,0,0,0,0,24,131,0,0,0,0,0,3,1,5.1,"$6,000,000",
Reiss Knehr,25,us US,L,R,"6' 2""",205,"Nov 3, 1996",2,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Dinelson Lamet,29,do DO,R,R,"6' 3""",228,"Jul 18, 1992",5,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,"$4,775,000",
Luis Liberato,26,do DO,L,L,"6' 1""",175,"Dec 18, 1995",1st,7,0,7,3,0,0,0,0,0,0,1,1,1,3,3,3,3,-0.2,,
Manny Machado,29,us US,R,R,"6' 3""",218,"Jul 6, 1992",11,150,148,150,135,0,0,0,0,135,0,0,0,0,0,15,2,0,6.8,"$32,000,000",All-Star
Sean Manaea,30,us US,R,L,"6' 5""",245,"Feb 1, 1992",7,30,28,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,,
Nick Martinez,31,us US,L,R,"6' 1""",200,"Aug 5, 1990",5,47,10,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$6,000,000",
Nomar Mazara,27,do DO,L,L,"6' 4""",225,"Apr 26, 1995",7,55,41,55,50,0,0,0,0,0,0,3,0,48,50,0,12,1,0.2,,
Adrián Morejón,23,cu CU,L,L,"5' 11""",224,"Feb 27, 1999",4,26,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Joe Musgrove,29,us US,R,R,"6' 5""",230,"Dec 4, 1992",7,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3.2,"$8,625,000",All-Star
Wil Myers,31,us US,R,R,"6' 3""",207,"Dec 10, 1990",10,77,70,77,75,4,0,25,0,1,0,10,6,36,52,0,6,0,1.2,"$22,500,000",
Austin Nola,32,us US,R,R,"6' 0""",197,"Dec 28, 1989",4,110,99,110,103,0,101,0,2,1,0,0,0,0,0,6,3,0,2,,
Jurickson Profar,29,cw CW,B,R,"6' 0""",184,"Feb 20, 1993",9,152,147,152,146,0,0,0,0,0,0,146,0,0,146,6,4,0,3.1,"$8,000,000",
Taylor Rogers,31,us US,L,L,"6' 3""",190,"Dec 17, 1990",7,42,0,1,42,42,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Brent Rooker,27,us US,R,R,"6' 4""",225,"Nov 1, 1994",3,2,2,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,-0.2,,
