Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Brennan Bernardino,30,us US,L,L,"6' 4""",180,"Jan 15, 1992",1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Ryan Borucki,28,us US,L,L,"6' 4""",210,"Mar 31, 1994",5,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Matthew Boyd,31,us US,L,L,"6' 3""",223,"Feb 2, 1991",8,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Matt Brash,24,ca CA,R,R,"6' 1""",173,"May 12, 1998",1st,39,5,1,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Curt Casali,33,us US,R,R,"6' 2""",220,"Nov 9, 1988",9,16,15,16,16,0,15,1,0,0,0,0,0,0,0,0,1,0,0.2,,
Diego Castillo,28,do DO,R,R,"6' 3""",268,"Jan 18, 1994",5,59,0,2,59,59,0,0,0,0,0,0,0,0,0,0,0,0,0,"$2,150,000",
Luis Castillo,29,do DO,R,R,"6' 2""",200,"Dec 12, 1992",6,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,1,,
J.P. Crawford,27,us US,L,R,"6' 2""",202,"Jan 11, 1995",6,145,143,145,144,0,0,0,0,0,144,0,0,0,0,0,0,1,2.8,"$6,000,000",
Roenis Elías,33,cu CU,L,L,"6' 1""",205,"Aug 1, 1988",7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Drew Ellis,26,us US,R,R,"6' 3""",205,"Dec 1, 1995",2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.1,,
Stuart Fairchild,26,us US,R,R,"6' 0""",205,"Mar 17, 1996",2,3,0,3,2,0,0,0,0,0,0,2,0,0,2,0,1,0,-0.1,,
Matt Festa,29,us US,R,R,"6' 1""",195,"Mar 11, 1993",3,53,0,0,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Chris Flexen,27,us US,R,R,"6' 3""",219,"Jul 1, 1994",5,33,22,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,1.3,"$3,050,000",
Mike Ford,29,us US,L,R,"6' 0""",225,"Jul 4, 1992",4,16,9,16,1,0,0,1,0,0,0,0,0,0,0,10,7,0,-0.1,"$100,000",
Ty France,27,us US,R,R,"5' 11""",215,"Jul 13, 1994",4,140,138,140,130,0,0,127,1,6,0,0,0,0,0,8,2,0,3.1,,All-Star
Adam Frazier,30,us US,L,R,"5' 10""",180,"Dec 14, 1991",7,156,140,156,144,0,0,0,124,0,4,16,2,21,38,8,14,1,0.9,"$8,000,000",
Logan Gilbert,25,us US,R,R,"6' 6""",215,"May 5, 1997",2,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,3.2,,
Ken Giles,31,us US,R,R,"6' 3""",197,"Sep 20, 1990",8,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.2,"$5,250,000",
Marco Gonzales,30,us US,L,L,"6' 1""",205,"Feb 16, 1992",8,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$5,750,000",
Sam Haggerty,28,us US,B,R,"5' 11""",175,"May 26, 1994",4,83,49,83,73,0,0,0,4,0,0,33,6,37,70,7,9,14,2.2,,
Mitch Haniger,31,us US,R,R,"6' 2""",214,"Dec 23, 1990",6,57,57,57,47,0,0,0,0,0,0,0,0,47,47,12,0,0,1.3,"$7,750,000",
Travis Jankowski,31,us US,L,R,"6' 2""",190,"Jun 15, 1991",8,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,
Jarred Kelenic,22,us US,L,L,"6' 1""",206,"Jul 16, 1999",2,54,44,54,50,0,0,0,0,0,0,3,24,24,50,2,6,0,-0.2,,
George Kirby,24,us US,R,R,"6' 4""",215,"Feb 4, 1998",1st,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Andrew Knapp,30,us US,B,R,"6' 1""",189,"Nov 9, 1991",6,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Matt Koch,31,us US,L,R,"6' 3""",215,"Nov 2, 1990",5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Jake Lamb,31,us US,L,R,"6' 3""",215,"Oct 9, 1990",9,16,7,16,15,0,0,2,0,4,0,5,0,6,11,1,2,1,-0.3,,
Jack Larsen,27,us US,L,L,"6' 1""",195,"Jan 13, 1995",1st,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,
Kyle Lewis,26,us US,R,R,"6' 4""",222,"Jul 13, 1995",4,18,15,18,4,0,0,0,0,0,0,1,0,3,4,11,3,0,-0.1,,
Wyatt Mills,27,us US,R,R,"6' 4""",214,"Jan 25, 1995",2,8,0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Tommy Milone,35,us US,L,L,"6' 0""",215,"Feb 16, 1987",12,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
