Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Scott Alexander,32,us US,L,L,"6' 2""",195,"Jul 10, 1989",8,17,4,1,17,17,0,0,0,0,0,0,0,0,0,0,0,0,1.1,,
Jose Alvarez,33,ve VE,L,L,"5' 11""",195,"May 6, 1989",10,21,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$1,500,000",
Joey Bart,25,us US,R,R,"6' 2""",238,"Dec 15, 1996",3,97,83,97,93,0,93,0,0,0,0,0,0,0,0,3,1,3,0.8,,
Tyler Beede,29,us US,R,R,"6' 2""",216,"May 23, 1993",4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Brandon Belt,34,us US,L,L,"6' 3""",230,"Apr 20, 1988",12,78,67,78,63,0,0,63,0,0,0,0,0,0,0,12,10,0,0.3,"$18,400,000",
John Brebbia,32,us US,L,R,"6' 1""",200,"May 30, 1990",5,76,11,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,1.6,"$838,000",
Lewis Brinson,28,us US,R,R,"6' 5""",212,"May 8, 1994",6,16,9,16,16,0,0,0,0,0,0,1,15,0,16,0,6,0,-0.2,,
Willie Calhoun,27,us US,L,R,"5' 8""",200,"Nov 4, 1994",6,4,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-0.1,,
Curt Casali,33,us US,R,R,"6' 2""",220,"Nov 9, 1988",9,41,35,41,40,0,39,2,0,0,0,0,0,0,0,1,0,0,1.1,"$2,600,000",
Kervin Castro,23,ve VE,R,R,"6' 0""",185,"Feb 7, 1999",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Alex Cobb,34,us US,R,R,"6' 3""",205,"Oct 7, 1987",11,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$9,000,000",
Jharel Cotton,30,vi VI,R,R,"5' 11""",200,"Jan 19, 1992",4,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Brandon Crawford,35,us US,L,R,"6' 1""",223,"Jan 21, 1987",12,118,113,118,116,0,0,0,0,0,116,0,0,0,0,0,5,0,0.6,,
J.D. Davis,29,us US,R,R,"6' 3""",218,"Apr 27, 1993",6,49,34,49,32,0,0,14,0,18,0,2,0,0,2,14,13,1,0.9,,
Austin Dean,28,us US,R,R,"6' 0""",215,"Oct 14, 1993",5,3,2,3,3,0,0,0,0,0,0,3,0,1,3,0,1,0,0.1,,
Anthony DeSclafani,32,us US,R,R,"6' 2""",195,"Apr 18, 1990",8,5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$12,000,000",
Camilo Doval,24,do DO,R,R,"6' 2""",185,"Jul 4, 1997",2,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,1.9,,
Mauricio Dubón,27,hn HN,R,R,"6' 0""",173,"Jul 19, 1994",4,21,9,21,19,0,0,0,1,3,4,0,14,0,14,1,5,2,0.2,,
