Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Nolan Arenado,31,us US,R,R,"6' 2""",215,"Apr 16, 1991",10,148,147,148,131,0,0,0,0,131,0,0,0,0,0,17,1,0,7.9,"$35,000,000",All-Star
Harrison Bader,28,us US,R,R,"6' 0""",210,"Jun 3, 1994",6,72,65,72,71,0,0,0,0,0,0,0,71,0,71,0,3,0,1.2,"$5,200,000",
Aaron Brooks,32,us US,R,R,"6' 4""",230,"Apr 27, 1990",5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,
Alec Burleson,23,us US,L,L,"6' 2""",212,"Nov 25, 1998",1st,16,14,16,13,0,0,6,0,0,0,2,0,9,11,3,2,0,0,,
Génesis Cabrera,25,do DO,L,L,"6' 2""",180,"Oct 10, 1996",4,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Conner Capel,25,us US,L,L,"6' 1""",185,"May 19, 1997",1st,9,6,9,7,0,0,0,0,0,0,2,0,5,7,2,0,1,-0.1,,
Dylan Carlson,23,us US,B,L,"6' 2""",205,"Oct 23, 1998",3,128,110,128,124,0,0,0,0,0,0,0,73,62,124,2,10,3,2,,
Paul DeJong,28,us US,R,R,"6' 0""",205,"Aug 2, 1993",6,77,58,77,75,0,0,0,1,0,75,0,0,0,0,1,6,0,0.3,"$6,166,666",
Ben DeLuzio,27,us US,R,R,"6' 3""",200,"Aug 9, 1994",1st,22,4,22,18,0,0,0,0,0,0,0,18,0,18,2,3,3,0.2,,
Corey Dickerson,33,us US,L,R,"6' 1""",212,"May 22, 1989",10,97,73,96,68,1,0,0,0,0,0,60,0,10,67,20,14,4,0,"$5,000,000",
Brendan Donovan,25,de DE,L,R,"6' 1""",195,"Jan 16, 1997",1st,126,108,126,106,0,0,16,38,31,7,19,0,20,37,16,7,5,4.1,,
Tommy Edman,27,us US,B,R,"5' 10""",180,"May 9, 1995",4,153,142,153,152,0,0,0,89,8,80,0,1,2,3,0,4,2,6.4,,
Junior Fernández,25,do DO,R,R,"6' 3""",215,"Mar 2, 1997",4,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jack Flaherty,26,us US,R,R,"6' 4""",225,"Oct 15, 1995",6,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$5,000,000",
Giovanny Gallegos,30,mx MX,R,R,"6' 2""",215,"Aug 14, 1991",6,57,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0.6,"$2,410,000",
Paul Goldschmidt,34,us US,R,R,"6' 3""",220,"Sep 10, 1987",12,151,150,151,128,0,0,128,0,0,0,0,0,0,0,23,1,0,7.8,"$26,000,000",All-Star
Nolan Gorman,22,us US,L,R,"6' 1""",210,"May 10, 2000",1st,89,73,89,68,0,0,0,68,0,0,1,0,0,1,18,12,0,0.7,,
Ryan Helsley,27,us US,R,R,"6' 2""",230,"Jul 18, 1994",4,54,0,0,54,54,0,0,0,0,0,0,0,0,0,0,0,0,2.7,,All-Star
Iván Herrera,22,pa PA,R,R,"5' 11""",220,"Jun 1, 2000",1st,11,6,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Jordan Hicks,25,us US,R,R,"6' 2""",220,"Sep 6, 1996",4,35,8,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$938,000",
Dakota Hudson,27,us US,R,R,"6' 5""",215,"Sep 15, 1994",5,27,26,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.1,"$1,050,000",
Andrew Knizner,27,us US,R,R,"6' 1""",225,"Feb 3, 1995",4,97,78,96,94,1,90,5,0,0,0,0,0,0,0,1,5,2,0.8,,
Matthew Liberatore,22,us US,L,L,"6' 4""",200,"Nov 6, 1999",1st,9,7,1,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Steven Matz,31,us US,R,L,"6' 2""",201,"May 29, 1991",8,15,10,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$8,500,000",
T.J. McFarland,33,us US,L,L,"6' 3""",200,"Jun 8, 1989",10,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,"$2,500,000",
Miles Mikolas,33,us US,R,R,"6' 4""",230,"Aug 23, 1988",7,33,32,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"$17,000,000",All-Star
Yadier Molina,39,pr PR,R,R,"5' 11""",225,"Jul 13, 1982",19,80,71,78,79,2,77,1,0,0,0,0,0,0,0,1,1,0,0,"$10,000,000",
Jordan Montgomery,29,us US,L,L,"6' 6""",228,"Dec 27, 1992",6,11,11,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,
James Naile,29,us US,R,R,"6' 4""",185,"Feb 8, 1993",1st,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Packy Naughton,26,us US,R,L,"6' 2""",195,"Apr 16, 1996",2,26,3,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Lars Nootbaar,24,us US,L,R,"6' 3""",210,"Sep 8, 1997",2,108,82,108,94,0,0,0,0,0,0,11,12,79,94,9,12,6,2.2,,
Tyler O'Neill,27,ca CA,R,R,"5' 11""",200,"Jun 22, 1995",5,96,88,96,94,0,0,0,0,0,0,83,21,0,94,1,2,0,1.3,"$3,400,000",
Johan Oviedo,24,cu CU,R,R,"6' 5""",245,"Mar 2, 1998",3,14,1,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Andre Pallante,23,us US,R,R,"6' 0""",203,"Sep 18, 1998",1st,47,10,0,47,47,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Albert Pujols,42,do DO,R,R,"6' 3""",235,"Jan 16, 1980",22,109,80,109,23,1,0,22,0,0,0,0,0,0,0,69,28,0,2,"$2,500,000",All-Star
José Quintana,33,co CO,R,L,"6' 1""",220,"Jan 24, 1989",11,12,12,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,1.5,,
Kramer Robertson,27,us US,R,R,"5' 10""",166,"Sep 20, 1994",1st,2,0,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,-0.1,,
JoJo Romero,25,us US,L,L,"5' 11""",200,"Sep 9, 1996",3,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Austin Romine,33,us US,R,R,"6' 1""",216,"Nov 22, 1988",11,11,7,11,10,0,10,0,0,0,0,0,0,0,0,1,1,0,-0.2,,
Angel Rondón,24,do DO,R,R,"6' 1""",205,"Dec 1, 1997",2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Edmundo Sosa,26,pa PA,R,R,"6' 0""",210,"Mar 6, 1996",4,53,31,53,44,0,0,0,1,11,34,0,0,0,0,3,9,6,0.6,,
Cory Spangenberg,31,us US,L,R,"6' 0""",195,"Mar 16, 1991",7,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,
