Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Jason Adam,30,us US,R,R,"6' 3""",229,"Aug 4, 1991",5,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,2.6,"$900,000",
Jonathan Aranda,24,mx MX,L,R,"6' 0""",210,"May 23, 1998",1st,32,21,32,29,0,0,11,13,6,0,1,0,0,1,2,8,0,-0.2,,
Shawn Armstrong,31,us US,R,R,"6' 2""",225,"Sep 11, 1990",8,43,2,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Randy Arozarena,27,cu CU,R,R,"5' 11""",185,"Feb 28, 1995",4,153,150,153,126,0,0,0,0,0,0,104,0,26,126,27,3,0,2.8,,
Luke Bard,31,us US,R,R,"6' 3""",200,"Nov 13, 1990",4,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Shane Baz,23,us US,R,R,"6' 2""",190,"Jun 17, 1999",2,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Jalen Beeks,28,us US,L,L,"5' 11""",215,"Jul 10, 1993",4,42,7,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,1.1,"$750,000",
Christian Bethancourt,30,pa PA,R,R,"6' 3""",205,"Sep 2, 1991",6,45,40,44,41,3,35,6,0,1,0,0,0,0,0,1,4,0,0.9,,
Vidal Bruján,24,do DO,B,R,"5' 10""",180,"Feb 9, 1998",2,52,40,52,50,0,0,0,31,1,5,1,1,19,21,1,3,4,-0.5,,
Yu Chang,26,tw TW,R,R,"6' 1""",180,"Aug 18, 1995",4,36,26,36,36,2,0,1,26,6,9,0,0,0,0,0,0,0,0.5,,
JT Chargois,31,us US,B,R,"6' 3""",200,"Dec 3, 1990",5,21,3,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Yonny Chirinos,28,ve VE,R,R,"6' 2""",225,"Dec 26, 1993",4,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$1,175,000",
Ji-Man Choi,31,kr KR,L,R,"6' 1""",260,"May 19, 1991",7,113,102,113,98,0,0,98,0,0,0,0,0,0,0,12,11,0,1.2,"$3,200,000",
Garrett Cleavinger,28,us US,R,L,"6' 1""",220,"Apr 23, 1994",3,13,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Cooper Criswell,25,us US,R,R,"6' 6""",200,"Jul 24, 1996",2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Yandy Díaz,30,cu CU,R,R,"6' 2""",215,"Aug 8, 1991",6,137,126,137,117,0,0,17,0,102,0,0,0,0,0,14,9,1,3.5,"$2,800,000",
Robert Dugger,26,us US,R,R,"6' 0""",198,"Jul 3, 1995",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Pete Fairbanks,28,us US,R,R,"6' 6""",225,"Dec 16, 1993",4,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,1.3,,
Calvin Faucher,26,us US,R,R,"6' 1""",190,"Sep 22, 1995",1st,22,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
J.P. Feyereisen,29,us US,R,R,"6' 2""",215,"Feb 7, 1993",3,22,2,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,
Josh Fleming,26,us US,L,L,"6' 2""",220,"May 18, 1996",3,10,3,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-1.5,,
Wander Franco,21,do DO,B,R,"5' 10""",189,"Mar 1, 2001",2,83,80,83,73,0,0,0,0,0,73,0,0,0,0,10,3,0,2.6,"$1,454,545",
Ralph Garza,28,us US,R,R,"6' 2""",220,"Apr 6, 1994",2,19,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Tyler Glasnow,28,us US,L,R,"6' 8""",225,"Aug 23, 1993",7,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$5,100,000",
Javy Guerra,26,pa PA,L,R,"6' 0""",190,"Sep 25, 1995",5,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Kevin Herget,31,us US,L,R,"5' 10""",185,"Apr 3, 1991",1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Kevin Kiermaier,32,us US,L,R,"6' 1""",210,"Apr 22, 1990",10,63,57,63,60,0,0,0,0,0,0,0,60,0,60,2,0,2,1.1,"$12,166,666",
Andrew Kittredge,32,us US,R,R,"6' 1""",230,"Mar 17, 1990",6,17,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$1,850,000",
Corey Kluber,36,us US,R,R,"6' 4""",215,"Apr 10, 1986",12,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0.7,"$8,000,000",
Dusten Knight,31,us US,R,R,"6' 0""",200,"Sep 7, 1990",2,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Brandon Lowe,27,us US,L,R,"5' 10""",185,"Jul 6, 1994",5,65,61,65,53,0,0,0,53,0,0,0,0,1,1,11,4,0,1,"$4,000,000",
Josh Lowe,24,us US,L,R,"6' 4""",205,"Feb 2, 1998",2,52,48,52,44,0,0,0,0,0,0,10,9,33,44,7,2,0,0.2,,
Manuel Margot,27,do DO,R,R,"5' 11""",180,"Sep 28, 1994",7,89,85,89,70,0,0,0,0,0,0,8,18,53,70,16,3,0,1.5,"$5,600,000",
Miles Mastrobuoni,26,us US,L,R,"5' 11""",185,"Oct 31, 1995",1st,8,4,8,8,0,0,0,7,0,0,0,0,3,3,0,1,1,-0.2,,
Chris Mazza,32,us US,R,R,"6' 4""",190,"Oct 17, 1989",4,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Shane McClanahan,25,us US,L,L,"6' 1""",200,"Apr 28, 1997",3,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,4,,All-Star
Easton McGee,24,us US,R,R,"6' 6""",205,"Dec 26, 1997",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
