Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Albert Abreu,26,do DO,R,R,"6' 2""",190,"Sep 26, 1995",3,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
A.J. Alexy,24,us US,R,R,"6' 4""",195,"Apr 21, 1998",2,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Kolby Allard,24,us US,L,L,"6' 1""",195,"Aug 13, 1997",5,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,
Kohei Arihara,29,jp JP,R,R,"6' 2""",210,"Aug 11, 1992",2,5,4,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,"$3,600,000",
Joe Barlow,26,us US,R,R,"6' 2""",210,"Sep 28, 1995",2,35,0,1,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Brock Burke,25,us US,L,L,"6' 4""",210,"Aug 4, 1996",2,52,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,2.1,,
Matt Bush,36,us US,R,R,"5' 10""",193,"Feb 8, 1986",5,40,5,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,
Kole Calhoun,34,us US,L,L,"5' 10""",205,"Oct 14, 1987",11,125,100,125,101,0,0,0,0,0,0,29,1,75,101,20,23,0,-1.5,"$5,200,000",
Willie Calhoun,27,us US,L,R,"5' 8""",200,"Nov 4, 1994",6,18,13,18,5,0,0,0,0,0,0,5,0,0,5,12,5,0,-0.2,"$1,300,000",
Charlie Culberson,33,us US,R,R,"6' 1""",200,"Apr 10, 1989",10,70,40,68,50,2,0,1,11,25,1,12,0,0,12,11,7,16,-0.1,"$1,750,000",
Steven Duggar,28,us US,L,R,"6' 1""",187,"Nov 4, 1993",5,8,4,8,7,0,0,0,0,0,0,5,4,0,7,0,0,1,-0.1,,
Dane Dunning,27,us US,R,R,"6' 4""",225,"Dec 20, 1994",3,29,29,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Ezequiel Duran,23,do DO,R,R,"5' 11""",185,"May 22, 1999",1st,58,55,58,56,0,0,0,9,51,0,0,0,0,0,1,2,0,0.2,,
Adolis García,29,cu CU,R,R,"6' 1""",205,"Mar 2, 1993",4,156,154,156,134,0,0,0,0,0,0,0,57,93,134,21,2,0,3.5,,
Mitch Garver,31,us US,R,R,"6' 1""",220,"Jan 15, 1991",6,54,49,54,14,0,14,0,0,0,0,0,0,0,0,36,5,0,0.4,"$3,335,000",
Jon Gray,30,us US,R,R,"6' 4""",225,"Nov 5, 1991",8,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,1.4,"$15,000,000",
Taylor Hearn,27,us US,L,L,"6' 6""",230,"Aug 30, 1994",4,31,13,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$1,050,000",
Jonah Heim,27,us US,B,R,"6' 4""",220,"Jun 27, 1995",3,127,106,127,111,0,111,0,0,0,0,0,0,0,0,8,18,0,2.5,,
Elier Hernandez,27,do DO,R,R,"6' 3""",197,"Nov 21, 1994",1st,14,11,14,9,0,0,1,0,0,0,7,0,1,8,5,1,1,-0.4,,
Jonathan Hernández,25,us US,R,R,"6' 3""",190,"Jul 6, 1996",3,29,0,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.4,,
Greg Holland,36,us US,R,R,"5' 10""",210,"Nov 20, 1985",12,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,"$2,100,000",
Spencer Howard,25,us US,R,R,"6' 3""",210,"Jul 28, 1996",3,10,8,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,
Sam Huff,24,us US,R,R,"6' 5""",240,"Jan 14, 1998",2,44,32,44,35,0,29,6,0,0,0,0,0,0,0,4,7,0,0.3,,
Andy Ibáñez,29,cu CU,R,R,"5' 11""",205,"Apr 3, 1993",2,40,37,40,31,0,0,6,2,25,0,0,0,0,0,8,2,0,-0.1,,
Josh Jung,24,us US,R,R,"6' 2""",214,"Feb 12, 1998",1st,26,26,26,25,0,0,0,0,25,0,0,0,0,0,1,0,0,-0.1,,
Dallas Keuchel,34,us US,L,L,"6' 2""",205,"Jan 1, 1988",11,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,
John King,27,us US,L,L,"6' 2""",215,"Sep 14, 1994",3,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,,
José Leclerc,28,do DO,R,R,"6' 0""",195,"Dec 19, 1993",6,39,0,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$5,250,000",
Nathaniel Lowe,26,us US,L,R,"6' 4""",220,"Jul 7, 1995",4,157,154,157,153,0,0,153,0,0,0,0,0,0,0,4,3,0,3.3,,
Brett Martin,27,us US,L,L,"6' 4""",200,"Apr 28, 1995",4,55,1,1,55,55,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$1,025,000",
Mark Mathias,27,us US,R,R,"6' 0""",200,"Aug 2, 1994",2,24,16,24,9,0,0,3,0,2,0,2,0,2,4,15,7,1,0.8,,
Brad Miller,32,us US,L,R,"6' 2""",195,"Oct 18, 1989",10,81,58,81,53,0,0,0,0,27,0,28,0,3,29,23,20,1,-1.6,"$6,000,000",
Tyson Miller,26,us US,R,R,"6' 5""",220,"Jul 29, 1995",2,4,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,
Matt Moore,33,us US,L,L,"6' 3""",210,"Jun 18, 1989",11,63,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,2.4,"$100,000",
Glenn Otto,26,us US,R,R,"6' 3""",240,"Mar 11, 1996",2,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,
Spencer Patton,34,us US,R,R,"6' 1""",200,"Feb 20, 1988",5,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Martín Pérez,31,ve VE,L,L,"6' 0""",200,"Apr 4, 1991",11,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,5,"$4,000,000",All-Star
Kevin Plawecki,31,us US,R,R,"6' 2""",208,"Feb 26, 1991",8,3,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Cole Ragans,24,us US,L,L,"6' 4""",190,"Dec 12, 1997",1st,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Zach Reks,28,us US,L,R,"6' 2""",190,"Nov 12, 1993",2,16,7,16,15,0,0,0,0,0,0,13,0,3,15,0,6,1,-0.4,,
Garrett Richards,34,us US,R,R,"6' 2""",210,"May 27, 1988",12,32,2,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$4,500,000",
Yerry Rodriguez,24,do DO,R,R,"6' 2""",198,"Oct 15, 1997",1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Dennis Santana,26,do DO,R,R,"6' 2""",190,"Apr 12, 1996",5,63,1,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,,
Josh Sborz,28,us US,R,R,"6' 3""",215,"Dec 17, 1993",4,19,1,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Corey Seager,28,us US,L,R,"6' 4""",215,"Apr 27, 1994",8,151,151,151,144,0,0,0,0,0,144,0,0,0,0,7,0,0,4,"$33,000,000",All-Star
Marcus Semien,31,us US,R,R,"6' 0""",195,"Sep 17, 1990",10,161,161,161,161,0,0,0,148,0,17,0,0,0,0,0,0,0,5.9,"$25,000,000",
Josh Smith,24,us US,L,R,"5' 10""",172,"Aug 7, 1997",1st,73,60,73,66,0,0,0,2,36,6,24,0,0,24,6,11,1,0.3,,
Nicklaus Snyder,26,us US,R,R,"6' 4""",190,"Oct 10, 1995",2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Nick Solak,27,us US,R,R,"5' 10""",185,"Jan 11, 1995",4,35,25,35,23,0,0,0,1,0,0,22,0,0,22,11,9,0,-0.1,,
Leody Taveras,23,do DO,B,R,"6' 2""",195,"Sep 8, 1998",3,99,87,99,93,0,0,0,0,0,0,0,93,0,93,3,3,6,0.8,,
Bubba Thompson,24,us US,R,R,"6' 2""",197,"Jun 9, 1998",1st,55,51,55,52,0,0,0,0,0,0,35,9,10,52,1,0,4,0.1,,
Jesus Tinoco,27,ve VE,R,R,"6' 4""",258,"Apr 30, 1995",4,17,2,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Meibrys Viloria,25,co CO,L,R,"5' 11""",225,"Feb 15, 1997",4,26,19,26,20,0,20,0,0,0,0,0,0,0,0,4,6,0,0.3,,
Steele Walker,25,us US,L,L,"5' 11""",209,"Jul 30, 1996",1st,5,4,5,5,0,0,0,0,0,0,4,0,1,5,0,1,0,-0.2,,
Eli White,28,us US,R,R,"6' 3""",195,"Jun 26, 1994",3,47,35,47,42,0,0,0,0,0,0,21,22,1,42,1,1,7,1,,
