Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Shaun Anderson,27,us US,R,R,"6' 6""",228,"Oct 29, 1994",4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,
Anthony Banda,28,us US,L,L,"6' 2""",221,"Aug 10, 1993",6,7,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Anthony Bass,34,us US,R,R,"6' 2""",205,"Nov 1, 1987",11,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1,,
Jeremy Beasley,26,us US,R,R,"6' 2""",235,"Nov 20, 1995",3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,
José Berríos,28,pr PR,R,R,"6' 0""",205,"May 27, 1994",7,32,32,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,"$10,714,286",
Bo Bichette,24,us US,R,R,"6' 0""",190,"Mar 5, 1998",4,159,158,159,157,0,0,0,0,0,157,0,0,0,0,1,1,0,3.6,,
Cavan Biggio,27,us US,L,R,"6' 2""",200,"Apr 11, 1995",4,97,77,97,88,0,0,33,49,1,0,2,0,7,9,3,18,2,0.9,"$2,123,000",
Ryan Borucki,28,us US,L,L,"6' 4""",210,"Mar 31, 1994",5,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,"$825,000",
Jackie Bradley Jr.,32,us US,L,R,"5' 10""",196,"Apr 19, 1990",10,40,22,40,40,0,0,0,0,0,0,0,26,20,40,0,0,0,0.1,,
Vinny Capra,25,us US,R,R,"5' 8""",180,"Jul 7, 1996",1st,8,2,8,3,0,0,0,1,0,0,1,0,1,2,2,3,2,0.1,,
Max Castillo,23,ve VE,R,R,"6' 2""",280,"May 4, 1999",1st,9,2,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,
Matt Chapman,29,us US,R,R,"6' 0""",215,"Apr 28, 1993",6,155,152,155,153,0,0,0,0,153,0,0,0,0,0,1,2,0,3.5,"$12,500,000",
Adam Cimber,31,us US,R,R,"6' 3""",195,"Aug 15, 1990",5,77,0,0,77,77,0,0,0,0,0,0,0,0,0,0,0,0,0.9,"$1,575,000",
Zack Collins,27,us US,L,R,"6' 3""",220,"Feb 6, 1995",4,26,19,26,12,0,11,1,0,0,0,0,0,0,0,13,4,0,0.1,,
