Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary
Cory Abbott,26,us US,R,R,"6' 2""",217,"Sep 20, 1995",2,16,9,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,
CJ Abrams,21,us US,L,R,"6' 2""",191,"Oct 3, 2000",1st,44,43,44,43,0,0,0,0,0,43,0,0,0,0,0,0,1,0,
Riley Adams,26,us US,R,R,"6' 4""",260,"Jun 26, 1996",2,48,43,48,45,0,44,1,0,0,0,0,0,0,0,2,3,0,0,
Joan Adon,23,do DO,R,R,"6' 2""",245,"Aug 12, 1998",2,14,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,
Ehire Adrianza,32,ve VE,B,R,"6' 1""",198,"Aug 21, 1989",10,31,22,31,27,1,0,0,4,18,2,9,0,0,9,1,5,0,-0.5,"$1,500,000"
Víctor Arano,27,mx MX,R,R,"6' 2""",242,"Feb 7, 1995",4,43,0,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,
Tres Barrera,27,us US,R,R,"6' 0""",215,"Sep 15, 1994",3,19,18,19,19,0,19,0,0,0,0,0,0,0,0,0,0,0,-0.4,
Josh Bell,29,us US,B,R,"6' 4""",261,"Aug 14, 1992",7,103,103,103,103,0,0,103,0,0,0,0,0,0,0,0,0,0,3.4,"$10,000,000"
Alex Call,27,us US,R,R,"5' 11""",189,"Sep 27, 1994",1st,35,27,35,32,0,0,0,0,0,0,27,4,1,32,3,3,4,0.2,
Cade Cavalli,23,us US,R,R,"6' 4""",232,"Aug 14, 1998",1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,
Steve Cishek,36,us US,R,R,"6' 6""",220,"Jun 18, 1986",13,69,0,0,69,69,0,0,0,0,0,0,0,0,0,0,0,0,0.3,"$1,750,000"
Sam Clay,29,us US,L,L,"6' 3""",238,"Jun 21, 1993",2,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,
Tyler Clippard,37,us US,R,R,"6' 3""",200,"Feb 14, 1985",16,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,"$100,000"
Patrick Corbin,32,us US,L,L,"6' 4""",226,"Jul 19, 1989",10,31,31,0,31,31,0,0,0,0,0,0,0,0,0,0,0,0,-2.5,"$23,416,666"
Nelson Cruz,41,do DO,R,R,"6' 2""",230,"Jul 1, 1980",18,124,122,124,0,0,0,0,0,0,0,0,0,0,0,123,2,0,0.1,"$12,000,000"
Sean Doolittle,35,us US,L,L,"6' 2""",218,"Sep 26, 1986",11,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.4,"$1,500,000"
Carl Edwards Jr.,30,us US,R,R,"6' 3""",165,"Sep 3, 1991",8,57,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,1.3,
Alcides Escobar,35,ve VE,R,R,"6' 1""",205,"Dec 16, 1986",13,42,36,40,41,2,0,0,2,0,37,0,0,0,0,0,0,4,-0.5,"$1,000,000"
Paolo Espino,35,pa PA,R,R,"5' 10""",212,"Jan 10, 1987",4,42,19,0,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Erick Fedde,29,us US,R,R,"6' 4""",203,"Feb 25, 1993",6,27,27,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,"$2,150,000"
Kyle Finnegan,30,us US,R,R,"6' 2""",200,"Sep 4, 1991",3,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,1,
Lucius Fox,24,bs BS,B,R,"6' 1""",182,"Jul 2, 1997",1st,10,7,10,9,0,0,0,0,4,6,0,0,0,0,0,0,1,-0.7,
Maikel Franco,29,do DO,R,R,"6' 1""",225,"Aug 26, 1992",9,103,98,103,99,0,0,4,0,99,0,0,0,0,0,3,4,0,-1.1,"$700,000"
Luis García,22,us US,L,R,"6' 2""",220,"May 16, 2000",3,93,91,93,92,0,0,0,33,0,59,0,0,0,0,0,2,0,0.1,
Reed Garrett,29,us US,R,R,"6' 2""",195,"Jan 2, 1993",2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,
Josiah Gray,24,us US,R,R,"6' 1""",210,"Dec 21, 1997",2,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0.5,
Hunter Harvey,27,us US,R,R,"6' 3""",239,"Dec 9, 1994",4,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,1,
César Hernández,32,ve VE,B,R,"5' 10""",183,"May 23, 1990",10,147,142,147,144,0,0,0,126,9,0,10,0,0,10,0,4,1,0.8,"$4,000,000"
Yadiel Hernández,34,cu CU,L,R,"5' 10""",185,"Oct 9, 1987",3,94,84,94,79,0,0,0,0,0,0,79,0,1,79,11,10,0,0.4,
Evan Lee,25,us US,L,L,"6' 1""",205,"Jun 18, 1997",1st,4,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,
