last_name, first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate
Pujols, Albert,405395,2022,42,307,351,83,45,14,0,24,55,28,15.7,8,0.27,0.55,0.345,0.895,0.28,68,149,169,2,0.262,0.499,0.38,0.365,0.343,0.237,91.2,16.4,34.5,12
Cabrera, Miguel,408234,2022,39,397,433,101,86,10,0,5,101,28,23.3,6.5,0.254,0.317,0.305,0.622,0.063,43,149,126,0,0.234,0.331,0.275,0.275,0.29,0.096,89.9,5,35.2,4.7
Molina, Yadier,425877,2022,39,262,270,56,43,8,0,5,40,5,14.8,1.9,0.214,0.302,0.233,0.535,0.088,24,103,79,0,0.23,0.328,0.235,0.254,0.251,0.098,84.7,16.9,34.1,3.1
Cano, Robinson,429664,2022,39,100,104,15,13,1,0,1,25,4,24,3.8,0.15,0.19,0.183,0.373,0.04,4,50,19,0,0.209,0.299,0.169,0.237,0.239,0.09,88.2,5.8,29.3,4
Suzuki, Kurt,435559,2022,38,139,159,25,17,4,0,4,29,15,18.2,9.4,0.18,0.295,0.264,0.559,0.115,15,54,41,0,0.191,0.281,0.254,0.255,0.276,0.09,85.2,24.1,31,3.5
Cruz Jr., Nelson,443558,2022,41,448,507,105,79,16,0,10,119,49,23.5,9.7,0.234,0.337,0.312,0.649,0.103,64,207,151,0,0.241,0.399,0.292,0.32,0.323,0.157,90.9,7.2,28,9.3
Peralta, David,444482,2022,34,439,490,110,65,30,3,12,114,41,23.3,8.4,0.251,0.415,0.316,0.731,0.164,59,186,182,3,0.249,0.399,0.315,0.313,0.318,0.15,90.3,15.1,35,8.5
Pina, Manny,444489,2022,35,14,17,2,2,0,0,0,1,1,5.9,5.9,0.143,0.143,0.235,0.378,0,2,7,2,0,0.192,0.405,0.187,0.298,0.288,0.213,81.9,9,14.3,7.1
Escobar, Alcides,444876,2022,35,124,131,27,21,4,2,0,32,5,24.4,3.8,0.218,0.282,0.26,0.542,0.065,8,48,35,1,0.21,0.264,0.242,0.233,0.252,0.054,81.8,15.7,39.1,1.1
Longoria, Evan,446334,2022,36,266,298,65,38,13,0,14,83,27,27.9,9.1,0.244,0.451,0.315,0.767,0.207,42,119,120,0,0.233,0.437,0.33,0.324,0.309,0.204,91.1,18.2,33.3,12.4
Blackmon, Charlie,453568,2022,35,530,577,140,96,22,6,16,109,32,18.9,5.5,0.264,0.419,0.312,0.731,0.155,78,197,222,1,0.256,0.376,0.317,0.301,0.308,0.12,86.2,12.4,36.7,4.4
Maldonado, Martin,455117,2022,35,344,379,64,37,12,0,15,116,22,30.6,5.8,0.186,0.352,0.245,0.597,0.166,45,170,121,0,0.181,0.325,0.264,0.253,0.245,0.144,88.4,14.7,31.6,8.1
Chirinos, Robinson,455139,2022,38,195,220,35,22,9,0,4,67,19,30.5,8.6,0.179,0.287,0.264,0.551,0.108,22,83,56,0,0.168,0.281,0.251,0.245,0.255,0.113,84.8,17.6,30.8,6.9
Cain, Lorenzo,456715,2022,36,145,156,26,20,5,0,1,36,8,23.1,5.1,0.179,0.234,0.231,0.465,0.055,9,76,34,2,0.2,0.253,0.212,0.23,0.25,0.053,87.9,3.8,21.8,0
Solano, Donovan,456781,2022,34,278,304,79,59,16,0,4,61,19,20.1,6.3,0.284,0.385,0.339,0.724,0.101,24,117,107,0,0.268,0.393,0.319,0.315,0.325,0.125,88.3,10.7,36.1,5.9
McCutchen, Andrew,457705,2022,35,515,580,122,80,25,0,17,124,57,21.4,9.8,0.237,0.384,0.316,0.7,0.148,69,226,198,6,0.252,0.406,0.309,0.325,0.329,0.155,89.1,13.2,36.2,8.6
Upton, Justin,457708,2022,34,48,57,6,4,1,0,1,23,6,40.4,10.5,0.125,0.208,0.263,0.471,0.083,3,33,10,0,0.157,0.218,0.231,0.249,0.293,0.061,88.5,26.5,36,4
Turner, Justin,457759,2022,37,468,532,130,81,36,0,13,89,50,16.7,9.4,0.278,0.438,0.35,0.788,0.16,81,201,205,0,0.267,0.427,0.343,0.339,0.343,0.16,89.5,18.4,40.6,8
Votto, Joey,458015,2022,38,322,376,66,36,18,1,11,97,44,25.8,11.7,0.205,0.37,0.319,0.689,0.165,41,138,119,0,0.218,0.39,0.31,0.322,0.331,0.172,89.7,14.2,32.9,11.1
Andrus, Elvis,462101,2022,33,535,577,133,84,32,0,17,92,39,15.9,6.8,0.249,0.404,0.303,0.707,0.155,58,180,216,4,0.245,0.36,0.31,0.293,0.3,0.114,87.9,11.9,29.1,4.5
Santana, Carlos,467793,2022,36,431,506,87,50,18,0,19,88,71,17.4,14,0.202,0.376,0.316,0.692,0.174,60,173,162,0,0.253,0.438,0.308,0.352,0.361,0.185,90.7,15.4,31.6,9.3
Belt, Brandon,474832,2022,34,254,298,54,36,9,1,8,81,37,27.2,12.4,0.213,0.35,0.326,0.676,0.138,23,121,89,0,0.215,0.412,0.303,0.326,0.328,0.197,88.4,23.4,38.5,12.6
Lowrie, Jed,476704,2022,38,167,184,30,22,5,0,3,39,15,21.2,8.2,0.18,0.263,0.245,0.508,0.084,16,73,44,0,0.197,0.281,0.23,0.247,0.264,0.085,86.2,16.3,26.9,3.1
Brantley Jr., Michael,488726,2022,35,243,277,70,50,14,1,5,30,31,10.8,11.2,0.288,0.416,0.368,0.784,0.128,26,68,101,1,0.31,0.467,0.345,0.374,0.39,0.158,89.8,10.7,39.5,6
Castro, Jason,488771,2022,35,78,88,9,6,2,0,1,40,8,45.5,9.1,0.115,0.179,0.205,0.384,0.064,3,46,14,0,0.161,0.28,0.183,0.239,0.245,0.119,88.6,10,35.9,5.1
Gurriel, Yuli,493329,2022,38,545,584,132,84,40,0,8,73,30,12.5,5.1,0.242,0.36,0.288,0.647,0.117,53,259,196,0,0.24,0.319,0.285,0.271,0.286,0.079,88.2,14.6,30.3,1.9
Rojas, Miguel,500743,2022,33,471,507,111,84,19,2,6,61,26,12,5.1,0.236,0.323,0.282,0.605,0.087,36,164,152,3,0.264,0.347,0.268,0.293,0.31,0.083,86.1,10.1,33.1,1.9
Escobar, Eduardo,500871,2022,33,495,542,119,69,26,4,20,129,40,23.8,7.4,0.24,0.43,0.295,0.726,0.19,69,267,213,2,0.243,0.427,0.311,0.314,0.3,0.183,88.3,20.6,38.7,9.4
Adrianza, Ehire,501303,2022,32,97,110,17,14,3,0,0,25,11,22.7,10,0.175,0.206,0.264,0.47,0.031,7,49,20,0,0.222,0.288,0.222,0.274,0.306,0.066,84.6,12.6,30.1,1.4
Lagares, Juan,501571,2022,33,60,62,11,8,2,1,0,15,2,24.2,3.2,0.183,0.25,0.21,0.46,0.067,0,31,15,0,0.216,0.305,0.203,0.242,0.241,0.089,88.4,14.4,40,2.2
