pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1027,641154,"López, Pablo",2910,35.3,0.22,0.154,0.277,0.374,0.283,0.287,0.233,54,246,87.2,4.2,1965,87.5,88.18,187,552,475,0.7,6.86,111,152,118,150,296,315,293
937,657277,"Webb, Logan",3006,31.2,0.204,0.082,0.264,0.286,0.244,0.276,0.238,55,269,88.4,-3.5,1493,86.4,87.39,143,538,399,1,6.73,111,151,118,148,296,323,297
899,645261,"Alcantara, Sandy",3248,27.7,0.145,0.048,0.207,0.194,0.169,0.199,0.17,36,248,84.1,-5,2056,91.8,90.7,176,512,387,-1.1,5.91,113,155,117,152,295,317,297
865,594835,"Gonzales, Marco",2838,30.5,0.263,0.18,0.283,0.442,0.317,0.275,0.235,73,278,84.9,11.8,2114,79.4,79.33,127,518,347,-0.1,6.38,107,152,121,145,298,320,285
823,527048,"Pérez, Martín",2979,27.6,0.233,0.105,0.279,0.338,0.272,0.288,0.251,49,210,84.2,6.6,1661,84.4,83.79,147,439,384,-0.6,5.94,111,153,117,147,303,322,293
815,542881,"Anderson, Tyler",2576,31.6,0.179,0.083,0.226,0.262,0.212,0.223,0.19,41,229,82,15,1848,79,78.77,169,457,358,-0.2,6.07,107,154,117,146,303,314,286
762,605200,"Davies, Zach",2292,33.2,0.187,0.138,0.2,0.325,0.244,0.266,0.215,38,203,83.2,13.8,1672,79.7,79.19,137,425,337,-0.5,6.04,109,151,121,148,302,321,298
745,605488,"Springs, Jeffrey",2149,34.7,0.229,0.091,0.312,0.32,0.255,0.228,0.205,53,231,83.4,11.5,1415,81.1,81.06,168,441,304,0,6.31,103,153,115,148,304,326,295
702,608337,"Giolito, Lucas",2753,25.5,0.248,0.17,0.375,0.418,0.337,0.289,0.218,41,165,81.6,15.1,1448,81,81.84,141,366,336,0.8,6.79,109,151,113,149,299,327,298
671,518876,"Kelly, Merrill",3071,21.8,0.243,0.119,0.299,0.362,0.282,0.257,0.219,45,185,85.2,-0.5,2160,88.6,88.28,107,376,295,-0.3,6.17,112,153,120,149,300,321,298
