pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1103,450203,"Morton, Charlie",2903,38,0.171,0.151,0.288,0.323,0.258,0.235,0.164,43,251,86.4,7.4,3068,81.3,80.76,208,498,605,-0.5,6.18,112,152,124,148,302,325,303
995,425794,"Wainwright, Adam",3133,31.8,0.251,0.102,0.306,0.353,0.285,0.29,0.248,64,255,84.4,8.9,2768,72.8,72.14,100,449,546,-0.7,6.28,115,156,116,150,298,321,302
919,657140,"Wright, Kyle",2697,34.1,0.211,0.096,0.304,0.307,0.251,0.262,0.22,53,251,88.4,3.6,2723,84.7,84.94,153,457,462,0.2,6.41,113,152,120,150,303,324,301
846,664285,"Valdez, Framber",3018,28,0.146,0.05,0.316,0.196,0.198,0.202,0.146,32,219,86.3,2,2848,79.1,78.1,192,423,423,-1,5.94,108,154,115,147,295,322,290
834,601713,"Pivetta, Nick",3082,27.1,0.299,0.142,0.377,0.442,0.341,0.302,0.253,59,197,87.8,2.4,2710,77.2,76.94,70,316,518,-0.3,6.6,111,158,116,151,293,328,297
806,605400,"Nola, Aaron",3039,26.5,0.219,0.127,0.331,0.346,0.258,0.225,0.195,50,228,85.3,4.1,2589,78.6,78.83,174,442,364,0.2,6.82,111,152,122,144,296,325,293
766,500779,"Quintana, José",2724,28.1,0.202,0.071,0.282,0.274,0.239,0.279,0.228,34,168,86.6,12.7,2261,78.4,78.57,108,347,419,0.2,6.4,108,153,117,149,305,321,295
740,592767,"Smyly, Drew",1814,40.8,0.225,0.115,0.301,0.34,0.257,0.276,0.243,45,200,84.6,12.7,2119,78.7,77.86,128,392,348,-0.8,5.65,107,152,117,148,302,321,292
727,448179,"Hill, Rich",1990,36.5,0.235,0.142,0.261,0.377,0.296,0.297,0.242,48,204,86.1,8,2629,71.8,70.74,63,375,352,-1.1,6.06,105,153,117,149,289,326,292
695,607200,"Fedde, Erick",2420,28.7,0.321,0.182,0.376,0.504,0.388,0.348,0.277,44,137,86.9,21.8,2389,78.4,78.45,78,300,395,0.1,6.48,113,155,122,146,299,319,296
669,446372,"Kluber, Corey",2454,27.3,0.255,0.16,0.349,0.415,0.307,0.282,0.23,51,200,86,18.9,2526,80.7,80.5,98,346,323,-0.2,6.31,108,157,115,150,301,324,295
666,571945,"Mikolas, Miles",3152,21.1,0.227,0.133,0.25,0.359,0.276,0.291,0.246,29,128,86.3,10.4,2547,76,75.74,48,254,412,-0.3,6.41,117,156,114,150,298,322,301
645,680686,"Gray, Josiah",2597,24.8,0.185,0.141,0.25,0.326,0.257,0.268,0.195,25,135,85.6,11.8,2490,82.7,81.16,84,261,384,-1.5,5.45,117,157,127,146,298,319,300
