pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1815,669203,"Burnes, Corbin",3274,55.4,0.213,0.122,0.27,0.335,0.279,0.31,0.246,89,418,88.8,9,2626,95,95.41,242,872,943,0.4,6.37,113,153,120,147,296,318,297
1052,615698,"Quantrill, Cal",2920,36,0.235,0.132,0.264,0.368,0.285,0.316,0.255,55,234,89.2,14.5,2238,88.5,88.7,108,453,599,0.2,6.27,110,154,117,150,292,316,293
1046,506433,"Darvish, Yu",2971,35.2,0.31,0.148,0.335,0.457,0.371,0.369,0.298,65,210,88,15.6,2755,86.5,87.26,128,504,542,0.8,6.56,114,164,113,152,295,319,300
987,518516,"Bumgarner, Madison",2715,36.4,0.306,0.207,0.348,0.513,0.374,0.373,0.3,83,271,89.4,14.9,2295,87.4,87.8,92,556,431,0.4,6.56,108,151,120,146,301,321,295
891,668933,"Ashcraft, Graham",1756,50.7,0.285,0.097,0.298,0.382,0.33,0.324,0.27,59,207,85.6,1.7,2383,97.3,91.06,69,454,437,-6.2,5.55,114,152,116,148,289,319,291
839,446372,"Kluber, Corey",2454,34.2,0.302,0.134,0.329,0.436,0.325,0.313,0.275,61,202,84.2,21.1,2463,86.3,86.6,124,485,354,0.3,6.35,107,158,112,150,300,324,297
787,425794,"Wainwright, Adam",3133,25.1,0.283,0.158,0.293,0.44,0.335,0.342,0.28,52,184,87.8,10.9,2411,84.3,84.89,72,398,389,0.6,6.44,112,154,115,148,300,321,301
738,543766,"Shaw, Bryan",969,76.2,0.25,0.141,0.288,0.391,0.328,0.331,0.256,46,184,91.5,8.2,2411,92.9,92.47,76,367,371,-0.4,5.84,109,153,119,150,294,318,294
737,656876,"Rasmussen, Drew",2239,32.9,0.247,0.111,0.285,0.358,0.288,0.297,0.243,40,162,88.6,5.6,2612,90.3,90.52,126,419,318,0.2,6.48,107,154,110,150,302,326,299
734,641482,"Cortes, Nestor",2465,29.8,0.191,0.175,0.212,0.366,0.278,0.289,0.227,35,183,87.1,17.3,2370,86.9,86.24,100,408,326,-0.7,5.73,109,162,121,151,300,327,287
726,677651,"Garcia, Luis",2468,29.4,0.151,0.096,0.208,0.247,0.216,0.243,0.184,25,166,86.6,13.6,2354,85.3,85.15,142,332,394,-0.2,6.14,110,155,117,148,296,325,292
725,527048,"Pérez, Martín",2979,24.3,0.232,0.062,0.319,0.294,0.261,0.267,0.231,45,194,86.8,11,2215,89.8,89.42,57,337,388,-0.4,5.92,112,153,117,148,301,322,294
714,623167,"Flexen, Chris",2204,32.4,0.267,0.128,0.301,0.396,0.304,0.309,0.268,50,187,87.7,12.2,2355,87.4,87.05,90,384,330,-0.4,5.96,109,152,118,146,290,323,296
704,445926,"Chavez, Jesse",1202,58.6,0.213,0.142,0.292,0.355,0.286,0.276,0.199,30,141,88.1,17,2223,89.1,89.22,96,336,368,0.1,6.17,113,154,120,149,303,323,297
693,605507,"Thompson, Zach",2080,33.3,0.289,0.242,0.288,0.53,0.377,0.371,0.297,43,149,87.9,14.1,2580,86.8,86.75,80,344,349,0,6.18,108,151,114,148,302,321,298
678,517008,"Colomé, Alex",803,84.4,0.277,0.15,0.319,0.428,0.318,0.314,0.266,48,173,89.3,-1,2153,90.8,90.78,66,325,353,0,6.16,111,149,116,146,303,326,302
668,607200,"Fedde, Erick",2420,27.6,0.234,0.207,0.239,0.441,0.315,0.331,0.242,34,145,87.7,19.2,2123,89.2,89.85,56,325,343,0.7,6.58,112,157,125,147,297,318,300
648,445276,"Jansen, Kenley",1006,64.4,0.17,0.092,0.247,0.262,0.231,0.223,0.157,24,141,84.5,21.4,2567,92.2,92.55,97,344,304,0.4,6.89,115,152,121,148,307,325,299
601,665152,"Kremer, Dean",1947,30.9,0.259,0.098,0.293,0.356,0.284,0.305,0.268,45,174,87.6,11.3,2478,88,88.05,72,330,271,0.1,6.19,107,155,117,148,302,322,295
593,502043,"Gibson, Kyle",2739,21.7,0.244,0.156,0.254,0.4,0.306,0.332,0.275,33,135,86.1,16.7,2359,89.4,90.02,57,291,302,0.6,6.69,111,152,118,144,295,327,294
567,542881,"Anderson, Tyler",2576,22,0.213,0.133,0.245,0.346,0.258,0.264,0.231,40,188,82,14.3,2421,85.7,85.7,64,349,218,0,6.16,108,155,118,148,298,315,292
562,518876,"Kelly, Merrill",3071,18.3,0.197,0.197,0.2,0.394,0.273,0.295,0.217,26,132,88,25.5,2338,90.9,90.72,60,284,278,-0.2,6.12,112,154,121,149,301,323,299
560,541640,"Ramírez, Erasmo",1222,45.8,0.2,0.193,0.19,0.393,0.262,0.255,0.218,29,145,87.7,17.2,2385,89.2,89.35,76,309,251,0.2,6.45,114,156,124,147,300,317,298
556,453343,"Melancon, Mark",886,62.8,0.289,0.134,0.298,0.423,0.344,0.355,0.292,41,142,87.2,11.2,2266,90.9,90.78,44,273,283,-0.1,6.32,109,150,117,148,299,320,295
555,594835,"Gonzales, Marco",2838,19.6,0.321,0.226,0.314,0.547,0.39,0.372,0.302,44,137,83.8,14.7,2030,86.1,86.64,39,301,254,0.5,6.41,106,152,120,145,297,320,287
552,650644,"Civale, Aaron",1588,34.8,0.286,0.23,0.284,0.516,0.355,0.33,0.279,36,126,88.2,20.4,2612,86.3,84.56,64,294,258,-1.7,5.76,113,157,115,150,292,316,293
551,605397,"Musgrove, Joe",2834,19.4,0.229,0.24,0.198,0.469,0.324,0.288,0.216,22,96,87.1,21.7,2581,90.1,89.86,36,241,310,-0.2,6.06,113,164,111,152,295,320,300
549,661403,"Clase, Emmanuel",921,59.6,0.189,0.056,0.239,0.245,0.212,0.25,0.223,27,143,84.9,-2.8,2653,99.5,100.18,73,324,225,0.7,6.48,113,151,118,150,291,315,291
537,502085,"Robertson, David",1060,50.7,0.224,0.14,0.288,0.364,0.333,0.329,0.207,24,107,90,19.6,2611,93,93.77,40,192,345,0.8,6.74,110,151,116,152,296,324,294
530,476595,"Luetge, Lucas",971,54.6,0.338,0.127,0.389,0.465,0.376,0.329,0.273,48,142,86.4,15.6,2591,87.6,87.97,62,270,260,0.4,6.35,108,154,119,148,296,325,287
520,641778,"Lauer, Eric",2676,19.4,0.286,0.203,0.303,0.489,0.374,0.379,0.309,38,133,89.1,16.7,2269,89.8,89.4,41,262,258,-0.4,6.19,107,153,119,146,299,320,295
516,543521,"McHugh, Collin",1086,47.5,0.265,0.08,0.292,0.345,0.279,0.345,0.308,30,113,88.2,11.7,2511,88.9,89.65,60,279,237,0.8,6.58,111,151,126,144,305,325,299
491,458681,"Lynn, Lance",2022,24.3,0.252,0.151,0.265,0.403,0.31,0.301,0.245,30,119,87.9,12.9,2608,89,89.16,71,272,219,0.2,6.31,109,154,112,149,294,325,296
484,605135,"Bassitt, Chris",2886,16.8,0.209,0.145,0.253,0.355,0.277,0.283,0.209,23,110,85.5,20.2,2260,89.1,89.07,75,264,220,0,6.2,114,158,118,149,296,327,304
477,669456,"Bieber, Shane",2875,16.6,0.239,0.138,0.239,0.376,0.281,0.301,0.265,26,109,85.8,6,2502,86.9,87.86,62,246,231,1,6.57,111,158,112,151,294,316,296
467,456501,"Cueto, Johnny",2372,19.7,0.313,0.268,0.305,0.58,0.384,0.345,0.298,35,112,87.6,15.8,2177,86.9,86.14,25,213,254,-0.8,5.6,109,152,110,149,293,323,296
462,657093,"Watkins, Spenser",1642,28.1,0.328,0.099,0.402,0.427,0.356,0.322,0.277,43,131,89.2,9.8,2455,87.1,86.48,65,255,207,-0.6,6.21,108,156,115,150,301,322,295
440,641302,"Alexander, Tyler",1591,27.7,0.273,0.218,0.294,0.491,0.339,0.338,0.269,30,110,87.7,18.6,2349,85.5,85.85,42,217,223,0.3,6.25,105,152,116,144,302,330,292
435,668678,"Gallen, Zac",2935,14.8,0.239,0.111,0.268,0.35,0.283,0.285,0.242,28,117,85.1,8.9,2424,89.9,90.47,39,248,187,0.6,6.51,111,153,122,150,299,321,297
411,642232,"Yarbrough, Ryan",1355,30.3,0.314,0.21,0.35,0.524,0.392,0.332,0.25,33,105,83.6,17.6,2085,82.3,82.48,38,218,193,0.2,6.38,102,153,117,146,306,322,292
408,676710,"Crawford, Kutter",1296,31.5,0.278,0.148,0.315,0.426,0.349,0.356,0.275,32,115,87,16.6,2422,88.8,88.76,55,226,182,0,6.14,110,156,116,150,292,327,293
400,624522,"Thompson, Keegan",1878,21.3,0.28,0.13,0.317,0.41,0.34,0.338,0.282,28,100,86.8,10.6,2552,89.8,87.69,47,202,198,-2.1,6.2,107,151,117,153,300,322,293
383,608723,"Voth, Austin",1762,21.7,0.343,0.172,0.378,0.515,0.392,0.351,0.293,34,99,87.6,11,2442,89.5,89.23,47,202,181,-0.3,6.17,108,157,120,147,302,322,295
379,543606,"Odorizzi, Jake",1798,21.1,0.222,0.144,0.246,0.367,0.27,0.291,0.242,20,90,86.7,20.2,2077,87.6,87.59,45,202,177,0,6.16,114,155,122,149,302,323,296
378,621237,"Alvarado, José",881,42.9,0.119,0.036,0.37,0.155,0.138,0.11,0.085,10,84,87.3,-2.1,2207,93.8,94.46,112,201,177,0.7,6.68,108,147,117,143,299,326,287
362,593958,"Rodriguez, Eduardo",1469,24.6,0.24,0.12,0.283,0.36,0.285,0.308,0.269,18,75,84.6,18,2192,88.7,88.81,23,162,200,0.1,6.18,104,153,115,145,304,329,289
357,621345,"Minter, A.J.",1111,32.1,0.338,0.162,0.462,0.5,0.368,0.268,0.235,25,74,86.7,15.6,2603,90.3,90.56,75,207,150,0.3,6.17,112,152,119,150,304,324,298
348,571901,"Loup, Aaron",967,36,0.2,0.169,0.256,0.369,0.288,0.321,0.251,13,65,87.2,12.8,2323,84.7,84.04,69,183,165,-0.7,5.99,110,149,113,148,296,322,291
342,666808,"Doval, Camilo",1121,30.5,0.34,0.264,0.366,0.604,0.45,0.384,0.271,18,53,90.2,14.2,2531,99.4,100.41,36,147,195,1,6.67,111,152,115,149,298,323,295
340,592767,"Smyly, Drew",1814,18.7,0.268,0.268,0.23,0.537,0.365,0.393,0.3,22,82,88.2,7.1,2103,88.6,88.02,23,160,180,-0.6,5.87,108,153,118,153,299,321,294
