pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1749,607074,"Rodón, Carlos",2985,58.6,0.215,0.15,0.29,0.365,0.288,0.282,0.21,82,381,90.2,21.2,2351,95.5,95.38,256,937,812,-0.1,6.24,109,153,115,148,298,321,290
1698,543037,"Cole, Gerrit",3274,51.9,0.221,0.199,0.3,0.42,0.308,0.299,0.216,80,362,92.1,16.8,2428,97.8,97.77,231,798,900,0,6.47,112,158,122,152,293,327,291
1626,669302,"Gilbert, Logan",3015,53.9,0.259,0.179,0.309,0.439,0.333,0.339,0.262,97,374,92.1,15.7,2135,96.1,98.09,211,892,734,2,7.41,112,153,118,148,292,324,298
1572,601713,"Pivetta, Nick",3082,51,0.236,0.206,0.268,0.442,0.34,0.356,0.249,78,330,92.9,22.9,2310,93.4,94.02,169,802,770,0.6,6.77,110,156,116,150,293,329,296
1570,663474,"McKenzie, Triston",2807,55.9,0.203,0.156,0.218,0.358,0.286,0.336,0.241,73,360,91.2,23.8,2313,92.5,93.06,164,835,735,0.6,6.78,110,156,119,150,295,317,293
1530,664299,"Javier, Cristian",2554,59.9,0.183,0.143,0.235,0.326,0.277,0.273,0.181,59,322,89.1,24,2354,93.8,93.09,230,844,686,-0.7,6,115,157,118,150,294,324,293
1525,675911,"Strider, Spencer",2277,67,0.201,0.094,0.297,0.295,0.261,0.28,0.207,64,319,90,18.6,2343,98.2,99.2,221,797,728,1,6.93,114,152,123,150,304,324,303
1436,657746,"Ryan, Joe",2391,60.1,0.174,0.126,0.22,0.3,0.263,0.301,0.201,54,310,89.8,26.5,2194,92,92.15,198,767,669,0.1,6.38,111,159,117,151,298,330,293
1411,668678,"Gallen, Zac",2935,48.1,0.165,0.136,0.209,0.301,0.256,0.295,0.2,45,272,87.9,16.1,2420,94.1,94.39,115,585,826,0.3,6.59,112,153,121,149,300,322,297
1392,664353,"Urquidy, José",2640,52.7,0.243,0.24,0.237,0.482,0.334,0.371,0.275,76,313,92.9,24.3,2201,93.5,92.62,145,773,619,-0.9,5.9,113,156,116,149,294,324,291
1358,592332,"Gausman, Kevin",2783,48.8,0.333,0.15,0.393,0.483,0.364,0.358,0.296,109,327,92.1,14.7,2265,95,94.86,126,773,585,-0.1,6.4,110,159,118,149,295,321,297
1315,434378,"Verlander, Justin",2607,50.4,0.194,0.09,0.212,0.285,0.241,0.299,0.234,56,288,89.9,20.5,2423,95,94.19,135,746,569,-0.8,6.08,114,154,113,149,292,322,292
1313,608337,"Giolito, Lucas",2753,47.7,0.283,0.166,0.337,0.449,0.349,0.336,0.254,80,283,90.5,11.7,2172,92.6,93.5,128,602,711,0.9,6.88,109,152,112,149,299,328,298
1300,605483,"Snell, Blake",2341,55.5,0.255,0.152,0.322,0.407,0.339,0.327,0.232,62,243,91.5,20.1,2434,95.8,96.44,138,615,685,0.6,6.78,109,155,118,149,298,320,299
1290,628711,"Urías, Julio",2622,49.2,0.195,0.168,0.213,0.363,0.278,0.284,0.206,59,303,88.3,20.1,2521,93.1,92.35,162,706,584,-0.7,5.71,108,155,117,148,300,315,288
1242,656629,"Kopech, Michael",2011,61.8,0.189,0.148,0.22,0.337,0.296,0.315,0.205,46,243,90.4,20.9,2529,94.9,95.13,141,550,691,0.2,6.67,109,152,111,149,299,327,299
1241,656302,"Cease, Dylan",3120,39.8,0.24,0.151,0.287,0.391,0.337,0.32,0.218,54,225,88.4,20.9,2507,96.8,96.33,136,585,656,-0.5,6.07,108,152,110,149,298,326,299
1201,592662,"Ray, Robbie",3047,39.4,0.224,0.173,0.279,0.397,0.307,0.289,0.209,66,295,90.3,24.9,2282,93.4,93.22,172,665,536,-0.2,6.5,108,152,120,145,294,322,286
1184,668881,"Greene, Hunter",2200,53.8,0.26,0.252,0.315,0.512,0.373,0.36,0.248,64,246,91.4,21.6,2367,98.9,98.8,173,612,572,-0.1,6.36,116,153,121,147,292,320,294
1175,641778,"Lauer, Eric",2676,43.9,0.193,0.172,0.255,0.366,0.283,0.271,0.188,46,238,90.1,23.9,2290,93.3,92.83,168,563,612,-0.5,6.19,107,152,119,146,298,319,295
1155,657006,"Steele, Justin",2032,56.8,0.313,0.094,0.378,0.408,0.365,0.337,0.276,73,233,86.8,5.2,2489,92.2,92.48,112,551,604,0.3,6.29,106,151,116,149,301,320,290
1143,663460,"Bubic, Kris",2262,50.5,0.348,0.239,0.398,0.587,0.434,0.389,0.296,80,230,90.8,17,2134,91.9,92.39,111,551,592,0.5,6.6,107,154,116,147,301,324,300
