pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1511,640455,"Manaea, Sean",2482,60.9,0.239,0.188,0.275,0.427,0.323,0.32,0.239,84,351,90,18.5,2005,91.2,92.54,175,760,751,1.3,7.24,109,156,118,149,301,319,298
1478,664285,"Valdez, Framber",3018,49,0.293,0.116,0.3,0.409,0.343,0.357,0.295,103,352,91.5,-5.7,2203,93.9,93.01,81,667,811,-0.9,5.9,109,153,113,147,294,322,291
1319,615698,"Quantrill, Cal",2920,45.2,0.292,0.135,0.315,0.426,0.341,0.341,0.275,93,319,85.6,14.6,2105,93.6,93.86,92,679,639,0.3,6.42,109,154,118,149,292,315,292
1276,663903,"Singer, Brady",2376,53.7,0.255,0.132,0.297,0.387,0.312,0.309,0.244,77,302,88.1,6.6,2297,93.8,94.59,71,510,766,0.8,6.73,110,158,116,149,299,326,303
1239,605200,"Davies, Zach",2292,54.1,0.268,0.218,0.287,0.485,0.366,0.385,0.279,64,239,90.7,11.5,2084,89.6,88.98,52,437,801,-0.6,6,109,152,120,148,301,322,298
1144,571578,"Corbin, Patrick",2623,43.6,0.309,0.165,0.337,0.474,0.364,0.396,0.315,101,327,91.8,8.1,2069,92.9,93.47,69,590,554,0.6,6.76,110,152,119,147,301,318,293
1048,527048,"Pérez, Martín",2979,35.2,0.249,0.093,0.301,0.342,0.31,0.315,0.244,67,269,89.2,4.3,1997,92.6,91.9,54,427,621,-0.7,5.92,112,153,117,148,301,321,294
1030,624133,"Suárez, Ranger",2564,40.2,0.22,0.094,0.263,0.314,0.28,0.312,0.249,56,255,89,-3.3,1907,92.5,92.06,52,436,594,-0.4,6.19,109,150,117,145,299,325,289
1019,641540,"Dunning, Dane",2548,40,0.298,0.153,0.333,0.45,0.371,0.356,0.274,78,262,88.8,3.1,2004,89.5,89.79,55,420,598,0.3,6.62,113,153,118,149,300,323,297
1019,622072,"Wood, Alex",2239,45.5,0.261,0.209,0.324,0.469,0.334,0.329,0.243,55,211,91.3,15.6,2041,92.4,92.22,108,466,553,-0.2,6.2,109,152,116,147,300,322,292
1016,502171,"Cobb, Alex",2418,42,0.273,0.103,0.385,0.375,0.328,0.296,0.232,69,253,90.5,1,2091,94.8,94.19,51,380,636,-0.6,5.89,109,153,117,147,300,324,295
1002,641771,"Kuhl, Chad",2375,42.2,0.367,0.232,0.342,0.599,0.446,0.44,0.347,76,207,93.9,15.1,2129,92.8,92.85,46,391,609,0,6.39,111,151,115,148,305,330,303
998,664141,"Brubaker, JT",2381,41.9,0.283,0.151,0.323,0.434,0.356,0.351,0.273,71,251,90.7,11,2281,93.1,91.95,63,428,570,-1.2,5.66,107,152,115,149,304,323,299
990,657277,"Webb, Logan",3006,32.9,0.327,0.123,0.363,0.45,0.37,0.358,0.303,72,220,90.7,-4,1881,91.8,92.44,53,408,582,0.6,6.76,109,152,112,149,298,324,296
970,607200,"Fedde, Erick",2420,40.1,0.309,0.152,0.339,0.461,0.37,0.363,0.301,63,204,90.6,4.7,1877,92.5,93.34,55,384,586,0.8,6.72,111,154,120,146,300,319,296
938,656756,"Montgomery, Jordan",2715,34.5,0.248,0.112,0.277,0.36,0.295,0.33,0.284,62,250,88.5,4.5,2211,93,93.41,82,479,459,0.4,6.61,108,153,118,148,297,323,289
935,605135,"Bassitt, Chris",2886,32.4,0.253,0.097,0.267,0.35,0.31,0.332,0.254,55,217,87.4,3.7,2117,92.8,92.61,60,409,526,-0.2,6.22,110,155,115,148,300,328,300
881,605288,"Houser, Adrian",1848,47.7,0.298,0.142,0.315,0.44,0.36,0.382,0.31,67,225,89.1,6.3,2077,93.8,94.33,56,441,440,0.5,6.6,108,151,117,145,296,318,296
876,573186,"Stroman, Marcus",2181,40.2,0.226,0.128,0.245,0.355,0.304,0.32,0.241,53,234,89.6,3.6,2266,92,91.5,62,396,480,-0.5,5.8,108,152,116,154,300,320,293
869,425794,"Wainwright, Adam",3133,27.7,0.255,0.118,0.316,0.373,0.295,0.353,0.29,52,204,92.8,15.9,2201,88.6,88.95,30,338,531,0.3,6.51,112,154,117,149,300,322,301
843,570632,"Ureña, José",1622,52,0.313,0.134,0.339,0.447,0.363,0.378,0.306,68,217,90.9,4.5,2190,95.6,95.83,59,427,416,0.2,6.26,110,152,117,149,303,328,302
830,640448,"Finnegan, Kyle",1053,78.8,0.217,0.138,0.276,0.354,0.281,0.271,0.207,41,189,90.1,7.7,2069,97,97.44,105,406,423,0.4,6.58,116,155,121,147,303,319,301
806,645261,"Alcantara, Sandy",3248,24.8,0.265,0.091,0.289,0.357,0.307,0.298,0.253,61,230,85.9,-4.9,2293,97.8,96.68,47,434,372,-1.1,5.9,108,153,118,150,300,316,292
796,641712,"Hudson, Dakota",2253,35.3,0.318,0.1,0.33,0.418,0.372,0.39,0.317,64,201,90.9,0.9,2058,91.9,92.27,25,342,454,0.4,6.39,110,153,114,146,299,321,300
782,605280,"Holmes, Clay",981,79.7,0.2,0.056,0.259,0.256,0.257,0.26,0.199,36,180,89.7,-10,2208,97,96.31,93,354,428,-0.7,6.09,112,156,116,150,293,324,289
770,502043,"Gibson, Kyle",2739,28.1,0.306,0.153,0.346,0.459,0.369,0.36,0.291,60,196,91,0.5,2133,91.6,92.51,73,368,402,0.9,6.76,107,150,118,145,300,327,291
762,666201,"Manoah, Alek",2949,25.8,0.225,0.042,0.284,0.267,0.268,0.27,0.215,43,191,86.1,1.4,2194,93.3,93.7,57,353,409,0.4,6.68,111,160,119,150,292,321,298
703,621244,"Berríos, José",2721,25.8,0.317,0.134,0.34,0.452,0.364,0.377,0.312,59,186,90.4,9.4,2115,93.9,93.97,42,360,343,0.1,6.47,106,156,120,148,299,321,296
701,571945,"Mikolas, Miles",3152,22.2,0.211,0.098,0.252,0.309,0.253,0.274,0.224,41,194,86.9,10.5,2232,93,93.04,43,344,357,0,6.44,113,155,118,149,299,322,300
691,676477,"Whitlock, Garrett",1166,59.3,0.245,0.129,0.308,0.374,0.296,0.289,0.233,40,163,89.2,15.6,2151,95.3,96.93,87,344,347,1.6,7.26,113,157,118,152,291,330,296
688,608566,"Márquez, Germán",2839,24.2,0.328,0.239,0.285,0.567,0.398,0.397,0.33,59,180,92.7,2.8,2111,95.1,94.04,35,347,341,-1.1,5.56,109,150,114,148,302,328,303
685,663855,"Hicks, Jordan",1051,65.2,0.259,0.084,0.283,0.343,0.329,0.355,0.27,37,143,87.9,-2.9,2039,99.4,99.86,42,303,382,0.5,6.61,113,153,113,148,297,318,299
658,669920,"Alexander, Jason",1160,56.7,0.344,0.167,0.358,0.511,0.391,0.376,0.311,64,186,91.4,0,2062,92.4,92.27,30,312,346,-0.1,6.22,110,151,118,145,296,317,297
657,446372,"Kluber, Corey",2454,26.8,0.28,0.194,0.29,0.474,0.349,0.354,0.284,49,175,88.6,15.4,2075,88.9,88.93,26,261,396,0,6.43,109,160,113,150,301,325,297
655,623352,"Hader, Josh",943,69.5,0.241,0.165,0.342,0.406,0.329,0.307,0.207,32,133,88,16,2008,97.4,98.08,97,316,339,0.7,6.77,110,152,117,147,300,324,298
645,657140,"Wright, Kyle",2697,23.9,0.236,0.073,0.257,0.309,0.284,0.317,0.263,42,178,87.5,-5.8,2260,94.4,94.8,53,338,307,0.4,6.66,112,153,120,149,310,323,296
642,592789,"Syndergaard, Noah",2026,31.7,0.235,0.075,0.251,0.31,0.273,0.329,0.266,44,187,87.6,8.1,2125,93.6,94.14,36,351,291,0.5,6.68,110,151,114,147,297,323,290
639,676879,"Ashby, Aaron",1878,34,0.278,0.19,0.299,0.468,0.364,0.371,0.274,35,126,86.3,2.3,2091,95.7,94.18,56,281,358,-1.5,5.51,107,150,116,146,296,319,296
637,592767,"Smyly, Drew",1814,35.1,0.263,0.254,0.258,0.518,0.374,0.339,0.241,30,114,88.2,29.3,2158,92.6,91.93,75,344,293,-0.7,5.88,108,153,115,150,301,321,291
633,592662,"Ray, Robbie",3047,20.8,0.299,0.231,0.304,0.53,0.406,0.371,0.274,40,134,87.2,3.2,2190,93.3,93.61,68,299,334,0.3,6.49,108,153,118,145,295,322,287
628,607536,"Freeland, Kyle",2839,22.1,0.319,0.188,0.341,0.507,0.393,0.378,0.299,46,144,90.8,7.4,2358,89.6,90.23,33,282,346,0.6,6.52,109,152,118,147,305,330,301
603,641835,"Mayza, Tim",731,82.5,0.233,0.113,0.274,0.347,0.276,0.308,0.263,35,150,86.2,-2.7,2032,93.7,93.39,57,275,328,-0.3,6.27,108,150,116,148,296,318,294
597,608344,"Irvin, Cole",2610,22.9,0.278,0.16,0.284,0.438,0.34,0.369,0.297,45,162,89.4,9.5,1943,90.3,90.49,40,299,298,0.2,6.4,108,152,116,149,301,321,294
595,622491,"Castillo, Luis",2506,23.7,0.277,0.155,0.302,0.432,0.341,0.33,0.272,41,148,91.7,1.6,2163,96.9,95.62,34,277,318,-1.3,5.63,111,152,119,146,296,321,290
593,669060,"Wilson, Bryse",1825,32.5,0.306,0.094,0.341,0.4,0.342,0.341,0.296,49,160,91.2,4.8,1958,92.1,92.56,34,290,303,0.5,6.5,106,151,116,148,303,324,299
592,656605,"Keller, Mitch",2661,22.2,0.305,0.092,0.326,0.397,0.353,0.372,0.317,43,141,85.8,2.3,2369,94.4,94.57,36,269,323,0.2,6.39,107,153,113,150,305,323,297
586,605347,"López, Jorge",1161,50.5,0.228,0.103,0.276,0.331,0.297,0.301,0.217,31,136,87.5,0,1990,97.7,97.76,48,291,295,0.1,6.38,108,154,114,147,304,323,293
584,671345,"Foley, Jason",961,60.8,0.297,0.052,0.365,0.348,0.299,0.28,0.263,46,155,90.6,-2.1,2034,96.3,96.57,41,302,282,0.3,6.48,110,154,117,146,302,329,291
582,657248,"Otto, Glenn",2229,26.1,0.185,0.109,0.192,0.294,0.302,0.345,0.231,22,119,87.1,5.4,2234,92.2,92.93,30,248,334,0.7,6.83,112,153,117,148,297,320,296
579,621112,"Blackburn, Paul",1762,32.9,0.275,0.134,0.3,0.408,0.348,0.36,0.287,39,142,92.1,0.4,2000,91.7,91.95,33,220,359,0.2,6.32,112,153,117,148,298,320,295
577,596001,"Junis, Jakob",1802,32,0.315,0.162,0.349,0.477,0.363,0.349,0.298,41,130,89.7,6.8,2189,91.9,91.4,41,248,329,-0.5,5.95,111,153,115,149,300,327,297
572,605400,"Nola, Aaron",3039,18.8,0.178,0.095,0.241,0.272,0.224,0.25,0.198,30,169,89.4,9.6,2198,92.2,93.14,24,216,356,0.9,6.98,110,151,121,144,297,325,292
562,456501,"Cueto, Johnny",2372,23.7,0.294,0.138,0.301,0.431,0.333,0.336,0.288,47,160,84.6,11.4,2112,91.4,90.37,32,304,258,-1,5.63,107,152,111,148,297,323,296
547,592716,"Sampson, Adrian",1694,32.3,0.294,0.161,0.291,0.455,0.351,0.39,0.32,42,143,89.8,9.4,2003,91.9,88.05,27,267,280,-3.9,6.44,110,152,117,155,300,321,292
545,605540,"Woodruff, Brandon",2538,21.5,0.269,0.092,0.306,0.362,0.31,0.328,0.276,35,130,85.1,11.2,2286,95.8,96.33,41,273,272,0.5,6.62,110,152,118,146,296,318,297
536,622253,"Tate, Dillon",1077,49.8,0.211,0.039,0.239,0.25,0.23,0.281,0.246,32,152,87.8,-4.6,1970,94,94.3,30,273,263,0.3,6.46,107,155,115,148,304,322,294
536,641745,"Keller, Brad",2275,23.6,0.37,0.143,0.373,0.513,0.415,0.35,0.291,44,119,90.2,-2.1,2186,93.4,93.27,37,247,289,-0.1,6.01,106,153,115,146,301,325,301
522,518876,"Kelly, Merrill",3071,17,0.254,0.13,0.274,0.384,0.303,0.353,0.29,35,138,89.4,3.3,2206,92.6,92.1,41,250,272,-0.5,6.17,109,152,122,147,302,323,297
522,543475,"Lyles, Jordan",2988,17.5,0.317,0.172,0.381,0.49,0.377,0.336,0.266,46,145,87.5,9.7,2097,90.8,91.67,41,267,255,0.9,6.88,106,156,117,148,304,324,294
515,593423,"Montas, Frankie",2327,22.1,0.303,0.189,0.288,0.492,0.375,0.396,0.313,40,132,87.6,2.8,2243,95.6,94.87,38,258,257,-0.7,5.91,111,154,117,145,293,319,293
513,572971,"Keuchel, Dallas",1165,44,0.308,0.202,0.345,0.51,0.392,0.36,0.283,32,104,90.9,-1.9,1940,87.2,86.52,30,192,321,-0.7,5.97,108,151,115,146,293,320,296
512,472610,"García, Luis",966,53,0.329,0.064,0.352,0.393,0.345,0.349,0.309,46,140,89.4,2.9,2142,98.7,99.05,42,273,239,0.3,6.59,110,155,116,150,295,322,301
511,661309,"Martínez, Adrián",1015,50.3,0.338,0.263,0.354,0.602,0.426,0.39,0.301,45,133,91,16.1,2157,93.8,93.6,32,237,274,-0.2,6.28,112,154,112,150,296,322,299
502,642397,"Soto, Gregory",1102,45.6,0.237,0.052,0.284,0.289,0.305,0.317,0.24,23,97,90.9,1.5,2371,98.1,98.82,50,241,261,0.7,6.68,106,151,111,145,305,331,292
497,453268,"Bard, Daniel",953,52.2,0.188,0.079,0.222,0.267,0.253,0.299,0.235,19,101,89,-5.9,2507,98,97.72,38,201,296,-0.3,5.98,113,151,113,148,304,328,301
485,543243,"Gray, Sonny",1872,25.9,0.211,0.186,0.281,0.398,0.308,0.303,0.22,34,161,89.1,13.1,2439,92,92.33,44,241,244,0.3,6.51,108,153,121,148,294,327,289
482,642528,"Loáisiga, Jonathan",761,63.3,0.289,0.058,0.311,0.347,0.326,0.33,0.273,35,121,84.3,-0.1,2317,98,98.37,50,263,219,0.4,6.52,110,154,117,149,296,327,289
481,541640,"Ramírez, Erasmo",1222,39.4,0.32,0.141,0.349,0.461,0.371,0.354,0.303,41,128,89.2,3.8,2206,93.1,93.21,31,235,246,0.1,6.38,112,153,123,146,303,317,296
480,621237,"Alvarado, José",881,54.5,0.277,0.129,0.333,0.406,0.348,0.351,0.276,28,101,86.5,4.2,2093,99.6,100.29,42,203,277,0.7,6.79,109,149,117,144,297,325,287
476,621107,"Eflin, Zach",1194,39.9,0.289,0.18,0.302,0.469,0.341,0.309,0.255,37,128,83.5,1.5,2048,92.7,93.35,28,208,268,0.6,6.75,108,150,122,139,295,326,292
471,571901,"Loup, Aaron",967,48.7,0.279,0.107,0.323,0.385,0.337,0.348,0.278,34,122,88.6,2.3,2130,91.2,90.26,20,210,261,-0.9,5.99,111,150,111,151,295,322,293
466,571948,"Milner, Hoby",1088,42.8,0.276,0.138,0.349,0.414,0.323,0.307,0.248,32,116,83.7,0.6,1989,88.9,89.04,31,216,250,0.1,6.56,110,151,119,146,295,317,296
464,573124,"Rogers, Taylor",1085,42.8,0.306,0.133,0.418,0.439,0.365,0.363,0.282,30,98,93,2.2,2168,94.3,93.22,33,175,289,-1.1,5.74,111,154,118,148,297,323,299
458,670174,"Winckowski, Josh",1194,38.4,0.344,0.219,0.348,0.563,0.413,0.362,0.296,44,128,91.7,2,2031,94,94.32,18,201,257,0.3,6.5,110,154,116,151,291,326,296
453,666157,"Lodolo, Nick",1779,25.5,0.29,0.22,0.308,0.51,0.382,0.38,0.292,29,100,89.3,5.3,2313,94.2,94.25,37,208,245,0,6.47,109,150,116,146,293,315,286
446,500779,"Quintana, José",2724,16.4,0.355,0.108,0.371,0.462,0.383,0.38,0.328,33,93,89.8,7.8,2070,91.4,91.75,20,206,240,0.4,6.5,107,154,115,148,306,321,296
445,608665,"Graveman, Kendall",1035,43,0.313,0.141,0.364,0.455,0.384,0.358,0.282,31,99,89.9,3.9,2228,96.5,96.61,34,193,252,0.1,6.33,108,151,110,146,298,323,297
438,605507,"Thompson, Zach",2080,21.1,0.32,0.07,0.323,0.391,0.35,0.361,0.319,41,128,88.9,3.6,2230,92.2,92.46,15,218,220,0.3,6.27,106,150,113,148,303,322,299
430,656234,"Bird, Jake",745,57.7,0.233,0.126,0.223,0.359,0.321,0.368,0.278,24,103,92,1.9,1951,95,94.62,18,173,257,-0.4,5.72,112,151,118,148,306,331,303
428,663559,"Falter, Bailey",1295,33.1,0.269,0.301,0.297,0.57,0.38,0.359,0.256,25,93,92.2,20.5,1783,91,93.15,41,189,239,2.1,7.52,108,152,117,146,301,325,286
426,621016,"Cuas, Jose",687,62,0.318,0.114,0.36,0.432,0.378,0.343,0.278,28,88,83.4,1.6,2460,93.1,92.89,29,186,240,-0.2,6.41,109,156,116,148,301,322,298
422,664875,"Lawrence, Justin",763,55.3,0.337,0.072,0.364,0.41,0.37,0.37,0.305,28,83,90.7,2.3,2281,95.1,94.89,23,176,245,-0.2,6.1,111,151,121,148,304,328,300
416,543294,"Hendricks, Kyle",1347,30.9,0.283,0.113,0.302,0.396,0.331,0.379,0.323,30,106,85.3,14.6,1890,86.5,85.73,23,194,222,-0.8,5.72,108,152,118,152,301,320,293
415,592717,"Sanchez, Aaron",1006,41.3,0.364,0.182,0.38,0.545,0.415,0.359,0.299,40,110,91.5,1.6,2131,92.1,93.17,24,198,217,1.1,6.86,111,154,119,146,300,322,294
414,554430,"Wheeler, Zack",2358,17.6,0.236,0.041,0.287,0.276,0.253,0.252,0.231,29,123,81.2,3.6,2225,95.4,97.01,42,250,164,1.6,7.27,109,150,118,146,304,327,285
412,647315,"Pop, Zach",536,76.9,0.282,0.081,0.317,0.363,0.3,0.285,0.252,35,124,88.1,-1.2,2069,96.5,96.35,40,222,190,-0.2,6.35,108,151,115,148,299,318,291
412,571927,"Matz, Steven",849,48.5,0.303,0.237,0.429,0.539,0.392,0.342,0.285,23,76,90.7,13.8,2260,94.5,92.31,58,184,228,-2.2,6.39,111,155,117,146,296,319,295
410,657612,"Hill, Tim",745,55,0.308,0.065,0.333,0.374,0.328,0.296,0.267,33,107,90.6,-8.1,2071,89.5,90.12,12,189,221,0.6,6.94,114,153,116,150,291,314,296
408,570257,"Rodríguez, Joely",842,48.5,0.263,0.037,0.339,0.3,0.304,0.296,0.242,21,80,82.3,2.2,1956,92.7,92.38,21,147,261,-0.3,6.26,110,154,116,149,295,327,302
404,650911,"Sánchez, Cristopher",662,61,0.247,0.183,0.268,0.43,0.346,0.365,0.274,23,93,89.2,6.6,2061,93,94.24,26,180,224,1.2,7.13,107,149,114,146,296,324,288
404,669373,"Skubal, Tarik",1914,21.1,0.229,0.083,0.293,0.312,0.277,0.321,0.263,25,109,88.9,5.2,2053,94.8,94.56,28,201,203,-0.2,6.23,108,154,114,147,299,328,295
395,518553,"Cishek, Steve",1175,33.6,0.275,0.225,0.258,0.5,0.364,0.412,0.33,22,80,86.8,12.1,2285,89.8,91.87,22,159,236,2.1,7.64,110,153,119,148,301,314,293
392,667463,"King, John",749,52.3,0.327,0.08,0.354,0.407,0.339,0.326,0.295,37,113,92.7,-6.7,2065,92.4,91.64,23,184,208,-0.8,6,111,151,115,146,295,319,295
386,642701,"Santana, Dennis",991,39,0.354,0.114,0.38,0.468,0.41,0.401,0.338,28,79,89.8,8.8,2422,96.7,95.91,17,150,236,-0.8,5.96,111,153,118,148,298,320,295
378,489334,"Stammen, Craig",701,53.9,0.267,0.151,0.299,0.419,0.318,0.309,0.263,23,86,90.4,2.3,2210,91.4,92.24,28,156,222,0.8,6.79,112,160,122,150,293,316,299
378,544727,"Familia, Jeurys",817,46.3,0.4,0.25,0.424,0.65,0.484,0.388,0.307,32,80,91.4,2.6,2190,95.2,94.42,40,152,226,-0.8,5.82,105,150,118,144,298,328,292
377,668933,"Ashcraft, Graham",1756,21.5,0.313,0.111,0.323,0.424,0.348,0.318,0.278,31,99,89.4,-3.7,2185,97.2,87.34,21,189,188,-9.9,5.58,110,151,118,145,292,320,288
373,608331,"Fried, Max",2818,13.2,0.269,0.058,0.318,0.327,0.271,0.257,0.237,28,104,87.8,-7.2,2036,93.6,93.73,40,199,174,0.1,6.38,111,152,122,150,305,325,297
373,542947,"Bleier, Richard",768,48.6,0.33,0.183,0.356,0.513,0.376,0.325,0.292,38,115,91.4,-3.8,2039,89.8,90.19,29,208,165,0.4,6.67,109,149,112,150,294,317,295
373,542888,"Armstrong, Shawn",1047,35.6,0.322,0.126,0.347,0.448,0.371,0.319,0.261,28,87,84,4.8,2151,95.6,95.99,33,194,179,0.4,6.64,108,153,113,150,300,323,295
370,621389,"Blach, Ty",674,54.9,0.264,0.172,0.304,0.437,0.326,0.309,0.262,23,87,88.4,8.6,2185,91.1,89.47,32,176,194,-1.6,5.27,110,152,121,147,303,329,301
369,693821,"Elder, Bryce",873,42.3,0.232,0.084,0.292,0.316,0.301,0.338,0.25,22,95,87.7,6.5,1969,90.7,89.8,37,169,200,-0.9,5.86,112,152,119,148,312,324,296
364,573009,"Mantiply, Joe",861,42.3,0.3,0.05,0.343,0.35,0.3,0.333,0.293,24,80,88,3.8,2190,90.4,90.27,21,165,199,-0.1,6.42,110,152,115,147,298,318,296
362,676596,"Fleming, Josh",662,54.7,0.34,0.16,0.423,0.5,0.382,0.278,0.237,32,94,90.1,-9.4,1761,91.2,90.95,42,182,180,-0.3,6.33,106,153,112,148,294,321,300
361,547179,"Lorenzen, Michael",1654,21.8,0.239,0.109,0.26,0.348,0.29,0.276,0.235,22,92,90.6,6.3,2252,93.9,92.99,34,187,174,-0.9,5.88,108,151,114,146,297,322,290
353,605177,"Chafin, Andrew",899,39.3,0.319,0.121,0.338,0.44,0.35,0.316,0.251,29,91,86.3,8.9,2106,91.6,91.81,29,174,179,0.2,6.53,107,154,112,145,302,329,294
351,678394,"Bello, Brayan",997,35.2,0.402,0.124,0.452,0.526,0.422,0.314,0.274,39,97,90.8,-1.7,2122,96.3,96.37,30,167,184,0.1,6.38,106,152,113,149,291,328,294
349,663776,"Sandoval, Patrick",2456,14.2,0.227,0.04,0.243,0.267,0.276,0.33,0.275,17,75,87.9,3.3,1924,93.4,92.81,19,159,190,-0.6,6.01,109,152,111,151,294,321,292
348,650644,"Civale, Aaron",1588,21.9,0.266,0.16,0.282,0.426,0.34,0.371,0.305,25,94,89.5,7.2,2312,91.3,89.53,11,149,199,-1.8,5.81,109,154,121,148,297,317,291
346,670990,"Ramirez, Yohan",620,55.8,0.221,0.026,0.254,0.247,0.27,0.308,0.25,17,77,85.2,-0.3,2234,95.7,96.59,19,150,196,0.9,6.98,107,149,115,146,296,321,294
344,493603,"Ottavino, Adam",1057,32.5,0.222,0.056,0.288,0.278,0.266,0.242,0.194,16,72,86,-4.5,2253,94.2,94.97,20,133,211,0.8,6.87,110,153,117,147,301,326,296
343,656061,"Abreu, Albert",707,48.5,0.259,0.037,0.309,0.296,0.298,0.296,0.243,21,81,86.1,-3.7,2200,98.5,99.04,25,151,192,0.5,6.62,109,153,119,148,294,325,290
338,663372,"Feltner, Ryan",1675,20.2,0.284,0.16,0.308,0.444,0.339,0.354,0.287,23,81,89.7,4.2,2305,93.5,94.31,18,143,195,0.8,6.42,109,152,118,148,305,331,301
337,600921,"Machado, Andres",997,33.8,0.164,0,0.18,0.164,0.229,0.337,0.262,9,55,84.4,2.5,2039,95,95.96,23,147,190,1,6.79,112,154,120,147,300,316,296
327,669912,"Snead, Kirby",780,41.9,0.347,0.208,0.354,0.556,0.419,0.396,0.319,25,72,87.3,5.6,2402,93.3,92.77,13,127,200,-0.5,6.13,110,152,118,148,296,320,296
