pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1338,656302,"Cease, Dylan",3120,42.9,0.128,0.081,0.186,0.209,0.187,0.201,0.144,41,320,83.8,15,2833,87.4,87.22,301,695,643,-0.2,6.03,108,152,112,148,298,325,298
1134,592662,"Ray, Robbie",3047,37.2,0.184,0.165,0.258,0.349,0.246,0.252,0.208,48,261,90.1,9.4,2190,87.2,87.5,228,578,556,0.3,6.4,110,153,121,145,294,322,286
982,657277,"Webb, Logan",3006,32.7,0.202,0.127,0.253,0.329,0.25,0.253,0.203,43,213,84.9,17.5,2628,82.5,83.28,132,425,557,0.8,6.72,111,152,115,149,298,324,295
916,607074,"Rodón, Carlos",2985,30.7,0.193,0.046,0.328,0.239,0.215,0.209,0.177,42,218,85.7,16.2,2448,85.4,85.26,168,431,485,-0.1,6.13,110,153,117,148,298,322,291
909,596001,"Junis, Jakob",1802,50.4,0.226,0.155,0.304,0.381,0.287,0.283,0.229,54,239,88.6,15.3,2475,83.1,82.25,109,434,475,-0.8,5.73,112,153,118,148,299,326,297
903,663903,"Singer, Brady",2376,38,0.237,0.134,0.322,0.371,0.289,0.287,0.229,55,232,88.7,9.5,2341,85.5,86.09,165,487,416,0.6,6.56,111,159,118,149,299,326,303
900,668881,"Greene, Hunter",2200,40.9,0.17,0.137,0.23,0.307,0.248,0.245,0.177,36,212,87.1,20.4,2363,88.1,88.43,165,434,466,0.3,6.41,115,152,122,147,295,320,292
870,641771,"Kuhl, Chad",2375,36.6,0.213,0.174,0.289,0.387,0.286,0.277,0.217,49,230,85.6,19.2,2541,86.5,86.9,166,485,385,0.4,6.28,110,151,121,147,305,330,302
827,669456,"Bieber, Shane",2875,28.8,0.193,0.098,0.265,0.291,0.229,0.237,0.199,47,244,86.9,10.7,2513,85,85.79,183,464,363,0.8,6.59,108,153,119,149,299,318,290
821,641745,"Keller, Brad",2275,36.1,0.265,0.165,0.309,0.43,0.336,0.33,0.247,53,200,90.6,14,2544,86.9,86.53,118,404,417,-0.4,5.89,109,155,115,147,301,324,302
805,622072,"Wood, Alex",2239,36,0.254,0.127,0.32,0.381,0.321,0.319,0.249,46,181,88.2,8.4,2067,84.5,84.22,118,411,394,-0.3,6.19,107,151,116,146,300,322,292
799,571945,"Mikolas, Miles",3152,25.3,0.239,0.17,0.226,0.41,0.294,0.359,0.302,45,188,86,7.1,2382,87.7,88.04,83,391,408,0.3,6.38,113,155,115,148,301,323,301
798,666201,"Manoah, Alek",2949,27.1,0.19,0.134,0.247,0.324,0.245,0.272,0.218,41,216,86,22.3,2216,81.5,81.66,127,399,399,0.2,6.59,110,158,120,150,293,320,294
792,502042,"Archer, Chris",1787,44.3,0.202,0.135,0.239,0.337,0.285,0.319,0.241,42,208,88.1,8.4,2464,88.7,88.75,109,412,380,0,6.1,109,156,119,149,299,332,289
791,656945,"Scott, Tanner",1273,62.1,0.238,0.125,0.333,0.363,0.315,0.309,0.225,40,168,86.2,7.8,2735,89.2,89.22,146,401,390,0,6.24,105,150,117,149,301,320,295
