pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
3274,669203,"Burnes, Corbin",3274,100,0.197,0.144,0.259,0.341,0.267,0.273,0.212,144,731,86.9,9.8,2601,91.6,91.86,532,1513,1761,0.3,6.38,112,153,120,147,296,318,297
3274,543037,"Cole, Gerrit",3274,100,0.209,0.182,0.269,0.39,0.283,0.284,0.214,154,738,89.4,12.6,2433,93.1,93.13,535,1577,1697,0,6.42,111,158,122,152,293,327,290
3248,645261,"Alcantara, Sandy",3248,100,0.212,0.112,0.262,0.324,0.26,0.267,0.215,174,820,87.3,5.2,2218,94.4,93.41,440,1733,1514,-1,5.9,110,154,117,151,297,317,294
3152,571945,"Mikolas, Miles",3152,100,0.226,0.146,0.25,0.373,0.279,0.306,0.252,170,751,87.6,10.9,2327,87.8,87.92,285,1541,1611,0.1,6.42,115,156,116,149,300,322,301
3133,425794,"Wainwright, Adam",3133,100,0.261,0.121,0.302,0.382,0.306,0.328,0.27,192,736,87.8,11,2410,82,82.13,230,1362,1771,0.1,6.41,114,155,116,150,299,321,302
3120,656302,"Cease, Dylan",3120,100,0.19,0.116,0.261,0.306,0.263,0.257,0.184,126,663,86.6,14.9,2654,90.1,89.75,491,1477,1643,-0.3,6.05,108,152,111,148,298,325,299
3082,601713,"Pivetta, Nick",3082,100,0.253,0.172,0.3,0.425,0.33,0.332,0.248,175,691,90.7,15.2,2394,87.4,87.78,345,1466,1616,0.4,6.7,110,157,117,150,293,328,297
3070,518876,"Kelly, Merrill",3071,100,0.226,0.145,0.269,0.371,0.289,0.296,0.23,167,739,88.1,13.3,2311,90,89.6,350,1489,1580,-0.4,6.15,112,153,121,149,301,322,298
3047,592662,"Ray, Robbie",3047,100,0.231,0.191,0.284,0.423,0.315,0.295,0.223,163,705,89.5,14.6,2222,90.8,90.88,470,1569,1478,0.1,6.46,109,152,120,145,294,322,286
3039,605400,"Nola, Aaron",3039,100,0.219,0.128,0.291,0.347,0.264,0.259,0.211,168,766,87.1,12.1,2234,87.5,88.17,420,1504,1535,0.7,6.89,111,152,120,145,296,325,293
3018,664285,"Valdez, Framber",3018,100,0.223,0.082,0.286,0.305,0.272,0.284,0.227,166,745,89.3,-3.9,2380,88.2,87.3,363,1417,1601,-0.9,5.91,110,154,115,148,294,322,291
3015,669302,"Gilbert, Logan",3015,100,0.242,0.148,0.294,0.39,0.299,0.314,0.253,170,702,90.1,14,2137,91.2,92.97,367,1518,1497,1.8,7.32,112,153,119,148,292,324,297
3006,657277,"Webb, Logan",3006,100,0.24,0.106,0.294,0.346,0.283,0.295,0.247,174,726,88.3,2.6,2011,87.1,87.9,341,1421,1585,0.8,6.73,111,152,115,149,297,324,296
2988,543475,"Lyles, Jordan",2988,100,0.276,0.177,0.313,0.454,0.341,0.341,0.267,196,710,88.3,15.2,2247,86.3,86.97,302,1382,1606,0.7,6.77,109,158,115,149,301,324,296
2979,527048,"Pérez, Martín",2979,100,0.241,0.095,0.298,0.336,0.289,0.295,0.242,178,738,87,7.7,1986,89.1,88.48,278,1325,1654,-0.6,5.92,112,153,117,148,302,322,294
2971,506433,"Darvish, Yu",2971,100,0.207,0.124,0.251,0.331,0.259,0.291,0.227,148,715,88.1,16.7,2511,88.2,88.74,371,1476,1495,0.5,6.62,113,163,118,152,296,320,301
2949,666201,"Manoah, Alek",2949,100,0.202,0.112,0.245,0.314,0.261,0.284,0.224,144,713,87,16.7,2238,89.5,89.88,363,1461,1488,0.4,6.66,111,161,117,151,290,320,297
2935,668678,"Gallen, Zac",2935,100,0.186,0.121,0.237,0.307,0.25,0.278,0.213,121,651,87.1,10.4,2317,89.6,89.88,320,1391,1544,0.3,6.57,112,153,122,150,300,322,297
2920,615698,"Quantrill, Cal",2920,100,0.254,0.135,0.28,0.389,0.305,0.321,0.258,178,702,86.9,13.2,2101,90.3,90.56,263,1421,1498,0.3,6.36,110,154,118,150,292,315,292
2910,641154,"López, Pablo",2910,100,0.234,0.17,0.283,0.404,0.305,0.301,0.239,157,671,87.7,11.1,2126,89.9,90.73,406,1443,1467,0.8,6.88,111,153,118,151,296,316,293
2903,450203,"Morton, Charlie",2903,100,0.233,0.178,0.293,0.411,0.32,0.314,0.228,149,640,89,13.7,2616,88.4,88.07,386,1323,1580,-0.3,6.19,113,152,124,147,303,325,302
2890,607074,"Rodón, Carlos",2985,96.8,0.203,0.108,0.295,0.311,0.256,0.256,0.2,128,631,88.7,19,2375,91.2,91.05,445,1441,1449,-0.2,6.2,109,153,116,148,298,322,290
2875,669456,"Bieber, Shane",2875,100,0.23,0.116,0.288,0.347,0.269,0.292,0.245,172,747,89.5,9.7,2326,87,87.65,425,1430,1445,0.7,6.63,111,156,117,150,296,317,293
2839,608566,"Márquez, Germán",2839,100,0.263,0.205,0.292,0.467,0.341,0.327,0.256,185,704,90.2,9,2265,91.6,90.57,324,1411,1428,-1,5.53,112,151,118,148,303,329,304
2839,607536,"Freeland, Kyle",2839,100,0.281,0.175,0.319,0.456,0.346,0.346,0.271,193,687,89.3,12.4,2263,86.6,87.25,280,1349,1490,0.7,6.55,109,153,121,147,306,331,300
2836,594835,"Gonzales, Marco",2838,99.9,0.271,0.187,0.278,0.457,0.337,0.33,0.267,194,717,86.3,14.4,2051,83.6,83.79,264,1446,1390,0.2,6.39,108,152,119,145,296,320,287
